Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,3.08895E+12,"[b0:e4:d5:39:26:89, 19792, 90, -59, 14:22:3b:16:5a:bd, 12664, 45, -49, cc:f4:11:8b:29:4d, 11480, 255, -55, b0:e4:d5:96:3b:95, 4273, 75, -52, 14:22:3b:2a:86:f5, 23175, 315, -61, f8:1a:2b:06:3c:0b, 6292, 0, -46]",3.08936E+12,-0.14416756,0.18664017,9.780663,-0.04153884,-0.002748894,-0.003359759,-31.536999,-22.5944,55.1196,2.2268777,-0.019078182,0.014738994
1,3.08944E+12,"[b0:e4:d5:39:26:89, 16886, 120, -60, 14:22:3b:16:5a:bd, 12253, 150, -53, cc:f4:11:8b:29:4d, 10835, 60, -52, b0:e4:d5:96:3b:95, 3761, 60, -48, 14:22:3b:2a:86:f5, 15367, 105, -61, f8:1a:2b:06:3c:0b, 6207, 15, -42]",3.08955E+12,0.4863412,-0.43848476,9.769297,-0.013133603,-0.003817908,0.04917465,-31.7932,-22.899399,53.9118,2.1085463,0.044798456,-0.04974156
2,3.08944E+12,"[b0:e4:d5:39:26:89, 16886, 120, -60, 14:22:3b:16:5a:bd, 12253, 150, -53, cc:f4:11:8b:29:4d, 10835, 60, -52, b0:e4:d5:96:3b:95, 3761, 60, -48, 14:22:3b:2a:86:f5, 15367, 105, -61, f8:1a:2b:06:3c:0b, 6207, 15, -42]",3.08976E+12,-1.387239,0.12622139,9.675977,0.01160644,-0.035124753,0.022296581,-31.3296,-23.253199,54.741398,2.372375,-0.012912069,0.14239904
3,3.08992E+12,"[b0:e4:d5:39:26:89, 16882, 105, -57, 14:22:3b:16:5a:bd, 12550, 30, -47, cc:f4:11:8b:29:4d, 10933, 45, -54]",3.08996E+12,-0.31405798,0.019142581,9.58146,0.002748894,0.013286319,0.061391957,-31.890799,-22.143,53.985,2.2073295,-0.001996802,0.03276594
4,3.08992E+12,"[b0:e4:d5:39:26:89, 16882, 105, -57, 14:22:3b:16:5a:bd, 12550, 30, -47, cc:f4:11:8b:29:4d, 10933, 45, -54]",3.09016E+12,-0.25962126,0.47676992,9.8937235,0.005192355,0.007177667,-0.002138028,-31.5858,-22.814,53.814198,2.2709851,-0.048135333,0.026234984
5,3.09036E+12,"[b0:e4:d5:39:26:89, 17601, 105, -57, 14:22:3b:16:5a:bd, 12300, 120, -51, cc:f4:11:8b:29:4d, 11289, 30, -54, b0:e4:d5:96:3b:95, 4679, 270, -48, 14:22:3b:2a:86:f5, 15875, 60, -56, f8:1a:2b:06:3c:0b, 6105, 90, -42]",3.09044E+12,-0.08973085,-0.17527425,9.672387,0.020463986,-0.03145956,0.07727446,-31.5858,-22.7164,53.6068,2.1809864,0.018118333,0.009276746
6,3.09036E+12,"[b0:e4:d5:39:26:89, 17601, 105, -57, 14:22:3b:16:5a:bd, 12300, 120, -51, cc:f4:11:8b:29:4d, 11289, 30, -54, b0:e4:d5:96:3b:95, 4679, 270, -48, 14:22:3b:2a:86:f5, 15875, 60, -56, f8:1a:2b:06:3c:0b, 6105, 90, -42]",3.09064E+12,0.18903299,0.09332009,9.890733,0.009773844,0.021685716,-0.062155537,-32.0128,-22.9848,54.7048,2.1887414,-0.009433101,-0.019109804
7,3.09077E+12,"[b0:e4:d5:39:26:89, 18125, 270, -61, 14:22:3b:16:5a:bd, 12082, 15, -52]",3.09084E+12,-0.15672988,-0.01375873,10.0672035,0.011453724,-0.02321288,-0.04016439,-31.8176,-23.167799,54.912197,2.2116637,0.001366522,0.015567105
8,3.09077E+12,"[b0:e4:d5:39:26:89, 18125, 270, -61, 14:22:3b:16:5a:bd, 12082, 15, -52]",3.09104E+12,0.29312077,0.14177474,9.795019,-0.003512475,0.010690142,-0.034055736,-32.2202,-23.0702,54.9976,2.1845589,-0.014466682,-0.029916564
9,3.09122E+12,"[b0:e4:d5:39:26:89, 21300, 195, -59, 14:22:3b:16:5a:bd, 12476, 120, -51, cc:f4:11:8b:29:4d, 10917, 180, -54, b0:e4:d5:96:3b:95, 3968, 45, -50, 14:22:3b:2a:86:f5, 18117, 120, -57, f8:1a:2b:06:3c:0b, 6085, 90, -42]",3.0913E+12,0.69571316,0.28713873,9.808778,0.003817908,0.001069014,-0.048716504,-31.9518,-22.545599,52.9846,2.1639454,-0.029191997,-0.07080903
10,3.09122E+12,"[b0:e4:d5:39:26:89, 21300, 195, -59, 14:22:3b:16:5a:bd, 12476, 120, -51, cc:f4:11:8b:29:4d, 10917, 180, -54, b0:e4:d5:96:3b:95, 3968, 45, -50, 14:22:3b:2a:86:f5, 18117, 120, -57, f8:1a:2b:06:3c:0b, 6085, 90, -42]",3.0915E+12,-1.838286,0.11425728,9.661619,-0.006108652,0.039858956,0.011301007,-32.757,-22.350399,53.7532,2.3761394,-0.011616956,0.1880195
11,3.09168E+12,"[b0:e4:d5:39:26:89, 17890, 105, -58, 14:22:3b:16:5a:bd, 12566, 60, -51, cc:f4:11:8b:29:4d, 10855, 225, -57, b0:e4:d5:96:3b:95, 6679, 30, -47, 14:22:3b:2a:86:f5, 18179, 345, -59, f8:1a:2b:06:3c:0b, 6003, 60, -42]",3.09171E+12,-1.0809577,-0.357727,9.487542,-0.006261369,0.053145275,-0.025503624,-33.062,-22.350399,53.8386,2.217303,0.03744504,0.11344524
12,3.09168E+12,"[b0:e4:d5:39:26:89, 17890, 105, -58, 14:22:3b:16:5a:bd, 12566, 60, -51, cc:f4:11:8b:29:4d, 10855, 225, -57, b0:e4:d5:96:3b:95, 6679, 30, -47, 14:22:3b:2a:86:f5, 18179, 345, -59, f8:1a:2b:06:3c:0b, 6003, 60, -42]",3.09191E+12,-0.65324056,0.4121637,9.8321085,0.004581489,-0.059406646,0.052839845,-32.1714,-23.094599,53.7898,2.2982674,-0.04180359,0.06634202
13,3.09168E+12,"[b0:e4:d5:39:26:89, 17890, 105, -58, 14:22:3b:16:5a:bd, 12566, 60, -51, cc:f4:11:8b:29:4d, 10855, 225, -57, b0:e4:d5:96:3b:95, 6679, 30, -47, 14:22:3b:2a:86:f5, 18179, 345, -59, f8:1a:2b:06:3c:0b, 6003, 60, -42]",3.09212E+12,-1.9118652,-0.24885355,9.820144,-0.009621128,0.009621128,0.01863139,-32.3788,-23.1922,54.0948,2.362364,0.024868978,0.19228281
14,3.09214E+12,"[b0:e4:d5:39:26:89, 17769, 150, -58, 14:22:3b:16:5a:bd, 12605, 30, -51, cc:f4:11:8b:29:4d, 11554, 120, -53, b0:e4:d5:96:3b:95, 3703, 120, -49, 14:22:3b:2a:86:f5, 17707, 315, -62, f8:1a:2b:06:3c:0b, 6171, 60, -42]",3.09231E+12,-1.1084751,-0.4959125,9.48814,0.013439035,0.026572637,-0.07192938,-32.2202,-23.167799,55.0952,2.2363815,0.05186693,0.11630023
15,3.09214E+12,"[b0:e4:d5:39:26:89, 17769, 150, -58, 14:22:3b:16:5a:bd, 12605, 30, -51, cc:f4:11:8b:29:4d, 11554, 120, -53, b0:e4:d5:96:3b:95, 3703, 120, -49, 14:22:3b:2a:86:f5, 17707, 315, -62, f8:1a:2b:06:3c:0b, 6171, 60, -42]",3.09251E+12,0.25184458,-0.058624156,9.967302,-0.002443461,0.00702495,-0.08781188,-32.2324,-22.753,52.4722,2.1605296,0.005879703,-0.025261702
16,3.09264E+12,"[b0:e4:d5:39:26:89, 17121, 15, -57, 14:22:3b:16:5a:bd, 12574, 75, -52, cc:f4:11:8b:29:4d, 10468, 240, -60, b0:e4:d5:96:3b:95, 4472, 75, -50, 14:22:3b:2a:86:f5, 16917, 30, -56, f8:1a:2b:06:3c:0b, 6023, 105, -41]",3.09272E+12,0.111864455,0.317049,10.003794,-0.010842858,-1.53E-04,-0.011911872,-32.1592,-22.7286,53.277397,2.2109394,-0.031680286,-0.011181736
17,3.09264E+12,"[b0:e4:d5:39:26:89, 17121, 15, -57, 14:22:3b:16:5a:bd, 12574, 75, -52, cc:f4:11:8b:29:4d, 10468, 240, -60, b0:e4:d5:96:3b:95, 4472, 75, -50, 14:22:3b:2a:86:f5, 16917, 30, -56, f8:1a:2b:06:3c:0b, 6023, 105, -41]",3.09292E+12,1.3076776,0.36729828,10.165907,0.010231993,-0.015882496,-0.003359759,-32.696,-22.704199,54.5706,2.1268203,-0.03581981,-0.1279311
18,3.09312E+12,"[b0:e4:d5:39:26:89, 16558, 90, -57, 14:22:3b:16:5a:bd, 11812, 135, -55, cc:f4:11:8b:29:4d, 15328, 150, -55, b0:e4:d5:96:3b:95, 3890, 60, -50, 14:22:3b:2a:86:f5, 14656, 15, -60, f8:1a:2b:06:3c:0b, 6097, 90, -42]",3.0932E+12,0.18604197,-0.19740787,9.782457,6.11E-04,-0.019394971,0.04795292,-32.0738,-23.0092,53.5946,2.1562388,0.020173399,-0.019015625
19,3.09312E+12,"[b0:e4:d5:39:26:89, 16558, 90, -57, 14:22:3b:16:5a:bd, 11812, 135, -55, cc:f4:11:8b:29:4d, 15328, 150, -55, b0:e4:d5:96:3b:95, 3890, 60, -50, 14:22:3b:2a:86:f5, 14656, 15, -60, f8:1a:2b:06:3c:0b, 6097, 90, -42]",3.0934E+12,0.42053857,0.24227329,10.146765,-0.014813482,0.02275473,-0.076816306,-32.1592,-23.1068,53.2896,2.1873903,-0.023851894,-0.041421875
