Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,15.554,0.24,-60
1020,20.015,0.105,-59
2066,15.363,0.105,-59
2621,14.285,0.045,-57
3115,14.468,0.075,-62
3638,17.109,0.24,-64
4691,15.046,0.105,-57
5210,14.96,0.03,-55
5747,15.253,0.105,-60
6789,15.191,0.075,-58
7319,15.832,0.225,-60
7832,15.21,0.075,-59
8388,15.269,0.09,-57
9409,15.492,0.3,-60
9946,15.148,0.12,-60
10474,21.25,0.21,-60
10983,15.738,0.165,-64
12030,15.781,0.105,-60
12556,17.296,0.105,-57
13091,16.804,0.21,-61
13633,17.683,0.195,-59
14648,17.132,0.195,-58
15695,14.855,0.105,-59
16224,15.664,0.03,-58
16750,15.203,0.09,-59
17289,15.007,0.075,-60
17811,15.406,0.09,-59
18323,15.14,0.09,-57
18853,14.98,0.09,-59
19400,14.238,0.09,-60
20415,14.687,0.105,-59
20946,14.132,0.075,-59
21467,15.015,0.105,-58
22008,14.421,0.075,-61
23038,15.597,0.12,-64
23562,15.523,0.075,-58
24096,15.562,0.075,-59
25136,14.527,0.075,-60
25664,15.3,0.135,-60
26182,14.25,0.09,-62
26741,15.687,0.12,-60
27250,15.222,0.045,-58
27761,14.585,0.21,-63
28288,20.527,0.27,-62
28821,15.82,0.18,-61
29330,14.597,0.06,-64
29883,15.023,0.06,-62
30899,15.882,0.06,-62
31429,15.55,0.135,-63
31948,14.992,0.09,-59
32488,14.957,0.12,-61
33029,16.031,0,-61
34048,14,0.075,-62
34578,14.414,0.12,-65
35126,17.804,0.12,-65
35639,16.234,0.225,-64
36163,17.378,0.09,-64
36669,21.988,0.09,-64
37195,14.289,0.165,-62
37728,14.375,0.075,-60
38770,15.644,0.105,-60
39815,13.558,0.09,-62
40352,13.742,0.06,-61
41390,13.332,0.045,-64
41927,16.14,0.045,-60
42447,14.5,0.105,-65
42962,14.816,0.075,-62
44011,14.742,0.045,-65
44534,18.972,0.06,-63
45067,13.57,0.09,-59
45599,16.23,0.345,-61
46121,15.894,0.12,-66
46660,16.816,0.06,-60
47157,21.347,0.285,-63
48208,15.957,0.15,-65
48739,18,0.09,-59
49272,14.726,0.09,-65
49806,14.566,0,-64
50302,14.027,0.18,-65
50834,14.89,0.12,-63
51362,14.195,0.06,-64
51876,13.449,0.105,-62
52924,13.859,0.075,-62
53457,13.332,0.09,-63
53968,13.777,0.135,-61
55022,15.574,0.06,-61
55556,15.839,0.255,-65
56595,16.019,0.135,-63
57642,19.464,0.12,-62
58178,15.207,0.075,-64
58701,15.628,0.09,-62
59217,14.625,0.135,-67
59739,12.996,0.18,-67
60285,16.109,0.12,-62
60791,14.558,0.09,-65
61320,13.355,0.21,-66
61834,13.753,0.165,-64
62886,16.207,0.105,-60
63424,15.078,0.18,-65
63936,20.652,0.12,-62
64461,18.82,0.225,-68
64982,15.359,0.075,-61
66033,16.199,0.24,-63
66557,18.21,0.225,-63
67080,15.175,0.21,-64
67604,17.335,0.27,-62
68651,17.191,0.195,-60
69181,15.015,0.03,-60
69699,17.429,0.105,-60
70255,16.804,0.315,-64
70765,14.105,0.165,-64
71275,16.804,0.255,-65
