Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,3.41977E+12,"[b0:e4:d5:39:26:89, 13484, 110, -56, 14:22:3b:16:5a:bd, 21789, 438, -67, cc:f4:11:8b:29:4d, 4275, 431, -52, b0:e4:d5:96:3b:95, 15340, 55, -64, 14:22:3b:2a:86:f5, 8504, 145, -59, f8:1a:2b:06:3c:0b, 19205, 0, -68]",3.41982E+12,-0.53359944,-0.08793623,9.756734,-0.004275931,0.003054236,7.64E-04,-16.35,27.362501,51.725002,0.45161566,0.008999185,0.054635946
1,3.42002E+12,"[b0:e4:d5:39:26:89, 13932, 95, -63, 14:22:3b:16:5a:bd, 21355, 128, -71, cc:f4:11:8b:29:4d, 4666, 127, -54, b0:e4:d5:96:3b:95, 15574, 110, -64, 14:22:3b:2a:86:f5, 8562, 63, -65, f8:1a:2b:06:3c:0b, 19166, 82, -69]",3.42005E+12,-0.47736812,-0.020338992,9.775877,-4.58E-04,0.005497625,0.001985254,-15.6875,27.550001,52.05,0.44320926,0.00207805,0.048792478
2,3.42002E+12,"[b0:e4:d5:39:26:89, 13932, 95, -63, 14:22:3b:16:5a:bd, 21355, 128, -71, cc:f4:11:8b:29:4d, 4666, 127, -54, b0:e4:d5:96:3b:95, 15574, 110, -64, 14:22:3b:2a:86:f5, 8562, 63, -65, f8:1a:2b:06:3c:0b, 19166, 82, -69]",3.42025E+12,-0.503091,0.506082,10.42493,0.00167983,0.014354911,-0.05650337,-16.362501,27.225,51.225002,0.51219285,-0.048450984,0.048221044
3,3.42027E+12,"[b0:e4:d5:39:26:89, 13775, 122, -63, 14:22:3b:16:5a:bd, 22478, 105, -71, cc:f4:11:8b:29:4d, 4394, 556, -51, b0:e4:d5:96:3b:95, 15379, 292, -65, 14:22:3b:2a:86:f5, 8943, 177, -61, f8:1a:2b:06:3c:0b, 19117, 165, -70]",3.42045E+12,-1.1347961,-0.51565325,8.800203,0.020616096,0.00335966,-0.07681404,-16.800001,27.4375,51.425,0.31958935,0.05804914,0.12824343
4,3.42054E+12,"[b0:e4:d5:39:26:89, 13658, 116, -62, 14:22:3b:16:5a:bd, 21072, 112, -72, cc:f4:11:8b:29:4d, 4453, 728, -54, b0:e4:d5:96:3b:95, 15037, 140, -65, 14:22:3b:2a:86:f5, 9148, 133, -60, f8:1a:2b:06:3c:0b, 19147, 108, -70]",3.42065E+12,-0.23509483,0.14356937,9.969695,-0.006413896,0.00167983,-0.01511847,-16.5875,27.85,51.0875,0.5160601,-0.014395581,0.023576576
5,3.42079E+12,"[b0:e4:d5:39:26:89, 13658, 55, -63, 14:22:3b:16:5a:bd, 20545, 111, -67, cc:f4:11:8b:29:4d, 4402, 95, -53, b0:e4:d5:96:3b:95, 17283, 1067, -63, 14:22:3b:2a:86:f5, 8240, 156, -67, f8:1a:2b:06:3c:0b, 18854, 256, -74]",3.42085E+12,-0.42412782,0.3894319,9.816555,0.00167983,0.005650337,0.020463383,-16.475,27.475,51.575,0.51102775,-0.039613225,0.04317851
6,3.42104E+12,"[b0:e4:d5:39:26:89, 13814, 52, -63, 14:22:3b:16:5a:bd, 20046, 70, -67, cc:f4:11:8b:29:4d, 4079, 787, -52, b0:e4:d5:96:3b:95, 15535, 365, -68, 14:22:3b:2a:86:f5, 8972, 125, -65]",3.42106E+12,-0.6430711,0.08673982,9.4432745,0.012827792,0.001985254,0.016951011,-16.9125,26.5375,51.3875,0.47445983,-0.009163873,0.06799334
7,3.42104E+12,"[b0:e4:d5:39:26:89, 13814, 52, -63, 14:22:3b:16:5a:bd, 20046, 70, -67, cc:f4:11:8b:29:4d, 4079, 787, -52, b0:e4:d5:96:3b:95, 15535, 365, -68, 14:22:3b:2a:86:f5, 8972, 125, -65]",3.42127E+12,-0.66101724,-0.16450655,9.75494,0.006261184,0.013133216,0.044897273,-17.1875,26.8875,50.925,0.4586283,0.016823752,0.06765887
8,3.42129E+12,"[b0:e4:d5:39:26:89, 13971, 55, -63, 14:22:3b:16:5a:bd, 20281, 70, -67, cc:f4:11:8b:29:4d, 4636, 100, -52, b0:e4:d5:96:3b:95, 15564, 179, -67, 14:22:3b:2a:86:f5, 8269, 149, -65, f8:1a:2b:06:3c:0b, 18971, 90, -76]",3.42146E+12,-0.6837491,-0.37686956,9.284152,0.008704574,0.029015245,-0.033138465,-17.1875,26.8875,51.0875,0.43282273,0.04046105,0.07351419
9,3.42153E+12,"[b0:e4:d5:39:26:89, 14010, 66, -62, 14:22:3b:16:5a:bd, 22976, 82, -69, cc:f4:11:8b:29:4d, 4636, 100, -52, b0:e4:d5:96:3b:95, 15945, 203, -66, 14:22:3b:2a:86:f5, 8337, 162, -59, f8:1a:2b:06:3c:0b, 19293, 245, -77]",3.42166E+12,-0.50069815,0.13399807,9.1974125,0.007788302,0.050089475,0.023059484,-17.1,27.675001,51.1125,0.48825002,-0.014546538,0.05438534
