M2 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M2 Ground Truth
0,15.64947283,17.27776678,0.18,-56,9.990740713,10.87050707,0.075,-52,2.672545603,3.905120869,0.105,-51,5.599020004,6.444633116,0.105,-42,13.89637363,16.175274,0.225,-53,11.95317949,12.77121611,0.075,-47,-1.3513466,0.4642076,9.516854,-0.005650504,0.029168816,-0.025045475,-31.9518,-21.3134,53.1554,2.3537512,-0.0482555,0.14105214,"[-2.52, -0.89]"
470,15.63062782,17.26176008,0.09,-55,9.988045772,11.08572997,0.075,-51,2.695897351,6.836740817,0.09,-47,5.57595079,6.166763251,0.09,-41,13.90985486,15.28782574,0.09,-56,11.92849638,12.25880749,0.045,-49,-0.6454639,-0.07956135,10.066605,-0.001832596,0.001374447,-0.031154128,-32.696,-21.6672,54.9366,2.2005808,0.007887134,0.06403167,"[-2.544751958, -0.89]"
1010,15.60239124,17.15971704,0.075,-58,9.984117054,11.66428845,0.12,-52,2.730971219,4.231562477,0.03,-48,0,0,0,0,13.93013471,16.02320071,0.075,-53,11.89147226,12.25480416,0.12,-49,-1.3854443,-0.19860429,9.7812605,0.011759156,0.019700404,0.047036625,-32.3666,-22.2528,53.667797,2.2811058,0.020101193,0.1407067,"[-2.581879896, -0.89]"
1460,15.58358757,16.9726368,0.015,-60,9.981573774,12.89631095,0.315,-57,2.75438371,4.109695852,0,-49,5.518341555,6.096530899,0.09,-42,13.94369315,15.99518706,0.045,-55,11.86678986,12.37990711,0.03,-49,0.29850462,0.040677983,9.609575,0.011759156,0.001527163,0.004428773,-31.9762,-21.777,53.8752,2.1500642,-0.004231002,-0.031053262,"[-2.606631854, -0.89]"
1940,15.56480055,17.20273525,0.06,-56,9.97909124,10.8474827,0.045,-55,2.777819426,7.717820677,0.09,-50,5.495323863,6.154723796,0.075,-42,13.95728231,18.43822185,0.15,-57,11.84210776,12.41093232,0.075,-50,-0.63888365,-0.43728834,9.687343,-0.022602014,0.003665192,0.004276057,-32.1714,-22.5334,53.4848,2.1816752,0.045011904,0.06585498,"[-2.631383812, -0.89]"
2520,15.53665137,16.94162333,0.03,-55,9.975481437,11.32396684,0.03,-56,2.813015278,7.013199056,0.12,-48,5.460825769,6.061412707,0.09,-42,13.97772347,17.42982986,0.135,-62,11.80508516,12.20776491,0.15,-53,-0.8554341,0.043070808,9.918848,0.001985312,-0.010690142,0.000611,-32.6594,-22.1552,53.7532,2.2469094,-0.004326234,0.086030416,"[-2.668511749, -0.89]"
3010,15.50853997,16.46440962,0.06,-54,9.972008563,13.79894431,0.075,-56,2.848260191,4.475154634,0.045,-46,5.426362388,6.139674258,0.09,-41,13.99823325,23.49768093,0.12,-60,11.76806322,12.70416451,0.12,-52,-0.53659046,-0.03589234,9.9140625,-0.000611,-0.001069014,-0.03359759,-31.293,-22.3382,53.619,2.2337892,0.00361504,0.054071415,"[-2.705639687, -0.89]"
3480,15.48982014,16.60947588,0.06,-56,9.969769457,12.72417997,0.33,-58,2.871783163,5.959060329,0.3,-49,5.403406414,6.033317164,0.09,-41,14.01194442,15.40188625,0.165,-58,11.7433823,11.94954392,0.06,-55,-1.1108679,-0.049052864,9.60479,0.006719518,0.014813482,-0.025045475,-31.2564,-22.545599,52.6186,2.2982457,0.005073263,0.11514609,"[-2.730391645, -0.89]"
4030,15.46177219,16.79655965,0.075,-56,9.966525115,11.71933872,0.345,-56,2.907105887,6.562981335,0.21,-49,5.369002375,6.010238015,0.045,-42,14.03256791,17.74595754,0.36,-60,11.70636148,11.45309111,0.135,-59,0.12203395,0.17288144,10.022936,-0.006719518,-0.003512475,-0.014049901,-31.354,-22.740799,52.6186,2.2071366,-0.017245594,-0.012174869,"[-2.767519582, -0.89]"
4510,15.44309484,16.87059228,0.075,-56,9.964438489,11.93052727,0.06,-57,2.930679162,4.144951749,0.015,-55,5.346086598,6.076463527,0.03,-42,14.0463546,16.23430208,0.075,-59,11.68168131,11.06671062,0.105,-59,0.18604197,0.52163535,9.659825,0,-0.04337143,0.088728175,-31.9396,-22.935999,52.496597,2.2332683,-0.053938117,-0.01925697,"[-2.79227154, -0.89]"
