Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,15.195,0.075,-55
549,14.976,0.075,-57
1049,15.003,0.06,-56
1600,15.015,0.03,-55
2100,14.976,0.105,-56
2629,15.488,0.06,-55
3145,15.734,0.075,-53
3677,15.468,0.045,-51
4190,15.316,0.06,-55
4715,15.402,0.12,-54
5773,15.32,0.105,-52
6296,14.566,0.09,-54
6832,14.175,0.09,-55
7367,14.554,0.06,-56
8383,15.027,0.03,-55
8923,14.523,0.03,-56
9448,15.859,0.12,-59
9958,13.484,0.09,-60
10489,13.925,0.18,-59
11534,14.921,0.15,-60
12056,15.843,0.18,-58
12588,15.152,0.27,-59
13107,18.492,0.255,-60
13626,14.578,0.09,-61
14152,14.531,0.075,-59
15199,14.597,0.105,-56
15725,14.398,0.105,-57
16255,15.164,0.09,-56
17298,15.324,0.06,-54
17853,14.347,0.09,-58
18376,14.902,0.12,-56
19921,14.621,0.06,-55
20462,14.89,0.075,-57
20987,14.886,0.045,-58
21522,15.14,0.06,-56
22548,14.714,0.045,-59
23068,14.453,0.075,-60
23593,14.675,0.105,-59
24145,15.085,0.135,-62
24643,14.882,0.255,-59
25715,15.179,0.075,-58
26737,14.656,0.09,-59
27262,14.5,0.075,-57
27784,14.441,0.15,-63
28837,16.156,0.195,-64
29355,15.57,0.12,-61
30404,16.488,0.255,-60
31454,14.488,0.075,-60
32509,17.015,0.09,-58
33029,18.398,0.135,-59
34079,15.128,0.18,-60
34604,14.667,0.135,-59
35131,14.64,0.105,-61
35655,13.589,0.03,-61
37220,18.82,0.285,-61
37768,22.218,0.09,-57
38298,20.25,0.03,-57
38802,21.535,0.27,-60
39332,20.527,0.09,-57
39846,21.609,0,-58
40396,15.191,0,-60
40904,14.8,0.255,-61
41946,14.156,0.255,-61
42468,15.152,0.195,-60
43515,14.851,0.21,-62
44564,14.32,0.24,-62
45099,18.152,0.135,-59
45640,13.746,0.045,-61
46657,14.402,0.075,-61
47189,14.269,0.09,-59
48234,15.328,0.045,-62
48759,14.484,0.09,-62
49281,16.433,0.06,-62
50329,15.242,0.165,-65
50852,14.835,0.09,-65
51386,14.73,0.09,-66
52964,20.48,0.255,-60
53485,18.843,0.3,-60
54526,16.019,0.12,-61
55048,22.515,0.255,-63
55576,15.175,0.12,-66
