M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth
0.0,8.994666475195174,24.755150979139678,2.152,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.667901265373555,13.064814426542766,0.093,-57.0,25.555675005759486,25.940372491542984,0.694,-75.0,-0.35353956,0.38703907,9.87159,0.02183779,0.0036650836,0.0070247436,-29.9,11.775001,42.45,1.2298373,-0.03916222,0.03579854,"[22.995, 11.15]"
275.696955,9.008628047118345,24.10001919086373,0.367,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.658651562327561,12.771603697265274,0.378,-61.0,25.54127582179259,26.33444172561856,0.132,-72.0,-0.18305093,-0.17347965,9.893126,0.030542362,0.012064233,0.009620844,-30.35,12.0,42.975002,1.1631342,0.017530575,0.01850073,"[22.978996292372884, 11.15]"
551.6487529999999,9.036571506159223,22.664703836582557,1.039,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.640189669325208,13.005772756741523,0.13,-63.0,0.0,0.0,0.0,0.0,-0.23509483,0.005383851,9.543175,0.017256435,0.00671932,0.06306998,-30.050001,11.8875,43.125,1.1822473,-0.00056398613,0.024629883,"[22.946988877118645, 11.15]"
830.6479479999999,9.050553330554047,24.130025383326892,0.32,-82.0,0.0,0.0,0.0,0.0,19.40133912838999,35.57062518427249,0.127,-64.0,0.0,0.0,0.0,0.0,13.630977530176848,13.03579399192853,0.173,-65.0,25.498089748909436,25.457284694169566,0.124,-71.0,-0.4109673,0.7543373,9.991829,0.00671932,-0.0070247436,0.018936265,-30.4,11.6125,42.787502,1.2894629,-0.075289056,0.041107167,"[22.930985169491528, 11.15]"
1120.319018,9.078537013621647,24.247049387502802,0.397,-79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.612590993862002,12.771603697265274,0.213,-64.0,25.4693086319408,25.90136552384835,0.45,-70.0,0.2542374,0.80937225,9.759726,-0.004123219,0.03115321,-0.00061084726,-29.875,12.0375,42.787502,1.3022038,-0.08271256,-0.026043758,"[22.89897775423729, 11.15]"
1421.818527,9.092538810635858,23.074797940610445,0.058,-83.0,0.0,0.0,0.0,0.0,19.35495371856279,34.86755714127389,0.0,-65.0,0.0,0.0,0.0,0.0,13.603416647708018,12.771603697265274,0.213,-64.0,25.454920962710425,26.487468055667385,0.41,-70.0,0.12622139,0.2955136,9.942777,-0.011911522,0.00503949,0.022295926,-30.625,12.3625,42.662502,1.2285883,-0.029710295,-0.012694101,"[22.88297404661017, 11.15]"
1694.616419,9.106547203822975,21.27735860016464,1.525,-77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.59425495028772,12.712560088353564,0.153,-64.0,25.440535224006798,25.920368920985673,0.211,-71.0,0.032303106,0.33260235,9.840483,0.03970507,0.040163208,0.052532863,-30.1375,12.4125,42.325,1.222916,-0.03378635,-0.0032826632,"[22.86697033898305, 11.15]"
1999.316658,9.134583657314456,24.04200717494278,0.405,-79.0,0.0,0.0,0.0,0.0,19.308576256587628,35.45361404708976,0.0,-62.0,0.0,0.0,0.0,0.0,13.575969604044271,13.152875883243178,0.111,-61.0,25.411769551293936,25.637317800425222,0.148,-68.0,0.15373886,0.5180461,9.655638,0.13942589,0.0027488125,0.027488127,-30.1,12.8125,42.0,1.2398521,-0.05359402,-0.01592084,"[22.834962923728813, 11.15]"
2296.234864,9.148611657347791,20.691198829454034,1.559,-77.0,0.0,0.0,0.0,0.0,19.293118878691992,35.27759715456823,0.26,-60.0,0.0,0.0,0.0,0.0,13.566846006502887,13.210915940993646,0.296,-61.0,25.39738962385923,25.54930167343131,0.186,-69.0,-0.09571291,-0.18783657,9.780663,-0.039857782,-0.012216945,-0.018478129,-30.475,12.25,42.4875,1.160652,0.019201612,0.009785621,"[22.818959216101696, 11.15]"
2607.555364,9.17668705458969,24.276055301469388,0.382,-81.0,0.0,0.0,0.0,0.0,19.26220679987244,35.498618339310056,1.841,-63.0,0.0,0.0,0.0,0.0,13.548637091034985,13.005772756741523,0.138,-62.0,25.368635603322172,25.58830883430947,0.409,-72.0,-0.42951167,0.4235296,9.598209,-0.053449135,-0.03863609,-0.016340164,-31.737501,12.2625,42.0625,1.2371507,-0.044053264,0.04471931,"[22.786951800847458, 11.15]"
2893.198986,9.190734392544725,20.535154759582408,2.775,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.539551824589513,12.74258231285951,0.175,-65.0,25.354261516836477,25.374269270266684,0.525,-72.0,-0.6867401,0.12263216,9.757931,-0.018783553,-0.04535541,-0.087809294,-30.8125,12.075,42.175,1.1776512,-0.01253577,0.07026179,"[22.77094809322034, 11.15]"
3183.654224,9.218848200242387,23.425875885439165,0.689,-83.0,0.0,0.0,0.0,0.0,19.21584540636933,36.624722306114485,0.0,-54.0,0.0,0.0,0.0,0.0,13.521419803224976,13.093834770608646,0.097,-64.0,25.32551920802536,25.5202963344864,0.419,-71.0,-0.39840496,-0.09990034,9.688539,-0.029931515,-0.06368083,-0.018478129,-31.300001,11.9125,42.5125,1.1742796,0.010302116,0.04109811,"[22.738940677966102, 11.15]"
3452.6760209999998,9.232914611729583,23.69993512649349,1.47,-76.0,0.0,0.0,0.0,0.0,19.200393410455447,35.45361404708976,0.0,-61.0,0.0,0.0,0.0,0.0,13.51237309998387,12.741581573729377,0.106,-65.0,25.311150992359046,25.877361225596403,0.306,-71.0,-0.80997044,0.7639086,9.498309,0.0018325418,0.00015271181,0.015271181,-30.0125,12.150001,42.1375,1.2566139,-0.07996404,0.08506942,"[22.722936970338985, 11.15]"
3721.4520899999998,9.246987323078944,24.169033410544163,1.465,-76.0,0.0,0.0,0.0,0.0,19.184942319130183,34.98456865533717,0.0,-63.0,0.0,0.0,0.0,0.0,13.503339302876396,12.859667997269602,0.294,-64.0,25.29678474030347,25.40327467079786,0.338,-73.0,-0.9445667,0.32482567,9.49472,0.038330667,0.03787253,0.06230642,-31.5625,12.400001,41.8875,1.191428,-0.034029998,0.09915711,"[22.706933262711864, 11.15]"
