Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,28.949,0,-70
1048,42.851,0.225,-68
2116,39.64,0.36,-69
3153,41.886,0.345,-69
4198,28.574,0.33,-67
5243,33.23,0.3,-68
6297,36.683,0.3,-68
7342,39.898,0.195,-69
8390,44.753,0.345,-67
9445,26.097,0,-70
10494,41.25,0.15,-67
11017,36.449,0.21,-70
11556,36.914,0.195,-69
12590,38.457,0.255,-70
13631,36.015,0.15,-71
14680,26.015,0.165,-69
15737,27.343,0.15,-69
16782,40.132,0.225,-69
17826,36.523,0.345,-69
18354,25.554,0.15,-71
19404,38.132,0.33,-70
19921,36.867,0.24,-69
21498,36.222,0.15,-70
22041,35.812,0.27,-70
22544,35.578,0.255,-70
24116,34.468,0.15,-70
25179,38.492,0.24,-71
26759,25.75,0.435,-69
27790,44.886,0.3,-70
28846,36.035,0.225,-70
29887,29.714,0.15,-70
30934,26.21,0.24,-72
31983,24.855,0.15,-72
33033,30.449,0.45,-72
33575,25.097,0.6,-72
34624,35.699,0.285,-72
35663,42.808,0.15,-72
36723,39.074,0.42,-73
37230,31.679,0.15,-72
38288,22.714,0.255,-73
39330,22.613,0.15,-72
40387,20.261,0.225,-72
40898,35.292,0.18,-72
41962,21.363,0.195,-72
42469,34.929,0.165,-72
43517,21.031,0.33,-72
44045,20.519,0.24,-72
44570,21.718,0.315,-71
45622,20.863,0.15,-70
46685,20.847,0.15,-72
48234,21.101,0.225,-72
50334,19.394,0.15,-73
50878,19.968,0.345,-72
51911,19.558,0.195,-72
52955,20.25,0.195,-70
54002,20.398,0.15,-69
55050,18.757,0.15,-68
55577,19.597,0.285,-72
56637,21.472,0.375,-69
57678,19.125,0.255,-70
59250,19.691,0.225,-70
59770,19.847,0.255,-68
60831,19.226,0.24,-71
61868,19.285,0.3,-71
62918,18.074,0.24,-70
63966,17.773,0.285,-70
64489,17.636,0.195,-68
65539,18.644,0.27,-69
66062,16.933,0.21,-68
67114,17.339,0.27,-70
68173,17.136,0.3,-69
69219,17.683,0.21,-68
70258,18.085,0.165,-67
70782,17.55,0.135,-67
71851,16.96,0.255,-69
72876,15.769,0.255,-69
73933,16.48,0.345,-69
74460,16.382,0.09,-68
74984,16.097,0.3,-69
76023,18.359,0.15,-70
77092,15.542,0.06,-67
78119,14.832,0.18,-70
79171,15,0.15,-70
79713,14.5,0.09,-68
80749,14.324,0.15,-68
81792,14.351,0.06,-67
82840,15.343,0.27,-70
83888,14.261,0.06,-67
84938,15.148,0.345,-69
85483,14.121,0.105,-66
86518,14.144,0.195,-68
87579,13.421,0.15,-69
88103,14.632,0.255,-69
89143,13.898,0.105,-69
90178,13.503,0.135,-68
91250,14.359,0.15,-69
91762,13.136,0.165,-69
94907,14.351,0.165,-70
95948,14.277,0.18,-70
103832,23.046,0.45,-71
104881,16.5,0.495,-73
105909,14.531,0.165,-70
106967,15.718,0.27,-71
108546,29.171,0.3,-72
110124,13.347,0,-71
115871,10.988,0.105,-66
118496,10.324,0.03,-66
119551,10.335,0.24,-65
120087,10.394,0.06,-61
121135,9.515,0.09,-64
122162,10.117,0.06,-63
123210,9.785,0.09,-64
124261,9.96,0.09,-62
125312,9.558,0.12,-62
125854,8.968,0.135,-64
126378,9,0.12,-63
127408,9.703,0.105,-59
128458,9.246,0.075,-61
129504,8.574,0.09,-62
130553,9.234,0.09,-59
131610,8.683,0.09,-61
132657,9.093,0.12,-59
133698,8.773,0.09,-60
134747,8.679,0.075,-58
135794,8.667,0.12,-60
136848,8.062,0.06,-61
137903,8.484,0.135,-58
138423,8,0.075,-60
139467,8.433,0.105,-58
139990,8.277,0.075,-58
140514,8.187,0.045,-59
141562,8.164,0.09,-58
142613,8.656,0.09,-55
143674,8.566,0.075,-57
144709,6.976,0.165,-64
145757,7.96,0.03,-60
146809,7.699,0.09,-60
147857,8.476,0.09,-61
148904,10.054,0.3,-63
149962,8.617,0.075,-59
150999,8.011,0.135,-61
152051,8.421,0.09,-60
155212,8.73,0.06,-60
156243,8.613,0.075,-58
157291,8.152,0.21,-60
158345,8.128,0.135,-56
158874,7.667,0.105,-58
159916,6.511,0.15,-65
161490,7.308,0.15,-61
162535,7.363,0.12,-59
163585,6.984,0.225,-61
164652,6.406,0.105,-61
165685,7.05,0.06,-58
166735,6.925,0.105,-59
167798,7.113,0.135,-58
168827,7.035,0.135,-58
169882,7.335,0.075,-56
170927,7.105,0.075,-57
171971,7.128,0.165,-58
172515,7.109,0.15,-58
173033,7.242,0.105,-56
174072,6.218,0.195,-59
175119,7.339,0.075,-56
175642,6.667,0.12,-60
176691,7.535,0.075,-55
177748,7.121,0.12,-59
178798,6.71,0.06,-60
179311,7.21,0.09,-58
179835,7.746,0.06,-57
180886,7.539,0.09,-59
181934,7.421,0.075,-58
182981,7.699,0.105,-60
184052,7.687,0.03,-63
185082,7.101,0.165,-64
186128,6.906,0.225,-67
189282,8.292,0.225,-72
