Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,2.73369E+12,"[14:22:3b:2a:86:f5, 21253, 90, -69, 14:22:3b:16:5a:bd, 6808, 75, -50, b0:e4:d5:96:3b:95, 13257, 30, -54, f8:1a:2b:06:3c:0b, 10324, 60, -57, cc:f4:11:8b:29:4d, 24679, 0, -69, b0:e4:d5:39:26:89, -152980, 795, -74]",2.73416E+12,-0.43908295,0.31286156,9.6071825,0.001069014,0.011453724,-0.08399397,-696.5102,36.221798,-52.252598,1.5180417,-0.032519955,0.045671828
1,2.7343E+12,"[14:22:3b:2a:86:f5, 20921, 135, -69, 14:22:3b:16:5a:bd, 7000, 225, -60, b0:e4:d5:96:3b:95, 13253, 60, -55, f8:1a:2b:06:3c:0b, 9992, 90, -61, b0:e4:d5:39:26:89, 47773, 375, -75]",2.73436E+12,0.28953153,0.2638087,9.614362,0.03726278,-0.025503624,-0.071318515,-697.1324,37.149,-51.8012,1.5145744,-0.027419718,-0.030105384
2,2.7343E+12,"[14:22:3b:2a:86:f5, 20921, 135, -69, 14:22:3b:16:5a:bd, 7000, 225, -60, b0:e4:d5:96:3b:95, 13253, 60, -55, f8:1a:2b:06:3c:0b, 9992, 90, -61, b0:e4:d5:39:26:89, 47773, 375, -75]",2.73456E+12,-1.1312069,-0.34097722,9.3200445,-0.00870483,-0.012217305,0.023060163,-697.51056,37.21,-51.8012,1.5159338,0.036302872,0.120782755
3,2.7347E+12,"[14:22:3b:2a:86:f5, 20777, 195, -67, 14:22:3b:16:5a:bd, 6589, 120, -54, b0:e4:d5:96:3b:95, 13066, 75, -56, f8:1a:2b:06:3c:0b, 10125, 105, -60, cc:f4:11:8b:29:4d, 25210, 300, -69, b0:e4:d5:39:26:89, 55261, 345, -76]",2.73477E+12,-0.8877372,-0.12562318,9.973883,0.012064588,0.002596177,0.03894266,-696.66876,36.9782,-51.7768,1.517729,0.01254496,0.08877226
4,2.7347E+12,"[14:22:3b:2a:86:f5, 20777, 195, -67, 14:22:3b:16:5a:bd, 6589, 120, -54, b0:e4:d5:96:3b:95, 13066, 75, -56, f8:1a:2b:06:3c:0b, 10125, 105, -60, cc:f4:11:8b:29:4d, 25210, 300, -69, b0:e4:d5:39:26:89, 55261, 345, -76]",2.73497E+12,-2.5022943,-0.907478,9.793225,-0.013744468,0.001985312,-0.026267206,-698.3036,38.5154,-51.630398,1.4993343,0.08953942,0.2501604
5,2.7347E+12,"[14:22:3b:2a:86:f5, 20777, 195, -67, 14:22:3b:16:5a:bd, 6589, 120, -54, b0:e4:d5:96:3b:95, 13066, 75, -56, f8:1a:2b:06:3c:0b, 10125, 105, -60, cc:f4:11:8b:29:4d, 25210, 300, -69, b0:e4:d5:39:26:89, 55261, 345, -76]",2.73517E+12,-0.67417777,0.13758731,9.292527,-0.005650504,0.04917465,-0.015424348,-697.0592,37.1368,-51.5206,1.5177007,-0.014766343,0.07242364
6,2.73518E+12,"[14:22:3b:2a:86:f5, 21046, 120, -67, 14:22:3b:16:5a:bd, 6332, 45, -57, b0:e4:d5:96:3b:95, 13367, 45, -54, f8:1a:2b:06:3c:0b, 9347, 105, -66, b0:e4:d5:39:26:89, 47949, 225, -76]",2.73537E+12,-0.5401797,-0.09930214,9.850653,0.001679879,0.018020526,0.26145032,-696.87616,35.3556,-51.642597,1.5204297,0.010065304,0.05478208
7,2.73518E+12,"[14:22:3b:2a:86:f5, 21046, 120, -67, 14:22:3b:16:5a:bd, 6332, 45, -57, b0:e4:d5:96:3b:95, 13367, 45, -54, f8:1a:2b:06:3c:0b, 9347, 105, -66, b0:e4:d5:39:26:89, 47949, 225, -76]",2.73557E+12,-1.80359,-0.8380861,9.805189,-0.04153884,0.031154128,0.111177474,-696.8518,36.905,-52.2038,1.5089369,0.08386626,0.18190898
8,2.73568E+12,"[14:22:3b:2a:86:f5, 28863, 270, -72, 14:22:3b:16:5a:bd, 6593, 45, -51, b0:e4:d5:96:3b:95, 13265, 15, -54, f8:1a:2b:06:3c:0b, 10441, 60, -62, cc:f4:11:8b:29:4d, 33343, 0, -71, b0:e4:d5:39:26:89, 48917, 255, -74]",2.73577E+12,-0.81595254,0.8775677,9.592228,0.005650504,0.033444874,-0.053450707,-696.925,35.1116,-51.972,1.5217456,-0.0909069,0.08485963
9,2.73568E+12,"[14:22:3b:2a:86:f5, 28863, 270, -72, 14:22:3b:16:5a:bd, 6593, 45, -51, b0:e4:d5:96:3b:95, 13265, 15, -54, f8:1a:2b:06:3c:0b, 10441, 60, -62, cc:f4:11:8b:29:4d, 33343, 0, -71, b0:e4:d5:39:26:89, 48917, 255, -74]",2.73597E+12,0.09212367,0.87936234,9.913465,0.013897184,-0.039858956,0.002443461,-696.66876,36.1608,-51.471798,1.5117711,-0.08846848,-0.009292515
10,2.73617E+12,"[14:22:3b:2a:86:f5, 0, 0, -72, 14:22:3b:16:5a:bd, 6707, 60, -49, b0:e4:d5:96:3b:95, 12839, 15, -58, f8:1a:2b:06:3c:0b, 10039, 60, -59, b0:e4:d5:39:26:89, 48000, 255, -76]",2.73617E+12,-1.430908,0.9619147,9.647263,0.02443461,-0.102319926,0.039858956,-697.23,35.7826,-51.5206,1.5269784,-0.0983116,0.14724915
11,2.73617E+12,"[14:22:3b:2a:86:f5, 0, 0, -72, 14:22:3b:16:5a:bd, 6707, 60, -49, b0:e4:d5:96:3b:95, 12839, 15, -58, f8:1a:2b:06:3c:0b, 10039, 60, -59, b0:e4:d5:39:26:89, 48000, 255, -76]",2.73637E+12,0.14237295,-0.16630118,9.327821,-0.012522738,0.100029185,0.036957346,-696.4126,34.8798,-51.6792,1.5222913,0.017824551,-0.015262075
12,2.73617E+12,"[14:22:3b:2a:86:f5, 0, 0, -72, 14:22:3b:16:5a:bd, 6707, 60, -49, b0:e4:d5:96:3b:95, 12839, 15, -58, f8:1a:2b:06:3c:0b, 10039, 60, -59, b0:e4:d5:39:26:89, 48000, 255, -76]",2.73657E+12,-0.9062816,-0.4851448,9.430114,-0.008857546,-0.111177474,0.013897184,-696.9372,35.9534,-51.667,1.5183374,0.051165685,0.0958108
13,2.73665E+12,"[14:22:3b:2a:86:f5, 20171, 390, -72, 14:22:3b:16:5a:bd, 6757, 90, -51, b0:e4:d5:96:3b:95, 13175, 90, -55, f8:1a:2b:06:3c:0b, 10468, 75, -58, cc:f4:11:8b:29:4d, -177117, 285, -71, b0:e4:d5:39:26:89, 50398, 300, -76]",2.73677E+12,-1.4386846,-0.18484555,9.777073,-0.007788532,0.003665192,0.085673854,-695.9612,36.2828,-52.496597,1.5174134,0.018702421,0.14610034
14,2.73665E+12,"[14:22:3b:2a:86:f5, 20171, 390, -72, 14:22:3b:16:5a:bd, 6757, 90, -51, b0:e4:d5:96:3b:95, 13175, 90, -55, f8:1a:2b:06:3c:0b, 10468, 75, -58, cc:f4:11:8b:29:4d, -177117, 285, -71, b0:e4:d5:39:26:89, 50398, 300, -76]",2.73697E+12,-0.27218357,0.2440679,9.722636,0.008857546,-0.035277467,-0.03573562,-695.71716,35.3312,-52.337997,1.5189793,-0.025087962,0.027987521
