M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth
0.0,5.911537829318528,8.208786512024783,0.11,-61.0,10.739988273413012,12.727182288315037,0.175,-77.0,0.0,0.0,0.0,0.0,0,0,0,0,11.173118684729388,16.39137581168829,0.225,-79.0,13.505277010811811,15.02168099781113,0.244,-70.0,13.727441443706981,16.186279251267106,0.082,-74.0,12.880689283357626,14.622454000611524,0.11,-67.0,-0.60658056,0.35533416,9.899706,-0.006108473,0.017103724,-0.012827792,-2.9375,29.9375,39.75,0.017581593,-0.035810903,0.061196078,"[21.9101, 13.464457]"
200.0,5.916285310325779,7.425184442153609,0.288,-68.0,10.743326521274026,13.371655133153862,0.0,-83.0,0.0,0.0,0.0,0.0,0,0,0,0,11.169643232463152,14.935633096725429,0.067,-79.0,13.51012212742772,15.02168099781113,0.162,-72.0,13.723019523569521,16.15726539362401,0.114,-73.0,12.876180021367759,14.115147041387845,0.22,-65.0,0.13998012,-0.059820566,9.821341,0.007330167,0.02687728,-0.006413896,-3.0125,29.2875,38.7375,0.12014811,0.006090182,-0.014251684,"[21.90524882, 13.464457]"
400.0,5.921032969227534,7.425184442153609,0.288,-68.0,10.746665928940214,13.371655133153862,0.0,-83.0,0.0,0.0,0.0,0.0,0,0,0,0,11.166168798918653,14.935633096725429,0.067,-79.0,13.514967258381315,15.02168099781113,0.162,-72.0,13.718597884476454,16.15726539362401,0.114,-73.0,12.871670998730577,14.115147041387845,0.22,-65.0,-0.2015953,0.13878371,9.923036,-0.006261184,-0.022295926,0.00167983,-2.4750001,29.85,39.7375,0.05686259,-0.013982217,0.020313095,"[21.90039763, 13.464457]"
600.0,5.925780786046562,8.129638675857617,0.095,-60.0,10.750006481569763,14.544408169464992,0.597,-79.0,0.0,0.0,0.0,0.0,0,0,0,0,11.162695399377872,15.834107616155702,0.417,-79.0,13.519812383692893,16.45840684878096,0.259,-71.0,13.714176544937528,16.39137581168829,0.114,-71.0,12.867162234296833,15.717048864211117,0.274,-69.0,-0.7728817,0.38404804,10.153943,0.002901525,-0.000153,0.040926766,-3.0875,30.050001,39.2625,0.003457543,-0.037695594,0.07596992,"[21.89554645, 13.464457]"
800.0,5.930528779953948,7.307915229393401,0.095,-65.0,10.753348191861319,14.31026767744056,0.095,-77.0,0.0,0.0,0.0,0.0,0,0,0,0,11.159223020479835,16.576460900928158,0.578,-81.0,13.524657523332824,15.255808598694465,0.338,-67.0,13.709755487005845,16.47941652486519,0.14,-69.0,12.86265370973995,16.030204115980556,0.151,-71.0,-0.49172506,-0.25842485,10.107283,0.007941014,-0.020616096,0.033596598,-3.65,29.362501,38.7625,0.058002003,0.025532426,0.04861224,"[21.89069526, 13.464457]"
1000.0,5.935276930973641,7.307915229393401,0.095,-65.0,10.75669104496551,14.31026767744056,0.095,-77.0,0.0,0.0,0.0,0.0,0,0,0,0,11.155751677499868,16.576460900928158,0.578,-81.0,13.52950265732139,15.255808598694465,0.338,-67.0,13.70533472918944,16.47941652486519,0.14,-69.0,12.858145443909327,16.030204115980556,0.151,-71.0,-0.42532423,0.53300124,10.044471,-0.004581355,-0.004886778,0.04688253,-2.9625,29.8125,39.25,0.046893243,-0.052967045,0.042318836,"[21.88584408, 13.464457]"
1200.0,5.940025258280636,7.89518340508946,0.122,-70.0,10.76003505359239,14.74052241272337,0.243,-81.0,0.0,0.0,0.0,0.0,0,0,0,0,11.152281357087304,19.2345023590422,0.705,-75.0,13.534347805629,14.933631976180477,0.143,-75.0,13.700914253544513,15.435904119940627,0.13,-77.0,12.853637418481167,15.717048864211117,0.191,-74.0,-0.22911277,0.12801601,9.650852,-0.001832542,-0.001527118,0.025044737,-3.3,29.6375,39.5875,0.08088109,-0.013260223,0.0237357,"[21.88099289, 13.464457]"
1400.0,5.944773741900052,11.327970736191014,0.097,-69.0,10.763380202885044,14.857589171867689,0.155,-78.0,0.0,0.0,0.0,0.0,0,0,0,0,11.148812074510792,17.739955157778724,0.521,-74.0,13.539192948275925,16.135254847692988,1.013,-69.0,13.696494078577375,15.247804300947728,0.199,-76.0,12.849129652303501,15.443908313636157,0.078,-70.0,-0.7902297,0.10049855,9.679565,0.004428643,-0.048409645,0.021379653,-3.1875,29.2625,39.4,-0.001004396,-0.010347752,0.081458315,"[21.87614171, 13.464457]"
1600.0,5.949522401010782,11.327970736191014,0.097,-69.0,10.766726505564918,14.857589171867689,0.155,-78.0,0.0,0.0,0.0,0.0,0,0,0,0,11.145343816429985,17.739955157778724,0.521,-74.0,13.544038105232621,16.135254847692988,1.013,-69.0,13.692074186347321,15.247804300947728,0.199,-76.0,12.8446221270553,15.443908313636157,0.078,-70.0,-0.45104706,0.3505485,9.731011,-0.000764,0.013285928,-0.04199575,-2.9375,29.9375,39.925,0.03810614,-0.035969693,0.046318356,"[21.87129052, 13.464457]"
1800.0,5.954271215639077,7.934261150226907,0.148,-72.0,10.770073946767562,21.311135328743045,0.441,-81.0,0.0,0.0,0.0,0.0,0,0,0,0,11.141876598106863,15.521948975563603,0.156,-76.0,13.548883256519327,15.402886774887362,0.135,-69.0,13.687654595358959,15.864122541130348,0.103,-73.0,12.840114861583258,15.75606854516697,0.156,-76.0,-0.46002015,0.148355,9.2895355,-0.00167983,-0.001374406,-0.05803049,-3.1125,29.7875,39.25,0.04001833,-0.015949221,0.04947983,"[21.86643934, 13.464457]"
