Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,1.644E+13,"[b0:e4:d5:39:26:89, 7120, 64, -64, 14:22:3b:16:5a:bd, 14583, 68, -74, b0:e4:d5:91:ba:5d, 26975, 201, -75, cc:f4:11:8b:29:4d, 15374, 1581, -76, b0:e4:d5:96:3b:95, 18694, 857, -74, 14:22:3b:2a:86:f5, 16633, 975, -73, f8:1a:2b:06:3c:0b, 14415, 178, -73]",1.64402E+13,-0.10767702,-0.25184458,9.908679,0.008551862,-0.032069482,-0.018630842,-6.8625,26.3375,37.4625,0.23232575,0.025409594,0.010866512
1,1.64403E+13,"[b0:e4:d5:39:26:89, 7706, 356, -68, 14:22:3b:16:5a:bd, 15921, 146, -69, b0:e4:d5:91:ba:5d, 27004, 142, -75, cc:f4:11:8b:29:4d, 12561, 194, -80, b0:e4:d5:96:3b:95, 17834, 1288, -74, 14:22:3b:2a:86:f5, 15491, 121, -75, f8:1a:2b:06:3c:0b, 15880, 1632, -75]",1.64404E+13,-0.37806597,0.02751746,9.777672,-3.05E-04,-0.007941014,-0.005344913,-6.275,26.025,37.2625,0.18425502,-0.002812207,0.038647003
2,1.64406E+13,"[b0:e4:d5:39:26:89, 7354, 60, -68, 14:22:3b:16:5a:bd, 16623, 124, -67, b0:e4:d5:91:ba:5d, 27297, 124, -76, cc:f4:11:8b:29:4d, 14124, 1384, -76, b0:e4:d5:96:3b:95, 18460, 1157, -75, 14:22:3b:2a:86:f5, 15217, 151, -78, f8:1a:2b:06:3c:0b, 15616, 854, -70]",1.64406E+13,0.37088752,-0.45164528,9.308679,-0.04214846,-0.011300675,0.12446013,-6.525,26.5125,38.287502,0.2767417,0.048442338,-0.03982213
3,1.64406E+13,"[b0:e4:d5:39:26:89, 7354, 60, -68, 14:22:3b:16:5a:bd, 16623, 124, -67, b0:e4:d5:91:ba:5d, 27297, 124, -76, cc:f4:11:8b:29:4d, 14124, 1384, -76, b0:e4:d5:96:3b:95, 18460, 1157, -75, 14:22:3b:2a:86:f5, 15217, 151, -78, f8:1a:2b:06:3c:0b, 15616, 854, -70]",1.64408E+13,-0.5665008,0.044865426,9.674182,0.017561859,0.014049487,0.03283304,-6.8,25.575,37.9375,0.17805737,-0.004629682,0.05849121
4,1.64409E+13,"[b0:e4:d5:39:26:89, 7364, 220, -66, 14:22:3b:16:5a:bd, 14612, 181, -67, b0:e4:d5:91:ba:5d, 27473, 116, -70, cc:f4:11:8b:29:4d, 16389, 124, -81, b0:e4:d5:96:3b:95, 18616, 1381, -76, 14:22:3b:2a:86:f5, 15569, 110, -76, f8:1a:2b:06:3c:0b, 14356, 399, -72]",1.6441E+13,-0.4743771,0.67477596,9.828519,-0.004123219,-0.011606098,-0.007788302,-6.4500003,25.875,38.25,0.1958452,-0.06846788,0.04822794
5,1.64412E+13,"[b0:e4:d5:39:26:89, 7882, 97, -63, 14:22:3b:16:5a:bd, 14729, 442, -71, b0:e4:d5:91:ba:5d, 26936, 75, -76, cc:f4:11:8b:29:4d, 13147, 0, -77, b0:e4:d5:96:3b:95, 17337, 266, -76, 14:22:3b:2a:86:f5, 20208, 519, -71, f8:1a:2b:06:3c:0b, 17257, 1907, -72]",1.64412E+13,-0.7405786,0.38763726,9.945169,-0.003817795,0.03420745,-0.0943759,-7.3625,26.175001,36.975002,0.1839706,-0.038850263,0.07432898
6,1.64412E+13,"[b0:e4:d5:39:26:89, 7882, 97, -63, 14:22:3b:16:5a:bd, 14729, 442, -71, b0:e4:d5:91:ba:5d, 26936, 75, -76, cc:f4:11:8b:29:4d, 13147, 0, -77, b0:e4:d5:96:3b:95, 17337, 266, -76, 14:22:3b:2a:86:f5, 20208, 519, -71, f8:1a:2b:06:3c:0b, 17257, 1907, -72]",1.64414E+13,-0.5306084,-0.39361933,9.716655,0.001374406,-0.021379653,-0.037108973,-6.0750003,26.2875,38.425,0.14172232,0.04042745,0.054553952
7,1.64415E+13,"[b0:e4:d5:39:26:89, 7638, 117, -72, 14:22:3b:16:5a:bd, 15374, 191, -71, b0:e4:d5:91:ba:5d, 27092, 285, -72, cc:f4:11:8b:29:4d, 15178, 55, -79, b0:e4:d5:96:3b:95, 17913, 1712, -72, 14:22:3b:2a:86:f5, 15139, 165, -74, f8:1a:2b:06:3c:0b, 15528, 199, -69]",1.64416E+13,-0.35353956,-0.31585258,9.866804,-0.002596101,0.020310672,0.0581832,-7.0125003,26.475,37.6375,0.20176423,0.0319802,0.03581589
8,1.64418E+13,"[b0:e4:d5:39:26:89, 7061, 325, -68, 14:22:3b:16:5a:bd, 15022, 298, -69, b0:e4:d5:91:ba:5d, 26653, 257, -78, cc:f4:11:8b:29:4d, 16624, 124, -78, b0:e4:d5:96:3b:95, 19417, 375, -71, 14:22:3b:2a:86:f5, 15764, 78, -74, f8:1a:2b:06:3c:0b, 15294, 191, -78]",1.64418E+13,-0.2847459,0.62452674,10.098908,-0.005344913,-0.010384403,-0.005497625,-6.675,26.625,37.3,0.22766322,-0.061737888,0.028188242
9,1.64418E+13,"[b0:e4:d5:39:26:89, 7061, 325, -68, 14:22:3b:16:5a:bd, 15022, 298, -69, b0:e4:d5:91:ba:5d, 26653, 257, -78, cc:f4:11:8b:29:4d, 16624, 124, -78, b0:e4:d5:96:3b:95, 19417, 375, -71, 14:22:3b:2a:86:f5, 15764, 78, -74, f8:1a:2b:06:3c:0b, 15294, 191, -78]",1.6442E+13,-0.35832518,-0.34337005,10.124631,0.012980504,0.030236939,-0.1368298,-6.275,26.025,37.425,0.17937656,0.03388014,0.035376668
