Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,11.144,0.18,-62
490,12.023,0.135,-62
1031,12.441,0.06,-62
1558,11.316,0.12,-62
2113,11.3,0.18,-62
2596,12.316,0.135,-62
3142,12.925,0.135,-62
3639,13.171,0.18,-61
4223,13.316,0.06,-60
4692,12.46,0.045,-62
5246,12.503,0.105,-60
5736,12.722,0.165,-60
6282,12.679,0.09,-60
6796,12.343,0.09,-61
7844,12.476,0.195,-62
8387,13.039,0.075,-61
8878,12.589,0.195,-60
9412,12.769,0.06,-60
9931,11.109,0.15,-60
10977,12.648,0.045,-59
11507,12.964,0.15,-58
12036,12.214,0.105,-58
12558,13.082,0.15,-62
13089,17.664,0.18,-60
13621,12.683,0.15,-63
14167,16.621,0.18,-62
14665,12.492,0.165,-67
15182,14.207,0.135,-64
15696,16.046,0.15,-63
16220,11.25,0.09,-72
16742,20.214,0.075,-66
17272,15.441,0.135,-67
17797,14.601,0.18,-65
18851,11.808,0.135,-67
19893,14.781,0.015,-63
20421,15.957,0.12,-68
20957,9.8,0.06,-67
21465,12.625,0.18,-60
22549,13.191,0.015,-61
23044,26.019,0.045,-65
23591,17.753,0.135,-66
24093,16.531,0.09,-66
24622,12.726,0.165,-65
25195,14.191,0.195,-64
25657,8.156,0.15,-66
26183,14.761,0.105,-65
26717,12.89,0.165,-61
27242,10.515,0.075,-64
28286,13.199,0.18,-71
28821,17.964,0.18,-66
29358,14.855,0.15,-59
30388,16.015,0.045,-61
30908,17.601,0.165,-62
31442,18.64,0.15,-66
31954,14.601,0.18,-67
32476,23.019,0.135,-65
33002,19.699,0.135,-65
34047,11.503,0.09,-65
34618,13.941,0.18,-57
35098,12.851,0.18,-58
35631,15.89,0.06,-60
36206,10.722,0.435,-66
36688,12.23,0.195,-65
37752,13.738,0.135,-61
38262,13.042,0.165,-62
38774,11.699,0.18,-64
39815,9.878,0.135,-67
40341,15.218,0.195,-63
40861,13.656,0.075,-62
41405,12.039,0.075,-58
41940,13.375,0.12,-61
42450,11.718,0.18,-60
42962,10.976,0.18,-62
43484,14.816,0.135,-62
44015,15,0.12,-61
44546,14.273,0.18,-68
45062,9.507,0.15,-66
45582,27.074,0.18,-66
46166,13.074,0.09,-71
46630,11.875,0.165,-63
