Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,4.40096E+12,"[b0:e4:d5:39:26:89, 12296, 180, -58, 14:22:3b:16:5a:bd, 1011, 45, -39, cc:f4:11:8b:29:4d, 5175, 60, -47, b0:e4:d5:96:3b:95, 23742, 75, -60, 14:22:3b:2a:86:f5, 0, 0, -68, f8:1a:2b:06:3c:0b, 18601, 105, -62]",4.40115E+12,-0.2650051,0.069391854,9.347562,-0.040011674,0.020463986,0.014202617,-19.6176,-3.1232,50.752,1.7612714,-0.007420407,0.028342593
1,4.40096E+12,"[b0:e4:d5:39:26:89, 12296, 180, -58, 14:22:3b:16:5a:bd, 1011, 45, -39, cc:f4:11:8b:29:4d, 5175, 60, -47, b0:e4:d5:96:3b:95, 23742, 75, -60, 14:22:3b:2a:86:f5, 0, 0, -68, f8:1a:2b:06:3c:0b, 18601, 105, -62]",4.40134E+12,0.13459627,-0.38823548,9.750752,-0.024740042,-0.039553523,-0.03970624,-19.7396,-3.1109998,51.4474,1.6232213,0.03979114,-0.013802804
2,4.40135E+12,"[b0:e4:d5:39:26:89, 12718, 120, -57, 14:22:3b:16:5a:bd, 4003, 135, -43, cc:f4:11:8b:29:4d, 4898, 60, -53, b0:e4:d5:96:3b:95, 22414, 285, -61, 14:22:3b:2a:86:f5, 284753, 0, -66, f8:1a:2b:06:3c:0b, 18261, 60, -59]",4.40155E+12,1.8669999,0.6687939,9.817751,-0.003665192,0.020158553,0.0852157,-19.239399,-3.1109998,51.166798,1.7859832,-0.066821955,-0.1879219
3,4.40135E+12,"[b0:e4:d5:39:26:89, 12718, 120, -57, 14:22:3b:16:5a:bd, 4003, 135, -43, cc:f4:11:8b:29:4d, 4898, 60, -53, b0:e4:d5:96:3b:95, 22414, 285, -61, 14:22:3b:2a:86:f5, 284753, 0, -66, f8:1a:2b:06:3c:0b, 18261, 60, -59]",4.40175E+12,0.9176475,-0.32961133,9.870992,0.020005837,0.029626964,0.14172074,-19.947,-2.9157999,51.630398,1.6221795,0.033236306,-0.092697635
4,4.40176E+12,"[b0:e4:d5:39:26:89, 12406, 105, -55, 14:22:3b:16:5a:bd, 2789, 345, -39, cc:f4:11:8b:29:4d, 5328, 75, -51, b0:e4:d5:96:3b:95, 24632, 90, -62, 14:22:3b:2a:86:f5, 35503, 270, -64, f8:1a:2b:06:3c:0b, 17597, 165, -61]",4.40195E+12,1.2053844,0.25782663,9.587442,-0.011148291,-0.002290745,0.019089539,-19.4468,-2.8181999,51.252197,1.729403,-0.026675735,-0.1250691
5,4.40176E+12,"[b0:e4:d5:39:26:89, 12406, 105, -55, 14:22:3b:16:5a:bd, 2789, 345, -39, cc:f4:11:8b:29:4d, 5328, 75, -51, b0:e4:d5:96:3b:95, 24632, 90, -62, 14:22:3b:2a:86:f5, 35503, 270, -64, f8:1a:2b:06:3c:0b, 17597, 165, -61]",4.40215E+12,0.7112665,-0.18185452,9.5760765,0.009621128,0.033750303,0.075594574,-19.5566,-2.3424,51.630398,1.6305043,0.018936073,-0.07413922
6,4.40216E+12,"[b0:e4:d5:39:26:89, 12527, 180, -55, 14:22:3b:16:5a:bd, 2468, 105, -38, cc:f4:11:8b:29:4d, 13601, 255, -56, b0:e4:d5:96:3b:95, 26625, 285, -58, 14:22:3b:2a:86:f5, 30039, 150, -66, f8:1a:2b:06:3c:0b, 17519, 105, -59]",4.40235E+12,0.40438703,-0.007178468,9.614362,-3.05E-04,0.051923547,0.05100725,-19.2516,-3.0133998,51.2644,1.7090368,7.46E-04,-0.04203595
7,4.40216E+12,"[b0:e4:d5:39:26:89, 12527, 180, -55, 14:22:3b:16:5a:bd, 2468, 105, -38, cc:f4:11:8b:29:4d, 13601, 255, -56, b0:e4:d5:96:3b:95, 26625, 285, -58, 14:22:3b:2a:86:f5, 30039, 150, -66, f8:1a:2b:06:3c:0b, 17519, 105, -59]",4.40255E+12,1.4787644,-0.5736792,9.808778,0.007330383,-0.002138028,0.015424348,-19.764,-3.0012,52.0452,1.577938,0.057768434,-0.14963245
8,4.40257E+12,"[b0:e4:d5:39:26:89, 12527, 90, -54, 14:22:3b:16:5a:bd, 1835, 90, -39, cc:f4:11:8b:29:4d, 5289, 60, -47, b0:e4:d5:96:3b:95, -58574, 510, -56, 14:22:3b:2a:86:f5, 33449, 345, -65, f8:1a:2b:06:3c:0b, 17125, 75, -60]",4.40275E+12,1.3776677,0.2536392,9.782457,0.014660766,0.010231993,-0.005345071,-19.642,-3.0133998,51.239998,1.7290509,-0.02566897,-0.13991031
9,4.40257E+12,"[b0:e4:d5:39:26:89, 12527, 90, -54, 14:22:3b:16:5a:bd, 1835, 90, -39, cc:f4:11:8b:29:4d, 5289, 60, -47, b0:e4:d5:96:3b:95, -58574, 510, -56, 14:22:3b:2a:86:f5, 33449, 345, -65, f8:1a:2b:06:3c:0b, 17125, 75, -60]",4.40295E+12,0.6837491,-0.36909288,9.737592,-0.00290161,0.024892759,-0.039553523,-19.7274,-2.4522,51.1302,1.5955334,0.037792817,-0.070102416
