Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,27.519,0.256,-86
1054,26.899,0.571,-79
2102,28.877,0.184,-81
3150,28.961,1.064,-85
4202,29.471,0,-81
5247,29.321,0.556,-77
6297,30.522,0.645,-82
7354,27.296,0,-87
8392,26.819,0.591,-85
10489,26.508,0,-88
11671,28.958,1.383,-83
13639,27.115,1.438,-76
15733,28.574,0.719,-77
16788,27.614,1.017,-78
17840,27.757,0.554,-76
18879,27.408,0.835,-78
19930,28.034,0.32,-77
21110,27.026,1.035,-78
22025,27.035,0.796,-79
24133,26.115,0,-78
25173,27.761,0.604,-76
26350,27.563,0.801,-78
27282,27.75,1.035,-79
29378,27.533,0.769,-77
30417,27.259,0.985,-78
31466,27.349,0.491,-78
32511,26.708,0.333,-76
34609,26.568,0.521,-81
36700,27.209,0.885,-75
37748,26.911,0.712,-78
38800,27.793,0.919,-81
39850,27.928,1.047,-80
40900,26.832,0.966,-80
41949,27.415,0.891,-74
45104,27.499,0.82,-79
46144,26.125,1.246,-77
47197,26.775,0.525,-80
49289,27.583,0.834,-81
50339,26.993,0.438,-79
51386,26.782,0.885,-78
54010,27.047,0.803,-79
55060,27.68,0.527,-85
56104,26.755,1.056,-78
58205,27.821,0.407,-87
59250,31.216,2,-90
60304,27.181,1.169,-88
61347,26.9,0.269,-89
62399,26.825,0.402,-84
63450,27.612,0.46,-81
64495,27.08,0.68,-85
66066,27.047,1.654,-88
67120,29.73,0.871,-85
69212,26.083,0.676,-90
71446,28.102,0.518,-81
72358,25.903,0.651,-84
74457,26.73,0.588,-83
75505,27.331,0.755,-85
76552,27.829,0.676,-88
77733,27.476,0.757,-87
78653,28.651,0.893,-91
79699,27.828,0.967,-88
80746,27.223,0.723,-88
81806,26.567,1.134,-85
82977,26.799,0.862,-83
84023,26.715,1.308,-89
84942,27.183,0.378,-87
86122,27.389,1.502,-87
87044,27.718,0.417,-93
89657,27.621,0.639,-92
91757,26.843,0.894,-88
92806,27.649,0.87,-92
93856,27.808,0.932,-83
94901,27.542,0.761,-90
95968,27.411,1.207,-88
97000,28.38,1.165,-88
98051,26.833,1.311,-91
99096,26.957,1.055,-90
102241,19.078,3.52,-90
