Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,6.14722E+14,"[b0:e4:d5:39:26:89, 16875, 90, -55, 14:22:3b:16:5a:bd, 32585, 360, -69, cc:f4:11:8b:29:4d, 27492, 210, -68, b0:e4:d5:96:3b:95, 11992, 75, -48, 14:22:3b:2a:86:f5, 3718, 75, -40, f8:1a:2b:06:3c:0b, 12171, 90, -52]",6.14722E+14,-0.2835495,0.17647067,9.724431,9.16E-04,-3.05E-04,-0.003359759,22.7652,4.2578,51.642597,-1.4342717,-0.018137448,0.029150205
1,6.14722E+14,"[b0:e4:d5:39:26:89, 16875, 90, -55, 14:22:3b:16:5a:bd, 32585, 360, -69, cc:f4:11:8b:29:4d, 27492, 210, -68, b0:e4:d5:96:3b:95, 11992, 75, -48, 14:22:3b:2a:86:f5, 3718, 75, -40, f8:1a:2b:06:3c:0b, 12171, 90, -52]",6.14722E+14,-0.2727818,-0.019142581,9.752547,9.16E-04,-4.58E-04,0.001527163,22.8872,3.8674,51.057,-1.4090396,0.001962059,0.027963022
2,6.14722E+14,"[b0:e4:d5:39:26:89, 16835, 60, -56, 14:22:3b:16:5a:bd, 30132, 105, -68, cc:f4:11:8b:29:4d, 28820, 240, -71, b0:e4:d5:96:3b:95, 15625, 420, -49, 14:22:3b:2a:86:f5, 3917, 150, -43, f8:1a:2b:06:3c:0b, 12398, 90, -51]",6.14723E+14,0.05503492,0.6879365,9.882956,0.015882496,-0.021991149,0.1282817,22.472399,4.4407997,51.630398,-1.5331181,-0.0694952,-0.005568613
3,6.14722E+14,"[b0:e4:d5:39:26:89, 16835, 60, -56, 14:22:3b:16:5a:bd, 30132, 105, -68, cc:f4:11:8b:29:4d, 28820, 240, -71, b0:e4:d5:96:3b:95, 15625, 420, -49, 14:22:3b:2a:86:f5, 3917, 150, -43, f8:1a:2b:06:3c:0b, 12398, 90, -51]",6.14723E+14,-0.2955136,0.4444668,9.600004,0.004734206,-0.014966198,-0.009621128,22.545599,3.6966,52.3502,-1.5167664,-0.046243694,0.030772936
4,6.14723E+14,"[b0:e4:d5:39:26:89, 16703, 75, -54, 14:22:3b:16:5a:bd, 29292, 135, -68, cc:f4:11:8b:29:4d, 29281, 45, -70, b0:e4:d5:96:3b:95, 13328, 105, -49, 14:22:3b:2a:86:f5, 4042, 105, -41, f8:1a:2b:06:3c:0b, 12179, 30, -53]",6.14723E+14,0.1160519,0.08973085,10.17847,-3.05E-04,-0.003359759,-0.08399397,22.0088,4.6116,50.996,-1.3790381,-0.008814951,-0.01140121
5,6.14723E+14,"[b0:e4:d5:39:26:89, 16703, 75, -54, 14:22:3b:16:5a:bd, 29292, 135, -68, cc:f4:11:8b:29:4d, 29281, 45, -70, b0:e4:d5:96:3b:95, 13328, 105, -49, 14:22:3b:2a:86:f5, 4042, 105, -41, f8:1a:2b:06:3c:0b, 12179, 30, -53]",6.14723E+14,-0.53599226,0.15433706,9.896116,-0.003970624,-0.005192355,-0.004581489,22.448,4.0748,52.337997,-1.4416186,-0.015571635,0.05410901
6,6.14723E+14,"[b0:e4:d5:39:26:89, 16332, 150, -55, 14:22:3b:16:5a:bd, 26882, 120, -67, cc:f4:11:8b:29:4d, 30082, 360, -72, b0:e4:d5:96:3b:95, 13578, 90, -52, 14:22:3b:2a:86:f5, 3367, 60, -42, f8:1a:2b:06:3c:0b, 11769, 105, -52]",6.14723E+14,-0.8249256,-0.0424726,9.795019,0.004581489,0.004428773,0.010079277,21.4354,3.7454,50.4958,-1.4175009,0.00432082,0.084020615
7,6.14723E+14,"[b0:e4:d5:39:26:89, 16332, 150, -55, 14:22:3b:16:5a:bd, 26882, 120, -67, cc:f4:11:8b:29:4d, 30082, 360, -72, b0:e4:d5:96:3b:95, 13578, 90, -52, 14:22:3b:2a:86:f5, 3367, 60, -42, f8:1a:2b:06:3c:0b, 11769, 105, -52]",6.14724E+14,-0.025722843,0.019740786,9.876974,-0.001527163,0.00290161,0.032070424,21.691599,4.2455997,51.8012,-1.3832489,-0.001998658,0.002604318
8,6.14724E+14,"[b0:e4:d5:39:26:89, 16234, 75, -56, 14:22:3b:16:5a:bd, 28617, 240, -67, cc:f4:11:8b:29:4d, 35507, 120, -68, b0:e4:d5:96:3b:95, 10117, 15, -50, 14:22:3b:2a:86:f5, 3097, 75, -43, f8:1a:2b:06:3c:0b, 11867, 120, -53]",6.14724E+14,-0.37328035,0.034097724,9.547362,-4.58E-04,0.026572637,-0.018020526,22.2894,4.5262,51.313198,-1.3936442,-0.003568687,0.03907784
9,6.14724E+14,"[b0:e4:d5:39:26:89, 16234, 75, -56, 14:22:3b:16:5a:bd, 28617, 240, -67, cc:f4:11:8b:29:4d, 35507, 120, -68, b0:e4:d5:96:3b:95, 10117, 15, -50, 14:22:3b:2a:86:f5, 3097, 75, -43, f8:1a:2b:06:3c:0b, 11867, 120, -53]",6.14724E+14,-0.7752745,0.3385844,9.933804,-0.001527163,0.001069014,-0.038789943,22.472399,4.0626,51.642597,-1.4812975,-0.033967666,0.0778862
10,6.14724E+14,"[b0:e4:d5:39:26:89, 16761, 30, -55, 14:22:3b:16:5a:bd, 29558, 90, -67, cc:f4:11:8b:29:4d, 34753, 315, -71, b0:e4:d5:96:3b:95, 10941, 90, -48, 14:22:3b:2a:86:f5, 2953, 60, -45, f8:1a:2b:06:3c:0b, -210093, 285, -55]",6.14724E+14,-0.19322042,0.16630118,9.886545,9.16E-04,0.003359759,-0.016798794,22.1918,4.819,51.606,-1.4017906,-0.016816162,0.019541286
11,6.14724E+14,"[b0:e4:d5:39:26:89, 16761, 30, -55, 14:22:3b:16:5a:bd, 29558, 90, -67, cc:f4:11:8b:29:4d, 34753, 315, -71, b0:e4:d5:96:3b:95, 10941, 90, -48, 14:22:3b:2a:86:f5, 2953, 60, -45, f8:1a:2b:06:3c:0b, -210093, 285, -55]",6.14724E+14,0.10049855,0.31046873,9.968499,-0.011453724,0.011759156,-0.008246681,22.1674,4.453,52.1184,-1.4411442,-0.031133335,-0.010081271
12,6.14725E+14,"[b0:e4:d5:39:26:89, 18843, 150, -55, 14:22:3b:16:5a:bd, 35121, 75, -67, cc:f4:11:8b:29:4d, 27019, 150, -70, b0:e4:d5:96:3b:95, 7640, 30, -49, 14:22:3b:2a:86:f5, 2699, 45, -45, f8:1a:2b:06:3c:0b, 5800, 90, -54]",6.14725E+14,-0.38763726,0.0317049,9.84826,0.00702495,0.009315695,0.013744468,21.105999,4.7092,51.557198,-1.3766207,-0.003216838,0.03934068
13,6.14725E+14,"[b0:e4:d5:39:26:89, 18843, 150, -55, 14:22:3b:16:5a:bd, 35121, 75, -67, cc:f4:11:8b:29:4d, 27019, 150, -70, b0:e4:d5:96:3b:95, 7640, 30, -49, 14:22:3b:2a:86:f5, 2699, 45, -45, f8:1a:2b:06:3c:0b, 5800, 90, -54]",6.14725E+14,-0.317049,0.16390835,9.45165,0.004581489,7.64E-04,0.011301007,20.837599,4.5994,51.0448,-1.4069198,-0.017330287,0.033531733
14,6.14725E+14,"[b0:e4:d5:39:26:89, 17488, 90, -52, 14:22:3b:16:5a:bd, 29148, 315, -68, cc:f4:11:8b:29:4d, 31496, 60, -69, b0:e4:d5:96:3b:95, 7816, 15, -51, 14:22:3b:2a:86:f5, 2625, 75, -46, f8:1a:2b:06:3c:0b, -173230, 255, -55]",6.14725E+14,-0.13519448,-0.034695927,10.058828,-0.008857546,-0.008857546,-0.013286319,22.3016,4.7092,51.008198,-1.3614228,0.003448976,0.013439571
15,6.14725E+14,"[b0:e4:d5:39:26:89, 17488, 90, -52, 14:22:3b:16:5a:bd, 29148, 315, -68, cc:f4:11:8b:29:4d, 31496, 60, -69, b0:e4:d5:96:3b:95, 7816, 15, -51, 14:22:3b:2a:86:f5, 2625, 75, -46, f8:1a:2b:06:3c:0b, -173230, 255, -55]",6.14725E+14,0.3493521,0.17527425,9.853643,-0.002596177,-0.034208454,-0.030390546,22.387,5.3802,51.398598,-1.3574561,-0.017774718,-0.035439257
16,6.14725E+14,"[b0:e4:d5:39:26:89, 16328, 75, -55, 14:22:3b:16:5a:bd, 30148, 210, -72, cc:f4:11:8b:29:4d, 26375, 120, -68, b0:e4:d5:96:3b:95, 8316, 75, -50, 14:22:3b:2a:86:f5, 2535, 300, -48, f8:1a:2b:06:3c:0b, 0, 0, -56]",6.14725E+14,-0.573081,0.05682954,9.527621,0.009468411,0.016493361,0.01863139,22.1796,5.3924,51.9964,-1.37192,-0.005953883,0.060077053
17,6.14725E+14,"[b0:e4:d5:39:26:89, 16328, 75, -55, 14:22:3b:16:5a:bd, 30148, 210, -72, cc:f4:11:8b:29:4d, 26375, 120, -68, b0:e4:d5:96:3b:95, 8316, 75, -50, 14:22:3b:2a:86:f5, 2535, 300, -48, f8:1a:2b:06:3c:0b, 0, 0, -56]",6.14726E+14,-0.6227321,0.32063824,9.303294,0.016493361,0.04841107,4.58E-04,22.6798,4.6359997,51.630398,-1.4594812,-0.034374524,0.06683703
18,6.14726E+14,"[b0:e4:d5:39:26:89, 18617, 75, -54, 14:22:3b:16:5a:bd, 30246, 45, -68, cc:f4:11:8b:29:4d, 26160, 15, -68, b0:e4:d5:96:3b:95, 10820, 60, -51, 14:22:3b:2a:86:f5, 2640, 45, -47, f8:1a:2b:06:3c:0b, -176804, 225, -58]",6.14726E+14,-1.4045869,-0.15373886,9.527023,0.014202617,0.03756821,-0.009315695,21.886799,5.4778,51.874397,-1.3602219,0.015963208,0.1463774
19,6.14726E+14,"[b0:e4:d5:39:26:89, 18617, 75, -54, 14:22:3b:16:5a:bd, 30246, 45, -68, cc:f4:11:8b:29:4d, 26160, 15, -68, b0:e4:d5:96:3b:95, 10820, 60, -51, 14:22:3b:2a:86:f5, 2640, 45, -47, f8:1a:2b:06:3c:0b, -176804, 225, -58]",6.14726E+14,-0.38823548,0.13998012,9.466006,9.16E-04,0.014049901,0.008857546,22.7652,5.0141997,52.032997,-1.4012326,-0.014774168,0.040990677
