M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth
0.0,4.461490782238603,0.9954878201163488,0.096,-48.0,18.0513046619905,14.779544783246878,0.174,-64.0,3.449202806446729,9.0902594022393,0.064,-59.0,15.330975180985716,21.30513367712111,0.292,-68.0,20.600701444368347,29.841811540186363,2.794,-83.0,8.368542286443917,17.161717891866186,0.0,-81.0,11.639527481818153,15.101725067024628,0.14,-76.0,21.070059325972483,19.380551307947872,0.225,-78.0,0.66041905,0.04366901,9.777073,-0.000610847,0.00167983,0.001068983,33.825,-3.0875,42.850002,-1.6769453,-0.004456286,-0.06744528,"[31.0, 13.75]"
282.877632,4.444369707022684,0.9954878201163488,0.165,-46.0,18.03418803690648,14.427338493291131,0.253,-64.0,3.46567863829018,8.757738520873982,0.055,-61.0,15.348128340488325,21.149090405972547,0.085,-66.0,20.61646779149379,31.021970859376424,0.206,-84.0,8.372456846189229,13.292599595263523,0.0,-79.0,11.627278958083911,10.791422936758618,0.172,-78.0,21.05423133839611,19.380551307947872,0.097,-83.0,0.62751776,0.062213387,9.762118,0.001832542,0.00167983,0.001221695,34.4625,-3.025,42.15,-1.674767,-0.006359728,-0.06419258,"[31.01716541, 13.75000064]"
563.823389,4.427248985128002,0.862559563160713,0.382,-51.0,18.017071514619598,14.31026767744056,0.382,-64.0,3.482161122566974,9.031169636320646,0.331,-62.0,15.365281517359742,21.149090405972547,0.16,-71.0,0.0,0.0,0.0,0.0,8.37640475063836,12.47098075533757,0.191,-79.0,11.61504289300375,16.098237046335232,0.335,-78.0,21.03840545744655,19.351541644013793,0.157,-82.0,0.6652047,0.047856454,9.757931,0.000610847,-0.000763559,-0.001374406,33.9875,-2.95,42.850002,-1.6727327,-0.00489297,-0.06806536,"[31.03433081, 13.75000128]"
853.644668,4.410128600605428,0.7710778170846313,0.146,-49.0,17.99995507545166,14.544408169464992,0.095,-64.0,3.4986501843250877,9.227463410927188,0.203,-61.0,15.382434731494167,21.149090405972547,0.128,-73.0,20.64800717070483,32.59616541865009,0.0,-89.0,8.38038595726223,12.77621994175116,0.285,-77.0,11.602819311713771,12.14070842249331,1.797,-80.0,21.02258166942105,18.970411935432505,0.224,-80.0,0.7070791,0.13878371,9.79143,-0.009468133,-0.003054236,0.004581355,33.6875,-2.8375,42.525,-1.6839782,-0.014136243,-0.072088934,"[31.05149622, 13.75000192]"
1165.758084,4.375888889906302,0.7241546796092669,0.095,-47.0,17.965722477451482,14.661476733262582,0.103,-67.0,3.531647643466914,9.14934800955784,0.104,-61.0,15.416741241209358,20.953035126205464,0.085,-71.0,0.0,0.0,0.0,0.0,8.388448080116214,12.72918383086677,0.091,-78.0,11.57840978010389,11.143788628648696,0.12,-80.0,20.99094041881891,18.91139138191582,0.245,-76.0,0.64965135,0.08554341,9.571889,-0.000458135,0.000458135,-0.009926268,33.675,-2.9750001,42.525,-1.6801791,-0.008916193,-0.06776683,"[31.08582704, 13.7500032]"
1454.422072,4.358769582016456,0.7241546796092669,0.095,-47.0,17.948606329125163,14.31026767744056,0.291,-67.0,3.5481558514123783,8.796801748362867,0.254,-62.0,15.43389452661615,20.757979092387583,0.348,-70.0,0.0,0.0,0.0,0.0,8.392528898175561,12.542037474031083,0.362,-79.0,11.56622391629662,11.260905114598915,0.256,-80.0,20.975122974998545,19.2345023590422,0.219,-75.0,0.6029913,0.14297116,9.746565,0.001832542,0.000458135,-0.002443389,33.8375,-2.95,42.025,-1.6855736,-0.014639838,-0.06178831,"[31.10299244, 13.75000384]"
1732.21236,4.341650628129437,0.951643315533714,0.146,-47.0,17.93149026498737,14.193195693711829,0.255,-66.0,3.564670277141586,8.992109652356337,0.069,-62.0,15.451047848923924,20.757979092387583,0.197,-70.0,0.0,0.0,0.0,0.0,8.396642826924143,12.764210747241679,0.12,-79.0,11.554050695143099,12.257806655352335,1.63,-79.0,20.959307643191288,19.322531951066868,0.245,-75.0,0.6843473,0.15732808,9.705289,-0.004428643,-0.000763559,-0.001374406,34.0875,-3.4625,42.662502,-1.7050984,-0.016168991,-0.070396304,"[31.12015785, 13.75000448]"
2045.291714,4.307413829642049,0.951643315533714,0.057,-47.0,17.897258420271847,14.154171434598354,0.199,-67.0,3.5977174111082615,8.992109652356337,0.114,-62.0,15.485354573906001,20.934029712408456,0.142,-69.0,0.0,0.0,0.0,0.0,8.40496981453185,12.605087266655476,0.135,-81.0,11.52974236233367,11.788401121441364,0.058,-80.0,20.92768336249838,19.322531951066868,0.127,-75.0,1.0612168,-0.25962126,9.81476,-0.000610847,-0.00671932,-0.003817795,33.1875,-3.1625001,42.8625,-1.639286,0.026292782,-0.10770615,"[31.15448867, 13.75000576]"
2333.879555,4.290296003865999,1.0820646930752338,0.057,-48.0,17.88014265020804,14.271243814047883,0.15,-66.0,3.614249942545273,8.913988108585293,0.1,-62.0,15.502507966409452,20.91402400304638,0.071,-69.0,0.0,0.0,0.0,0.0,8.409182772766242,12.70616606219201,0.382,-82.0,11.51760733817526,12.159724503458127,0.205,-81.0,20.91187443247469,18.125104799697024,1.599,-75.0,0.4031906,0.11365908,9.795618,0.003054236,-0.004275931,0.003665084,33.675,-2.9750001,43.0125,-1.679814,-0.011592717,-0.04113708,"[31.17165407, 13.7500064]"
2649.532607,4.273178549800729,0.7710778170846313,0.452,-49.0,17.86302696541874,14.427338493291131,0.109,-69.0,3.6307883573787416,8.796801748362867,0.041,-62.0,15.519661395458247,20.816996156986722,0.251,-66.0,20.774253215730212,37.284647564379625,2.679,-88.0,8.413428645449905,12.336871929302013,0.258,-81.0,11.505485117563584,15.51194378535456,0.297,-77.0,20.89606763377447,18.853371051353122,0.503,-78.0,0.8219346,0.12981063,9.755538,0.004275931,-0.001832542,-0.001221695,34.287502,-3.05,42.15,-1.6892413,-0.013258597,-0.08405461,"[31.18881948, 13.75000704]"
