Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,6.42915E+14,"['[b0:e4:d5:39:26:89, 1759, 131, -47, 14:22:3b:16:5a:bd, 19563, 161, -76, b0:e4:d5:91:ba:5d, 20764, 0, -72, cc:f4:11:8b:29:4d, 14358, 150, -72, b0:e4:d5:01:26:f5, 8538, 308, -65, 14:22:3b:2a:86:f5, 15696, 61, -73, f8:1a:2b:06:3c:0b, 13360, 66, -85]']",6.42915E+14,0.253041,0.111864455,9.856635,-0.002443389,0.000916271,-0.020463383,32.7375,-2.9375,43.9,-1.6793771,-0.011344926,-0.02566651
1,6.42915E+14,"['[b0:e4:d5:39:26:89, 880, 0, -49, 14:22:3b:16:5a:bd, 19387, 133, -75, b0:e4:d5:91:ba:5d, 21760, 175, -75, cc:f4:11:8b:29:4d, 14055, 295, -68, b0:e4:d5:01:26:f5, 9749, 95, -68, 14:22:3b:2a:86:f5, 11331, 134, -76, f8:1a:2b:06:3c:0b, 12974, 172, -82]']",6.42915E+14,0.36789647,0.19322042,9.781859,-0.002748813,0.001068983,0.002748813,31.550001,-3.575,43.7625,-1.7189763,-0.019736415,-0.037592355
2,6.42915E+14,"['[b0:e4:d5:39:26:89, 802, 55, -50, 14:22:3b:16:5a:bd, 19856, 111, -74, b0:e4:d5:91:ba:5d, 21194, 299, -76, cc:f4:11:8b:29:4d, 13967, 325, -67, b0:e4:d5:01:26:f5, 9006, 203, -70, 14:22:3b:2a:86:f5, 16340, 103, -76, f8:1a:2b:06:3c:0b, 13243, 73, -82]']",6.42915E+14,0.3379862,0.035294134,9.687343,0.013133216,-0.002290677,0.015271181,31.875,-3.5375001,44.4,-1.6923777,-0.003641093,-0.03487532
3,6.42915E+14,"['[b0:e4:d5:39:26:89, 802, 55, -50, 14:22:3b:16:5a:bd, 19856, 111, -74, b0:e4:d5:91:ba:5d, 21194, 299, -76, cc:f4:11:8b:29:4d, 13967, 325, -67, b0:e4:d5:01:26:f5, 9006, 203, -70, 14:22:3b:2a:86:f5, 16340, 103, -76, f8:1a:2b:06:3c:0b, 13243, 73, -82]']",6.42915E+14,0.2835495,0.38344982,9.902697,-0.01007898,-0.018172706,-0.012064233,32.375,-3.2375,43.575,-1.7287385,-0.038686585,-0.028625742
4,6.42916E+14,"['[b0:e4:d5:39:26:89, 880, 0, -50, 14:22:3b:16:5a:bd, 19592, 138, -71, b0:e4:d5:91:ba:5d, 21546, 199, -78, cc:f4:11:8b:29:4d, 14241, 146, -67, b0:e4:d5:01:26:f5, 9553, 279, -69, 14:22:3b:2a:86:f5, 15960, 117, -75, f8:1a:2b:06:3c:0b, 13348, 364, -81]']",6.42916E+14,0.41336012,0.49830532,9.794421,0.023364907,0.004581355,-0.002901525,32.7125,-3.2,44.2125,-1.7476611,-0.050787482,-0.0421786
5,6.42916E+14,"['[b0:e4:d5:39:26:89, 1075, 221, -49, 14:22:3b:16:5a:bd, 19592, 161, -72, b0:e4:d5:91:ba:5d, 21585, 165, -79, cc:f4:11:8b:29:4d, 14241, 116, -67, b0:e4:d5:01:26:f5, 9670, 118, -70, 14:22:3b:2a:86:f5, 12444, 1966, -75, f8:1a:2b:06:3c:0b, 13507, 67, -81]']",6.42916E+14,0.21595225,0.2638087,9.764511,-0.007635591,0.001068983,-0.002137966,32.2625,-2.9875,43.75,-1.7038196,-0.027003922,-0.022112427
6,6.42916E+14,"['[b0:e4:d5:39:26:89, 1075, 221, -49, 14:22:3b:16:5a:bd, 19592, 161, -72, b0:e4:d5:91:ba:5d, 21585, 165, -79, cc:f4:11:8b:29:4d, 14241, 116, -67, b0:e4:d5:01:26:f5, 9670, 118, -70, 14:22:3b:2a:86:f5, 12444, 1966, -75, f8:1a:2b:06:3c:0b, 13507, 67, -81]']",6.42916E+14,0.27936205,-0.06460621,9.796814,-0.006413896,-0.000152712,-0.000916271,32.3375,-2.3375,44.275,-1.6363649,0.00659184,-0.028507877
7,6.42916E+14,"['[b0:e4:d5:39:26:89, 1270, 199, -43, 14:22:3b:16:5a:bd, 19680, 138, -73, b0:e4:d5:91:ba:5d, 22171, 165, -72, cc:f4:11:8b:29:4d, 14553, 95, -65, b0:e4:d5:96:3b:95, 30081, 175, -83, b0:e4:d5:01:26:f5, 8655, 224, -62, 14:22:3b:2a:86:f5, 14231, 1436, -75, f8:1a:2b:06:3c:0b, 13185, 364, -85]']",6.42916E+14,0.30329028,-0.09750752,9.802198,0.005803049,-0.000152712,0.002901525,32.5625,-3.0875,43.075,-1.655466,0.00994243,-0.03093118
8,6.42917E+14,"['[b0:e4:d5:39:26:89, 1544, 692, -49, 14:22:3b:16:5a:bd, 19856, 97, -78, b0:e4:d5:91:ba:5d, 21028, 97, -72, cc:f4:11:8b:29:4d, 14788, 89, -63, b0:e4:d5:96:3b:95, 36032, 162, -82, b0:e4:d5:01:26:f5, 8733, 114, -61, 14:22:3b:2a:86:f5, 11155, 170, -75, f8:1a:2b:06:3c:0b, 14088, 1192, -83]']",6.42917E+14,0.6801598,0.95712906,9.567103,0.052532863,-0.000458135,0.18065807,32.5875,-2.95,43.75,-1.8204919,-0.0994626,-0.070974186
9,6.42917E+14,"['[b0:e4:d5:39:26:89, 880, 95, -47, 14:22:3b:16:5a:bd, 19522, 105, -77, b0:e4:d5:91:ba:5d, 20764, 222, -66, cc:f4:11:8b:29:4d, 14436, 198, -67, b0:e4:d5:96:3b:95, 38091, 249, -81, b0:e4:d5:01:26:f5, 7912, 388, -58, 14:22:3b:2a:86:f5, 10715, 366, -79, f8:1a:2b:06:3c:0b, 12013, 0, -83]']",6.42917E+14,0.19980069,0.4223332,10.053444,0.012827792,0.001374406,0.03115321,31.9625,-2.75,43.600002,-1.7177982,-0.04197585,-0.019871239
