Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,6.39232E+14,"['[b0:e4:d5:39:26:89, 1075, 221, -47, 14:22:3b:16:5a:bd, 19329, 166, -77, b0:e4:d5:91:ba:5d, 21731, 119, -65, cc:f4:11:8b:29:4d, 14875, 268, -64, b0:e4:d5:96:3b:95, 33286, 960, -83, 14:22:3b:2a:86:f5, 16194, 191, -78, f8:1a:2b:06:3c:0b, 13536, 0, -84]']",6.39E+14,0.7531409,-0.06999006,9.562318,0.02611372,0.00503949,-0.021226943,33.725002,-2.575,42.7,-1.6448314,0.007296635,-0.07859907
1,6.39232E+14,"['[b0:e4:d5:39:26:89, 919, 146, -51, 14:22:3b:16:5a:bd, 19569, 182, -77, b0:e4:d5:91:ba:5d, 21438, 186, -67, cc:f4:11:8b:29:4d, 15139, 103, -68, b0:e4:d5:96:3b:95, 30675, 376, -84, 14:22:3b:2a:86:f5, 10979, 105, -73, f8:1a:2b:06:3c:0b, 12979, 178, -76]']",6.39E+14,0.6987042,0.5066802,9.680762,0.026571855,0.005497625,0.02275406,33.537502,-2.7250001,42.8625,-1.7364272,-0.052155744,-0.07204957
2,6.39232E+14,"['[b0:e4:d5:39:26:89, 1739, 147, -54, 14:22:3b:16:5a:bd, 19358, 218, -78, b0:e4:d5:91:ba:5d, 21409, 180, -68, cc:f4:11:8b:29:4d, 14670, 54, -70, b0:e4:d5:96:3b:95, 29302, 360, -82, 14:22:3b:2a:86:f5, 10522, 354, -76, f8:1a:2b:06:3c:0b, 13067, 172, -76]']",6.39E+14,0.74536425,-0.05383851,9.957731,0.014049487,-0.007635591,0.027335415,33.725002,-2.575,42.8625,-1.6472434,0.005391569,-0.07471349
3,6.39233E+14,"['[b0:e4:d5:39:26:89, 1583, 12, -51, 14:22:3b:16:5a:bd, 19241, 113, -74, b0:e4:d5:91:ba:5d, 21975, 1471, -77, cc:f4:11:8b:29:4d, 14788, 172, -68, b0:e4:d5:96:3b:95, 29218, 208, -78, 14:22:3b:2a:86:f5, 12297, 427, -80, f8:1a:2b:06:3c:0b, 12569, 466, -80]']",6.39E+14,0.721436,0.11964113,9.416953,0.009009997,0.007330167,-0.037414394,33.375,-2.875,42.2125,-1.6847711,-0.012667069,-0.076460995
4,6.39233E+14,"['[b0:e4:d5:39:26:89, 1583, 97, -48, 14:22:3b:16:5a:bd, 19504, 117, -73, b0:e4:d5:91:ba:5d, 21643, 131, -72, cc:f4:11:8b:29:4d, 14407, 326, -67, b0:e4:d5:96:3b:95, 29620, 159, -79, 14:22:3b:2a:86:f5, 12356, 101, -76, f8:1a:2b:06:3c:0b, 12276, 101, -79]']",6.39E+14,0.6681957,-0.27816564,10.129416,-0.014354911,-0.008551862,-0.053601846,34.425,-2,42.1875,-1.5956259,0.027394762,-0.06587043
5,6.39233E+14,"['[b0:e4:d5:39:26:89, 1192, 146, -45, 14:22:3b:16:5a:bd, 19212, 97, -73, b0:e4:d5:91:ba:5d, 21467, 159, -72, cc:f4:11:8b:29:4d, 14290, 225, -71, b0:e4:d5:96:3b:95, 27913, 133, -79, 14:22:3b:2a:86:f5, 12842, 177, -74, f8:1a:2b:06:3c:0b, 12732, 258, -78]']",6.39E+14,0.6239285,-0.17826529,9.923036,-0.007482879,0.000305424,-0.020616096,34.175,-2.675,42.3375,-1.6304586,0.017927466,-0.062794104
6,6.39233E+14,"['[b0:e4:d5:39:26:89, 1934, 95, -44, 14:22:3b:16:5a:bd, 19123, 105, -73, b0:e4:d5:91:ba:5d, 21409, 184, -71, cc:f4:11:8b:29:4d, 14700, 225, -68, b0:e4:d5:96:3b:95, 29151, 229, -78, 14:22:3b:2a:86:f5, 16604, 319, -70, f8:1a:2b:06:3c:0b, 11231, 2046, -75]']",6.39E+14,0.5605187,-0.29790643,10.036695,-0.003970507,-0.006872032,-0.008399149,33.350002,-1.7125,42.5875,-1.5836362,0.029626876,-0.05578899
7,6.39234E+14,"['[b0:e4:d5:39:26:89, 2247, 889, -44, 14:22:3b:16:5a:bd, 18913, 94, -69, b0:e4:d5:91:ba:5d, 21584, 115, -64, cc:f4:11:8b:29:4d, 14290, 97, -70, b0:e4:d5:96:3b:95, 28549, 233, -80, 14:22:3b:2a:86:f5, 15813, 1049, -79, f8:1a:2b:06:3c:0b, 12306, 215, -78]']",6.39E+14,0.51445687,-0.20039889,9.420543,0.005650337,-0.000610847,0.014965758,33.95,-1.9,42.0625,-1.6014248,0.0212377,-0.054555915
8,6.39234E+14,"['[b0:e4:d5:39:26:89, 1192, 146, -47, 14:22:3b:16:5a:bd, 18655, 248, -72, b0:e4:d5:91:ba:5d, 21116, 303, -71, cc:f4:11:8b:29:4d, 14231, 229, -69, b0:e4:d5:96:3b:95, 28599, 170, -83, 14:22:3b:2a:86:f5, 14085, 88, -75, f8:1a:2b:06:3c:0b, 11749, 245, -77]']",6.39E+14,0.6329016,0.4121637,9.95175,-0.003817795,0.008704574,-0.015576605,33.425,-2.3500001,41.8875,-1.7055478,-0.04130919,-0.06351148
9,6.39234E+14,"['[b0:e4:d5:39:26:89, 1192, 146, -47, 14:22:3b:16:5a:bd, 18655, 248, -72, b0:e4:d5:91:ba:5d, 21116, 303, -71, cc:f4:11:8b:29:4d, 14231, 229, -69, b0:e4:d5:96:3b:95, 28599, 170, -83, 14:22:3b:2a:86:f5, 14085, 88, -75, f8:1a:2b:06:3c:0b, 11749, 245, -77]']",6.39E+14,0.6586244,0.34516466,9.881161,0.009620844,0.003970507,-0.005650337,33.275,-2.375,42.9,-1.6999551,-0.034840148,-0.06655611
