M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth
0.0,4.461490782238603,0.951643315533714,0.221,-47.0,18.0513046619905,14.866594263650299,0.268,-64.0,0,0,0,0,15.330975180985716,21.725247087202483,0.119,-65.0,20.600701444368347,33.28224445556519,0.96,-83.0,8.368542286443917,13.526762214218152,0.0,-84.0,11.639527481818153,16.186279251267106,0.191,-78.0,21.070059325972483,19.322531951066868,0.166,-77.0,0.7531409,-0.06999006,9.562318,0.02611372,0.00503949,-0.021226943,33.725002,-2.575,42.7,-1.6448314,0.007296635,-0.07859907,"[31.0, 13.75]"
1000.0,4.41039037951775,1.5019617172218471,0.012,-51.0,18.000216795970616,14.779544783246878,0.172,-68.0,0,0,0,0,15.382172447763766,21.96931098145775,1.471,-77.0,20.64776600821849,29.213721502061322,0.208,-78.0,8.380324831421675,12.55905095936791,0.466,-80.0,11.603006123636353,12.286830714224072,0.427,-80.0,21.02282360923819,19.2345023590422,0.113,-74.0,0.721436,0.11964113,9.416953,0.009009997,0.007330167,-0.037414394,33.375,-2.875,42.2125,-1.6847711,-0.012667069,-0.076460995,"[31.05123375, 13.75000191]"
2000.0,4.342261384169983,2.190664054573407,0.889,-44.0,17.932100922609536,14.281249945295404,0.097,-70.0,0,0,0,0,15.450435859827829,21.57820789593056,0.115,-64.0,20.710549555215902,28.544621227124384,0.233,-80.0,8.396495485728183,12.295838157685711,0.215,-78.0,11.55448478995294,15.805093134809425,1.049,-79.0,20.959871860248903,18.9063896341951,0.094,-69.0,0.51445687,-0.20039889,9.420543,0.005650337,-0.000610847,0.014965758,33.95,-1.9,42.0625,-1.6014248,0.0212377,-0.054555915,"[31.11954543, 13.75000446]"
3000.0,4.257108383454777,1.3780986902250507,0.0,-45.0,17.846958195571617,14.339285337840238,0.319,-70.0,0,0,0,0,15.535765711714404,21.930300864329244,0.198,-72.0,20.789078002987072,29.414750738362546,1.208,-78.0,8.417444750842202,12.840268688777506,0.327,-79.0,11.494116017557896,12.491997598462786,0.271,-74.0,20.881229565815342,19.058442355029964,0.146,-69.0,0.654437,-0.11724831,9.794421,-0.007330167,-0.01099525,0.046577103,33.6375,-2.075,42.4,-1.6209494,0.011943728,-0.066718146,"[31.20493502, 13.75000765]"
4000.0,4.1889929208701,1.7468511671003915,0.096,-50.0,17.778845721725013,14.925627490996819,0.229,-64.0,0,0,0,0,15.604030061355939,21.198104066165918,0.299,-67.0,20.851939588448356,28.59462888376067,0.298,-78.0,8.43478910659299,11.845452123072382,1.573,-75.0,11.446050404523815,14.427338493291131,1.121,-74.0,20.8183540049952,19.11646225115934,0.065,-67.0,0.71007013,0.52582276,9.604192,0.000305424,-0.00503949,0.036956258,33.6875,-1.5500001,42.9,-1.701989,-0.05454611,-0.07379909,"[31.27324669, 13.75001019]"
5000.0,4.103857761461926,1.6655692720508506,0.056,-51.0,17.693707285583518,15.091719583930786,0.117,-68.0,0,0,0,0,15.689361080729554,21.227112121058767,0.261,-66.0,20.93056461041391,27.732493018118653,0.289,-77.0,8.457195512669154,11.767382206761196,1.266,-78.0,11.38625939902615,12.111683780548434,0.644,-68.0,20.739807912194156,19.087452318211565,0.104,-66.0,0.73579293,0.43728834,10.043873,0.007024744,-0.004275931,0.004123219,33.675,-1.6750001,42.075,-1.6882606,-0.0433942,-0.07312726,"[31.35863628, 13.75001338]"
6000.0,4.035757376511006,1.167433081593973,0.199,-47.0,17.62559828836068,15.247804300947728,0.11,-69.0,0,0,0,0,15.75762635104231,21.071068530095953,0.146,-63.0,20.993502676763185,27.468449701430185,0.512,-78.0,8.475697400288839,12.353885866398477,0.347,-79.0,11.338662587900878,15.48292869582496,1.054,-78.0,20.677010104806328,18.50124493108504,0.212,-73.0,0.54675996,0.28594232,9.546165,0.006108473,0.001527118,-0.019088976,33.7625,-2.1875,42.8875,-1.6830755,-0.029895712,-0.057212844,"[31.42694795, 13.75001593]"
7000.0,3.950642152721309,1.7166665372168237,0.152,-49.0,17.540464256571386,13.840971786691858,0.095,-68.0,0,0,0,0,15.842958503652607,21.227112121058767,0.165,-63.0,21.07222232613016,30.45689611565827,1.999,-75.0,8.49954021699165,10.516120197106916,2.133,-73.0,11.279465915257623,14.368302926929124,1.219,-76.0,20.598562193606096,18.443223687848064,0.4,-78.0,0.65324056,-0.16091733,9.598808,-0.017409148,0.001374406,-0.0219905,32.7125,-1.775,42.9375,-1.6051419,0.016724057,-0.06794957,"[31.51233754, 13.75001911]"
8000.0,3.865539030127022,1.2518402453987492,0.417,-44.0,17.455332720588153,13.528763579869374,0.066,-66.0,0,0,0,0,15.928291272249993,21.344144396063292,0.48,-62.0,21.150993731066993,29.19771915749585,0.445,-75.0,8.524171766596172,12.823255787825493,0.253,-77.0,11.22060677110803,16.420389276749805,0.103,-73.0,20.520169710327334,19.351541644013793,0.153,-81.0,0.62153566,0.0634098,9.701699,0.0,0.003817795,-0.021685077,33.3125,-2.1125,43.412502,-1.6496941,-0.006522484,-0.06397719,"[31.59772713, 13.7500223]"
9000.0,3.780448827664885,1.624807680927192,0.0,-45.0,17.37020371867275,13.488736189873386,0.108,-66.0,0,0,0,0,16.01362464626272,21.149090405972547,0.071,-63.0,21.229816307792042,32.01009522010205,0.0,-75.0,8.549585212967514,13.057430413370005,0.185,-79.0,11.162090480344299,16.694514188798667,0.276,-78.0,20.441833284678573,18.765339964946012,0.143,-79.0,0.36909288,-0.25722843,9.847063,-0.03115321,-0.005650337,-0.012522369,33.2375,-1.3375,43.425,-1.5762469,0.026098093,-0.037464995,"[31.68311672, 13.75002548]"
