Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,1.32E+13,"[b0:e4:d5:39:26:89, 9557, 146, -64, 14:22:3b:16:5a:bd, 19336, 396, -58, cc:f4:11:8b:29:4d, 10876, 105, -65, b0:e4:d5:96:3b:95, 17234, 186, -67, 14:22:3b:2a:86:f5, 7488, 292, -56, f8:1a:2b:06:3c:0b, 25924, 718, -73]",1.32E+13,-0.4749753,-0.09092726,9.788439,0.002290677,-0.00335966,-0.001221695,-15.1625,8.625,70.85,0.90026695,0.009278067,0.04848608
1,1.32E+13,"[b0:e4:d5:39:26:89, 9772, 455, -63, 14:22:3b:16:5a:bd, 19090, 55, -62, cc:f4:11:8b:29:4d, 10151, 174, -62, b0:e4:d5:96:3b:95, 17498, 115, -70, 14:22:3b:2a:86:f5, 7605, 243, -57, f8:1a:2b:06:3c:0b, 25065, 180, -74]",1.32E+13,-0.49830532,-0.062213387,9.768699,-0.002748813,-0.00335966,0,-14.775001,9.3,70.675,0.85234183,0.006360291,0.050966237
2,1.32E+13,"[b0:e4:d5:39:26:89, 9713, 0, -65, 14:22:3b:16:5a:bd, 20425, 1037, -56, cc:f4:11:8b:29:4d, 10496, 187, -67, b0:e4:d5:96:3b:95, 17644, 97, -68, 14:22:3b:2a:86:f5, 7829, 41, -56, f8:1a:2b:06:3c:0b, 25572, 110, -74]",1.32E+13,-0.50368917,0.032901313,9.753743,-3.05E-04,1.53E-04,0,-15.875,9.3125,70.7375,0.9316426,-0.003368697,0.05159477
3,1.32E+13,"[b0:e4:d5:39:26:89, 7810, 2132, -57, 14:22:3b:16:5a:bd, 21790, 1452, -53, cc:f4:11:8b:29:4d, 10408, 211, -70, b0:e4:d5:96:3b:95, 17527, 206, -66, 14:22:3b:2a:86:f5, 7957, 201, -57, f8:1a:2b:06:3c:0b, 25768, 180, -72]",1.32E+13,-0.5138587,-0.047856454,9.811171,-0.006261184,-0.008399149,-0.012369657,-15.975,8.55,70.2125,0.94391906,0.004871036,0.052327044
4,1.32E+13,"[b0:e4:d5:39:26:89, 7965, 2227, -58, 14:22:3b:16:5a:bd, 20151, 1060, -57, cc:f4:11:8b:29:4d, 10554, 109, -69, b0:e4:d5:96:3b:95, 17703, 58, -70, 14:22:3b:2a:86:f5, 8074, 242, -56, f8:1a:2b:06:3c:0b, 25533, 331, -76]",1.32E+13,-0.74476606,-0.65982085,9.716655,0.001527118,-0.003817795,-0.035429142,-15.8625,9.3125,71.725,0.6289927,0.06760439,0.07649883
5,1.32E+13,"[b0:e4:d5:39:26:89, 9361, 95, -62, 14:22:3b:16:5a:bd, 19246, 70, -62, cc:f4:11:8b:29:4d, 10554, 70, -67, b0:e4:d5:96:3b:95, 17820, 186, -69, 14:22:3b:2a:86:f5, 8074, 151, -55, f8:1a:2b:06:3c:0b, 25846, 90, -75]",1.32E+13,-0.21834506,-0.16031912,9.807582,-3.05E-04,-0.002137966,0.001221695,-16.0875,8.7875,71.05,0.96932185,0.016340943,0.02225921
6,1.32E+13,"[b0:e4:d5:39:26:89, 9361, 95, -62, 14:22:3b:16:5a:bd, 19246, 70, -62, cc:f4:11:8b:29:4d, 10554, 70, -67, b0:e4:d5:96:3b:95, 17820, 186, -69, 14:22:3b:2a:86:f5, 8074, 151, -55, f8:1a:2b:06:3c:0b, 25846, 90, -75]",1.32E+13,-0.21475583,-0.007776673,9.815957,-0.001374406,-0.010689827,-0.006108473,-15.225,9.525001,70.55,0.9597576,7.92E-04,0.021874746
7,1.32E+13,"[b0:e4:d5:39:26:89, 9596, 171, -63, 14:22:3b:16:5a:bd, 19480, 199, -63, cc:f4:11:8b:29:4d, 10672, 418, -67, b0:e4:d5:96:3b:95, 17732, 180, -67, 14:22:3b:2a:86:f5, 7839, 294, -57, f8:1a:2b:06:3c:0b, 26002, 253, -76]",1.32E+13,-0.24646074,0.081954174,9.705289,9.16E-04,-0.01175881,0.001221695,-15.9125,8.9375,70.887505,1.0371324,-0.008441358,0.02538902
8,1.32E+13,"[b0:e4:d5:39:26:89, 9635, 338, -63, 14:22:3b:16:5a:bd, 20906, 1104, -59, cc:f4:11:8b:29:4d, 10926, 199, -64, b0:e4:d5:96:3b:95, 17431, 912, -65, 14:22:3b:2a:86:f5, 7839, 151, -56, f8:1a:2b:06:3c:0b, 26158, 132, -79]",1.32E+13,-0.32961133,0.001196411,9.847063,-3.05E-04,-0.007024744,-0.002443389,-15.825,9.712501,70.9,0.94559926,-1.21E-04,0.03346057
9,1.32E+13,"[b0:e4:d5:39:26:89, 9830, 105, -57, 14:22:3b:16:5a:bd, 20457, 107, -60, cc:f4:11:8b:29:4d, 11082, 149, -66, b0:e4:d5:96:3b:95, 17314, 852, -65, 14:22:3b:2a:86:f5, 7879, 362, -56, f8:1a:2b:06:3c:0b, 26236, 119, -80]",1.32E+13,-0.34636107,0.12981063,9.94158,-0.001374406,-0.008704574,0.065818794,-16.3875,9.0125,70.075005,1.0448561,-0.013048687,0.034825552
10,1.32E+13,"[b0:e4:d5:39:26:89, 9752, 204, -59, 14:22:3b:16:5a:bd, 19724, 327, -63, cc:f4:11:8b:29:4d, 11087, 191, -62, b0:e4:d5:96:3b:95, 15444, 3055, -60, 14:22:3b:2a:86:f5, 7918, 253, -57, f8:1a:2b:06:3c:0b, 27096, 205, -78]",1.32E+13,-0.37328035,0.20279172,10.317253,-0.019088976,0.011147963,0.011911522,-15.35,8.337501,70.3375,1.0735921,-0.019640215,0.036164433
11,1.32E+13,"[b0:e4:d5:39:26:89, 9752, 204, -59, 14:22:3b:16:5a:bd, 19724, 327, -63, cc:f4:11:8b:29:4d, 11087, 191, -62, b0:e4:d5:96:3b:95, 15444, 3055, -60, 14:22:3b:2a:86:f5, 7918, 253, -57, f8:1a:2b:06:3c:0b, 27096, 205, -78]",1.32E+13,-0.040677983,0.25004998,9.807582,-0.009468133,-0.013744064,0.035123717,-15.2375,9.2625,71.200005,1.108639,-0.025489839,0.004147582
12,1.32E+13,"[b0:e4:d5:39:26:89, 9986, 276, -63, 14:22:3b:16:5a:bd, 20398, 80, -62, cc:f4:11:8b:29:4d, 10940, 359, -65, b0:e4:d5:96:3b:95, 16243, 2295, -62, 14:22:3b:2a:86:f5, 7683, 95, -56, f8:1a:2b:06:3c:0b, 26617, 50, -77]",1.32E+13,-0.078963146,0.10767702,9.865009,7.64E-04,-0.004428643,0.01343864,-14.75,9.425,70.85,1.0231267,-0.010914262,0.008004195
