Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,23.667,0.075,-59
1047,23.742,0.09,-60
2107,23.761,0.075,-61
3140,23.98,0.09,-60
4191,23.312,0.135,-65
5249,23.91,0.03,-62
6293,23.89,0.06,-64
7340,24.218,0.075,-63
8390,24.917,0.075,-65
9459,14.863,0,-71
10490,24.55,0.045,-64
11540,23.8,0.09,-66
12578,24.367,0.105,-68
13637,23.613,0.105,-64
14676,24.218,0.285,-68
15725,24.273,0.045,-67
16773,23.613,0.18,-66
17822,23.875,0.09,-64
18876,23.593,0.075,-64
19926,23.585,0.09,-65
20976,22.957,0.09,-65
22021,133.167,0,-71
23073,-67.031,0.255,-68
24112,21.328,0.24,-72
25188,22.425,0.075,-67
26233,22.25,0.06,-68
27261,22.875,0.06,-68
28834,22.378,0.12,-67
29880,22.679,0.3,-72
30938,22.136,0.225,-73
31991,22.664,0.225,-71
33024,21.613,0.135,-71
34091,23.222,0.15,-65
35151,21.367,0.045,-65
36195,21.316,0.165,-64
37237,21.437,0.075,-62
38297,20.664,0.06,-63
39328,20.687,0.075,-63
40369,20.906,0.06,-61
41415,20.847,0.06,-59
42483,20.792,0.06,-59
43539,20.531,0,-61
44587,20.382,0.06,-61
45616,20.66,0.075,-62
46659,20.195,0.09,-65
47718,20.558,0.09,-64
48763,20.585,0.105,-64
49804,21.437,0.135,-67
50865,21.601,0.285,-69
51924,-91.273,0.225,-69
52950,21.347,0.09,-67
54019,19.632,0.165,-70
55063,19.093,0.21,-71
56121,20.113,0.09,-65
57171,21.101,0.09,-61
58204,19.296,0.045,-64
59252,20.5,0.12,-68
60303,22.5,0.09,-62
61341,18.351,0.12,-68
62912,21.152,0.15,-69
63961,22.886,0.195,-66
65010,20.097,0.165,-65
66067,18.878,0.09,-65
67107,19.003,0.39,-62
68152,18.519,0.075,-65
69207,19.406,0.06,-63
70250,17.343,0.09,-66
71313,18.835,0.03,-65
72351,19.238,0.06,-67
73401,23.667,0.105,-65
74448,19.589,0.12,-65
75499,21.14,0.15,-65
76547,18.015,0.09,-63
77602,17.062,0.105,-67
78645,17.273,0.09,-60
79690,17.25,0.06,-59
80737,17.167,0.195,-58
81796,16.964,0.045,-58
82863,17.296,0.06,-57
83886,17.332,0.075,-59
84935,16.937,0.105,-61
86511,18.085,0.075,-61
87574,17.96,0.09,-60
89135,16.429,0.09,-59
90190,16.078,0.06,-58
91249,16.218,0.06,-56
92273,16.253,0.12,-59
93327,15.707,0.06,-62
94391,16.062,0.135,-63
95433,23.347,0.255,-67
96465,15.531,0.27,-66
97532,16.437,0.075,-64
98577,15.066,0.135,-61
99639,16.214,0.06,-57
100688,15.144,0.12,-60
101736,15.562,0.06,-57
102768,14.496,0.045,-60
