M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth
0,8.566918933,9.543911619,0.149,-64,8.9177856,10.10263456,0.127,-72,16.57746965,18.31117484,0.05,-62,23.02069504,27.09138638,0.075,-69,5.450770588,6.061412707,0.055,-59,17.75474021,19.8937176,0.316,-63,-0.69571316,-0.002991028,9.772287,-0.005192202,-0.013896775,0.003512372,-15.837501,8.2875,71.6875,0.91079164,0.000305,0.07107255,"[-8.15, 2.64]"
300,8.548011628,12.16372788,0.152,-65,8.899623744,12.3218596,0.11,-70,16.558166,18.1641196,0.078,-63,23.00100893,26.58329822,0.095,-73,5.469118391,7.823037837,0.276,-58,17.73579892,20.65594936,1.373,-63,-0.613759,-0.35653058,9.595219,-0.004581355,0.012216945,-0.029473381,-15.3,8.8625,71.6875,0.7471471,0.037064344,0.06387806,"[-8.130123172, 2.64]"
600,8.529108731,13.51175196,0.058,-70,8.881469233,9.926415315,0.154,-72,16.5388637,18.06708266,0.118,-66,22.98132315,25.99719223,0.263,-70,5.487476847,8.019427972,0.099,-58,17.71685967,18.84836929,0.07,-65,-0.7603194,-1.0893325,9.850653,-0.022295926,-0.035276428,-0.09330692,-16.1375,8.400001,71.0375,0.5790511,0.1098133,0.07703194,"[-8.110246343, 2.64]"
1000,8.510210273,12.42694528,0.106,-65,8.863322114,10.39598307,0.057,-69,16.51956277,18.22314188,0.09,-63,22.9616377,25.23504706,0.131,-73,5.505845845,7.814019452,0.05,-56,17.69792248,18.73132788,0.082,-65,-0.4636094,-0.18664017,9.8632145,0.000611,-0.015882028,0.030389652,-15.9125,8.925,71.387505,0.8839897,0.018899735,0.04696931,"[-8.090369515, 2.64]"
1300,8.500762717,10.13066873,0.055,-69,8.854251339,10.71834409,0.082,-69,16.50991282,18.36919639,0.072,-63,22.95179509,25.03000649,0.707,-80,5.515034266,6.433600003,0.062,-57,17.68845466,19.62963311,0.201,-63,-0.6466603,0.4438686,9.507282,0.014813046,0.016034741,-0.008246438,-15.9125,8.9375,71.05,1.1033826,-0.04654596,0.067912765,"[-8.080431101, 2.64]"
1700,8.481870972,10.28685574,0.095,-71,8.83611539,11.53917241,0.097,-65,16.49061394,18.1451124,0.118,-59,22.93211014,27.90152032,0.425,-84,5.533418885,8.312976843,0.063,-55,17.66952057,23.02957284,0.137,-66,-0.28235307,-0.55393845,10.751551,0.005955761,0.016034741,0.001221695,-15.9875,8.4125,70.525,0.8647323,0.0514585,0.02625558,"[-8.060554273, 2.64]"
2000,8.462983739,10.20876295,0.146,-68,8.817986945,12.08666244,0.223,-68,16.47131644,18.28216401,0.078,-61,22.91242551,26.93535966,0.173,-74,5.551813788,7.43220028,0.092,-53,17.65058855,18.53625769,0.07,-65,-0.4671986,-0.07178468,8.999406,0.011147963,0.024281178,-0.010842538,-15.95,8.675,70.8625,0.924482,0.007965707,0.051867828,"[-8.040677444, 2.64]"
2500,8.444101049,9.465803769,0.171,-64,8.799866051,12.0085953,0.097,-64,16.45202031,17.84199543,0.103,-60,22.89274122,25.72414121,0.362,-74,5.570218872,6.815684558,0.102,-55,17.63165861,20.05976959,1.142,-64,-0.71007013,-0.13579269,9.82493,-0.003054236,0.026266431,-0.054976255,-16.425001,8.75,70.5625,0.8594485,0.013784409,0.07214685,"[-8.020800616, 2.64]"
2800,8.425222932,9.97347462,0.07,-66,8.781752756,11.34398629,0.072,-68,16.43272557,17.8710068,0.059,-60,22.87305726,26.50528438,0.24,-77,5.588634038,7.079365014,0.085,-54,17.61273076,19.07344751,0.185,-63,0.19441684,-0.9822537,10.091131,-0.017409148,0.004886778,0.07284354,-16.237501,9.0375,69.4,0.84203476,0.09701473,-0.019263726,"[-8.000923788, 2.64]"
3100,8.415785598,9.671083497,0.104,-70,8.772698971,10.64025864,0.11,-67,16.42307872,17.63691402,0,-63,22.86321541,26.54429131,0.091,-78,5.597845371,6.962068658,0.331,-56,17.60326761,18.98541714,0.079,-64,-0.1896312,-1.1682956,9.58505,-0.010537115,-0.001527118,0.02779355,-16.9625,9.4875,69.775,0.71625596,0.1212655,0.01978148,"[-7.990985373, 2.64]"
