real_dis,RTT,RTT std,RSS,AP_idx,class_idx,AP_x,AP_y,circle,user,true_x,true_y
8.994666475,12.75515098,2.152,-83,1,0,30.84,6.75,5,1,22.995,11.15
13.66790127,13.06481443,0.093,-57,5,0,15.09,0,5,1,22.995,11.15
25.55567501,25.94037249,0.694,-75,6,0,0,0,5,1,22.995,11.15
9.008628047,12.10001919,0.367,-78,1,1,30.84,6.75,5,1,22.97899629,11.15
13.65865156,12.7716037,0.378,-61,5,1,15.09,0,5,1,22.97899629,11.15
25.54127582,26.33444173,0.132,-72,6,1,0,0,5,1,22.97899629,11.15
9.050553331,12.13002538,0.32,-82,1,2,30.84,6.75,5,1,22.93098517,11.15
13.63097753,13.03579399,0.173,-65,5,2,15.09,0,5,1,22.93098517,11.15
25.49808975,25.45728469,0.124,-71,6,2,0,0,5,1,22.93098517,11.15
9.078537014,12.24704939,0.397,-79,1,3,30.84,6.75,5,1,22.89897775,11.15
13.61259099,12.7716037,0.213,-64,5,3,15.09,0,5,1,22.89897775,11.15
25.46930863,25.90136552,0.45,-70,6,3,0,0,5,1,22.89897775,11.15
9.092538811,11.07479794,0.058,-83,1,4,30.84,6.75,5,1,22.88297405,11.15
13.60341665,12.7716037,0.213,-64,5,4,15.09,0,5,1,22.88297405,11.15
25.45492096,26.48746806,0.41,-70,6,4,0,0,5,1,22.88297405,11.15
9.106547204,9.2773586,1.525,-77,1,5,30.84,6.75,5,1,22.86697034,11.15
13.59425495,12.71256009,0.153,-64,5,5,15.09,0,5,1,22.86697034,11.15
25.44053522,25.92036892,0.211,-71,6,5,0,0,5,1,22.86697034,11.15
9.134583657,12.04200717,0.405,-79,1,6,30.84,6.75,5,1,22.83496292,11.15
13.5759696,13.15287588,0.111,-61,5,6,15.09,0,5,1,22.83496292,11.15
25.41176955,25.6373178,0.148,-68,6,6,0,0,5,1,22.83496292,11.15
9.148611657,8.69119883,1.559,-77,1,7,30.84,6.75,5,1,22.81895922,11.15
13.56684601,13.21091594,0.296,-61,5,7,15.09,0,5,1,22.81895922,11.15
25.39738962,25.54930167,0.186,-69,6,7,0,0,5,1,22.81895922,11.15
9.176687055,12.2760553,0.382,-81,1,8,30.84,6.75,5,1,22.7869518,11.15
13.54863709,13.00577276,0.138,-62,5,8,15.09,0,5,1,22.7869518,11.15
25.3686356,25.58830883,0.409,-72,6,8,0,0,5,1,22.7869518,11.15
9.190734393,8.53515476,2.775,-78,1,9,30.84,6.75,5,1,22.77094809,11.15
13.53955182,12.74258231,0.175,-65,5,9,15.09,0,5,1,22.77094809,11.15
25.35426152,25.37426927,0.525,-72,6,9,0,0,5,1,22.77094809,11.15
9.2188482,11.42587589,0.689,-83,1,10,30.84,6.75,5,1,22.73894068,11.15
13.5214198,13.09383477,0.097,-64,5,10,15.09,0,5,1,22.73894068,11.15
25.32551921,25.52029633,0.419,-71,6,10,0,0,5,1,22.73894068,11.15
9.232914612,11.69993513,1.47,-76,1,11,30.84,6.75,5,1,22.72293697,11.15
13.5123731,12.74158157,0.106,-65,5,11,15.09,0,5,1,22.72293697,11.15
25.31115099,25.87736123,0.306,-71,6,11,0,0,5,1,22.72293697,11.15
9.246987323,12.16903341,1.465,-76,1,12,30.84,6.75,5,1,22.70693326,11.15
