real_dis,RTT,RTT std,RSS,AP_idx,class_idx,AP_x,AP_y,circle,user,true_x,true_y
11.58242013,12.28582989,0.18,-58,1,0,11.55,0,2,1,0,0.866
4.151452396,5.150788775,0.06,-47,2,0,0.459,4.992,2,1,0,0.866
23.85072705,23.73673448,0.075,-60,3,0,23.835,0,2,1,0,0.866
14.88980339,18.59427872,0.105,-62,4,0,13.154,7.843,2,1,0,0.866
0.866,0.87870416,0.045,-39,6,0,0,0,2,1,0,0.866
11.54919765,12.70816761,0.12,-57,1,1,11.55,0,2,1,0.033316,0.866
4.14790102,4.872412544,0.06,-53,2,1,0.459,4.992,2,1,0.033316,0.866
23.81743305,22.40842243,0.285,-61,3,1,23.835,0,2,1,0.033316,0.866
14.86037946,18.25415353,0.06,-59,4,1,13.154,7.843,2,1,0.033316,0.866
0.866640615,3.971650664,0.135,-43,6,1,0,0,2,1,0.033316,0.866
11.51597571,12.39592014,0.105,-55,1,2,11.55,0,2,1,0.066632,0.866
4.144614415,5.304487157,0.075,-51,2,2,0.459,4.992,2,1,0.066632,0.866
23.78413911,24.62692478,0.09,-62,3,2,23.835,0,2,1,0.066632,0.866
14.83097199,17.58989508,0.165,-61,4,2,13.154,7.843,2,1,0.066632,0.866
26.23222273,35.499479,0.27,-64,5,2,25.354,7.843,2,1,0.066632,0.866
0.868559626,2.743815045,0.345,-39,6,2,0,0,2,1,0.066632,0.866
11.48275432,12.51701758,0.18,-55,1,3,11.55,0,2,1,0.099948,0.866
4.141593213,13.59180639,0.255,-56,2,3,0.459,4.992,2,1,0.099948,0.866
23.75084524,26.62030475,0.285,-58,3,3,23.835,0,2,1,0.099948,0.866
14.80158109,17.51186344,0.105,-59,4,3,13.154,7.843,2,1,0.099948,0.866
26.20010823,30.03483845,0.15,-66,5,3,25.354,7.843,2,1,0.099948,0.866
0.871748589,2.416821053,0.105,-38,6,3,0,0,2,1,0.099948,0.866
11.44953348,12.51701758,0.09,-54,1,4,11.55,0,2,1,0.133264,0.866
4.138837994,5.265313001,0.06,-47,2,4,0.459,4.992,2,1,0.133264,0.866
14.77220684,17.11769917,0.075,-60,4,4,13.154,7.843,2,1,0.133264,0.866
26.16799674,33.44526276,0.345,-65,5,4,25.354,7.843,2,1,0.133264,0.866
0.876193639,1.765566481,0.09,-39,6,4,0,0,2,1,0.133264,0.866
11.41631319,12.39191688,0.105,-57,1,5,11.55,0,2,1,0.16658,0.866
4.136349291,5.111604054,0.105,-47,2,5,0.459,4.992,2,1,0.16658,0.866
23.68425767,24.18183138,0.105,-63,3,5,23.835,0,2,1,0.16658,0.866
14.74284936,17.43783315,0.045,-63,4,5,13.154,7.843,2,1,0.16658,0.866
26.13588826,31.92108433,0.255,-67,5,5,25.354,7.843,2,1,0.16658,0.866
0.881875783,2.858601756,0.33,-42,6,5,0,0,2,1,0.16658,0.866
11.36648381,12.27482077,0.075,-56,1,6,11.55,0,2,1,0.216554,0.866
4.133116991,4.78997453,0.105,-51,2,6,0.459,4.992,2,1,0.216554,0.866
23.63431716,28.52261785,0.09,-64,3,6,23.835,0,2,1,0.216554,0.866
14.69884478,17.66792645,0.075,-59,4,6,13.154,7.843,2,1,0.216554,0.866
0.892665466,5.265313001,0.09,-43,6,6,0,0,2,1,0.216554,0.866
11.33326493,15.59698769,0.075,-53,1,7,11.55,0,2,1,0.24987,0.866
4.131296571,4.825163313,0.09,-50,2,7,0.459,4.992,2,1,0.24987,0.866
23.60102356,24.74794959,0.12,-68,3,7,23.835,0,2,1,0.24987,0.866
14.66952965,17.38281047,0.075,-60,4,7,13.154,7.843,2,1,0.24987,0.866
26.05563033,35.18344737,0.435,-71,5,7,25.354,7.843,2,1,0.24987,0.866
0.901327364,2.858601756,0.3,-47,6,7,0,0,2,1,0.24987,0.866
11.30004662,12.68514978,0.18,-54,1,8,11.55,0,2,1,0.283186,0.866
4.129744128,4.974937186,0.075,-50,2,8,0.459,4.992,2,1,0.283186,0.866
23.56773003,29.74879845,0.15,-66,3,8,23.835,0,2,1,0.283186,0.866
14.64023162,17.64491723,0.075,-59,4,8,13.154,7.843,2,1,0.283186,0.866
26.0235325,32.26512608,0.165,-72,5,8,25.354,7.843,2,1,0.283186,0.866
0.911125848,4.381563648,0.075,-41,6,8,0,0,2,1,0.283186,0.866
4.127918568,5.413960565,0.27,-50,2,9,0.459,4.992,2,1,0.33316,0.866
23.51778985,24.29485542,0.27,-65,3,9,23.835,0,2,1,0.33316,0.866
14.59631691,17.15971704,0.075,-61,4,9,13.154,7.843,2,1,0.33316,0.866
25.97539149,28.77265593,0.345,-67,5,9,25.354,7.843,2,1,0.33316,0.866
0.927874768,0,0,0,6,9,0,0,2,1,0.33316,0.866
11.21700339,12.11468634,0.09,-55,1,10,11.55,0,2,1,0.366476,0.866
4.127037278,5.229149931,0.06,-50,2,10,0.459,4.992,2,1,0.366476,0.866
23.48449648,15.8431121,0.225,-64,3,10,23.835,0,2,1,0.366476,0.866
14.56706213,17.14070897,0.045,-60,4,10,13.154,7.843,2,1,0.366476,0.866
25.94330134,34.48837578,0.12,-68,5,10,25.354,7.843,2,1,0.366476,0.866
0.940351348,3.76696164,0.09,-43,6,10,0,0,2,1,0.366476,0.866
11.18378712,12.34087521,0.045,-54,1,11,11.55,0,2,1,0.399792,0.866
4.126424795,5.253258893,0,-47,2,11,0.459,4.992,2,1,0.399792,0.866
23.45120317,24.45488908,0.405,-61,3,11,23.835,0,2,1,0.399792,0.866
14.53782483,17.29277306,0.075,-59,4,11,13.154,7.843,2,1,0.399792,0.866
25.91121429,28.65563819,0.39,-69,5,11,25.354,7.843,2,1,0.399792,0.866
0.953828938,2.108527685,0.135,-47,6,11,0,0,2,1,0.399792,0.866
11.11735638,12.40692907,0.06,-54,1,12,11.55,0,2,1,0.466424,0.866
23.38461674,25.92817944,0.255,-63,3,12,23.835,0,2,1,0.466424,0.866
