Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,3.87118E+12,"[b0:e4:d5:39:26:89, 17046, 30, -54, 14:22:3b:16:5a:bd, 12468, 90, -49, cc:f4:11:8b:29:4d, 12703, 120, -57, b0:e4:d5:96:3b:95, 4683, 225, -48, 14:22:3b:2a:86:f5, 15796, 90, -57, f8:1a:2b:06:3c:0b, 6320, 45, -41]",3.87143E+12,-1.430908,0.21415763,9.881161,-0.010690142,0.021227567,-0.1348485,-32.5862,-22.240599,54.2534,2.3356118,-0.021446303,0.14381202
1,3.87118E+12,"[b0:e4:d5:39:26:89, 17046, 30, -54, 14:22:3b:16:5a:bd, 12468, 90, -49, cc:f4:11:8b:29:4d, 12703, 120, -57, b0:e4:d5:96:3b:95, 4683, 225, -48, 14:22:3b:2a:86:f5, 15796, 90, -57, f8:1a:2b:06:3c:0b, 6320, 45, -41]",3.87163E+12,-1.3208381,-0.70947194,9.647263,-0.012522738,0.00702495,0.04734206,-32.0128,-22.704199,54.594997,2.218614,0.072733015,0.13606726
2,3.87165E+12,"[b0:e4:d5:39:26:89, 16753, 60, -55, 14:22:3b:16:5a:bd, 12246, 30, -50, cc:f4:11:8b:29:4d, 10683, 30, -53, b0:e4:d5:96:3b:95, 4203, 120, -48, 14:22:3b:2a:86:f5, 14847, 0, -58, f8:1a:2b:06:3c:0b, 6359, 60, -41]",3.87183E+12,-0.8745767,0.093918286,9.681958,0.002290745,-0.020922136,-0.007635816,-32.4032,-22.326,54.7658,2.2675314,-0.009660704,0.090086065
3,3.87165E+12,"[b0:e4:d5:39:26:89, 16753, 60, -55, 14:22:3b:16:5a:bd, 12246, 30, -50, cc:f4:11:8b:29:4d, 10683, 30, -53, b0:e4:d5:96:3b:95, 4203, 120, -48, 14:22:3b:2a:86:f5, 14847, 0, -58, f8:1a:2b:06:3c:0b, 6359, 60, -41]",3.87203E+12,-1.599602,-0.081954174,9.873384,-0.002596177,-0.02443461,0.03390302,-32.183598,-22.3382,53.8752,2.3274603,0.008193495,0.16061597
4,3.87215E+12,"[b0:e4:d5:39:26:89, 17039, 120, -55, 14:22:3b:16:5a:bd, 12292, 75, -47, cc:f4:11:8b:29:4d, 11625, 45, -50, b0:e4:d5:96:3b:95, 3933, 75, -51, 14:22:3b:2a:86:f5, 15402, 60, -57, f8:1a:2b:06:3c:0b, 6097, 75, -41]",3.87223E+12,0.5204389,0.1788635,9.7298155,-0.009773844,-0.02443461,0.075594574,-32.3666,-22.2528,53.7654,2.153692,-0.018354727,-0.053438157
5,3.87215E+12,"[b0:e4:d5:39:26:89, 17039, 120, -55, 14:22:3b:16:5a:bd, 12292, 75, -47, cc:f4:11:8b:29:4d, 11625, 45, -50, b0:e4:d5:96:3b:95, 3933, 75, -51, 14:22:3b:2a:86:f5, 15402, 60, -57, f8:1a:2b:06:3c:0b, 6097, 75, -41]",3.87243E+12,-0.61675006,-0.12801601,9.697512,0.003817908,-0.04260785,0.053450707,-32.1958,-22.4236,54.582798,2.2182438,0.013173535,0.06351326
6,3.87262E+12,"[b0:e4:d5:39:26:89, 16902, 120, -55, 14:22:3b:16:5a:bd, 12351, 90, -49, cc:f4:11:8b:29:4d, 10886, 105, -55, b0:e4:d5:96:3b:95, 4035, 90, -50, 14:22:3b:2a:86:f5, 16304, 105, -54, f8:1a:2b:06:3c:0b, 6125, 75, -43]",3.87271E+12,-0.506082,-0.36131623,9.722038,-0.016187929,0.003359759,0.04734206,-32.1714,-21.8746,53.558,2.1647053,0.03709738,0.052008193
7,3.87262E+12,"[b0:e4:d5:39:26:89, 16902, 120, -55, 14:22:3b:16:5a:bd, 12351, 90, -49, cc:f4:11:8b:29:4d, 10886, 105, -55, b0:e4:d5:96:3b:95, 4035, 90, -50, 14:22:3b:2a:86:f5, 16304, 105, -54, f8:1a:2b:06:3c:0b, 6125, 75, -43]",3.87291E+12,0.8919246,0.05742774,9.868001,0.004428773,-0.011301007,-0.05787948,-32.183598,-22.3382,53.972797,2.1208348,-0.0057959,-0.0901406
8,3.87262E+12,"[b0:e4:d5:39:26:89, 16902, 120, -55, 14:22:3b:16:5a:bd, 12351, 90, -49, cc:f4:11:8b:29:4d, 10886, 105, -55, b0:e4:d5:96:3b:95, 4035, 90, -50, 14:22:3b:2a:86:f5, 16304, 105, -54, f8:1a:2b:06:3c:0b, 6125, 75, -43]",3.87311E+12,-0.24765715,0.04546363,9.663414,7.64E-04,0.01786781,-0.010079277,-32.3788,-22.1552,53.960598,2.197002,-0.004703138,0.02562272
9,3.87313E+12,"[b0:e4:d5:39:26:89, 17250, 0, -54, 14:22:3b:16:5a:bd, 12496, 90, -50, cc:f4:11:8b:29:4d, 10570, 195, -59, b0:e4:d5:96:3b:95, 4589, 60, -51, 14:22:3b:2a:86:f5, 19414, 315, -59, f8:1a:2b:06:3c:0b, 5988, 30, -43]",3.87331E+12,-0.66400826,-0.19501504,9.526425,0.016493361,0.02275473,-0.04932737,-32.757,-22.0698,53.6434,2.1967218,0.020418575,0.06958917
10,3.87313E+12,"[b0:e4:d5:39:26:89, 17250, 0, -54, 14:22:3b:16:5a:bd, 12496, 90, -50, cc:f4:11:8b:29:4d, 10570, 195, -59, b0:e4:d5:96:3b:95, 4589, 60, -51, 14:22:3b:2a:86:f5, 19414, 315, -59, f8:1a:2b:06:3c:0b, 5988, 30, -43]",3.87351E+12,-0.9637093,-0.1160519,9.754341,-0.004734206,-0.035277467,0.082924955,-32.4764,-22.5212,54.168,2.2511368,0.011839264,0.09847841
11,3.87362E+12,"[b0:e4:d5:39:26:89, 16996, 105, -58, 14:22:3b:16:5a:bd, 12554, 120, -50, cc:f4:11:8b:29:4d, 11300, 90, -55, b0:e4:d5:96:3b:95, 4269, 60, -50, 14:22:3b:2a:86:f5, 18171, 255, -59, f8:1a:2b:06:3c:0b, 5933, 75, -42]",3.87373E+12,0.49351966,0.007178468,9.896714,-0.017715093,0.012980887,-0.006414085,-32.3422,-22.265,53.0578,2.138843,-7.24E-04,-0.04982575
12,3.87362E+12,"[b0:e4:d5:39:26:89, 16996, 105, -58, 14:22:3b:16:5a:bd, 12554, 120, -50, cc:f4:11:8b:29:4d, 11300, 90, -55, b0:e4:d5:96:3b:95, 4269, 60, -50, 14:22:3b:2a:86:f5, 18171, 255, -59, f8:1a:2b:06:3c:0b, 5933, 75, -42]",3.87393E+12,0.22492532,-0.4325027,9.436694,0.006566802,0.055588737,0.003207043,-31.9762,-22.7164,53.6922,2.1183224,0.045786977,-0.02383067
13,3.87412E+12,"[b0:e4:d5:39:26:89, 22476, 105, -57, 14:22:3b:16:5a:bd, 12437, 60, -51, cc:f4:11:8b:29:4d, 10972, 315, -55, b0:e4:d5:96:3b:95, 8656, 180, -48, 14:22:3b:2a:86:f5, 20386, 285, -62, f8:1a:2b:06:3c:0b, 6179, 45, -42]",3.8742E+12,-1.6474584,-0.058624156,9.635299,-0.013897184,9.16E-04,0.00702495,-32.8302,-22.277199,52.9358,2.3229618,0.005997207,0.169344
14,3.87412E+12,"[b0:e4:d5:39:26:89, 22476, 105, -57, 14:22:3b:16:5a:bd, 12437, 60, -51, cc:f4:11:8b:29:4d, 10972, 315, -55, b0:e4:d5:96:3b:95, 8656, 180, -48, 14:22:3b:2a:86:f5, 20386, 285, -62, f8:1a:2b:06:3c:0b, 6179, 45, -42]",3.8744E+12,-0.8662018,-0.5300102,9.603594,-0.00290161,0.011759156,-0.01985312,-32.256798,-22.545599,53.277397,2.1888995,0.054910354,0.08995219
15,3.8746E+12,"[b0:e4:d5:39:26:89, 22425, 165, -58, 14:22:3b:16:5a:bd, 12148, 75, -52, cc:f4:11:8b:29:4d, 10855, 30, -55]",3.8746E+12,-0.12023934,0.21774685,10.000802,-0.009162978,0.008093964,-0.050549097,-33.3548,-22.448,53.924,2.1963902,-0.021767927,0.01202239
16,3.8746E+12,"[b0:e4:d5:39:26:89, 22425, 165, -58, 14:22:3b:16:5a:bd, 12148, 75, -52, cc:f4:11:8b:29:4d, 10855, 30, -55]",3.8748E+12,-2.1631117,-0.3906283,9.417552,0.005345071,0.040927973,-0.039553523,-33.269398,-22.9116,54.2412,2.3604674,0.040404078,0.22577336
17,3.8746E+12,"[b0:e4:d5:39:26:89, 22425, 165, -58, 14:22:3b:16:5a:bd, 12148, 75, -52, cc:f4:11:8b:29:4d, 10855, 30, -55]",3.875E+12,-0.8350951,-0.17706887,9.802198,-0.006261369,-0.018478673,0.018020526,-32.3544,-22.1674,53.1554,2.2227197,0.017997056,0.08498945
