Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,14.882,0.03,-58
517,15.339,0.105,-60
1041,14.453,0.135,-63
2083,15.593,0.15,-60
3139,15.484,0.18,-61
4187,14.832,0.12,-60
4734,15.066,0.09,-61
5762,15.757,0.06,-59
6805,16.425,0.075,-63
7327,16.355,0.09,-63
8377,15.035,0.12,-63
8901,16.542,0.09,-59
9430,17.32,0.105,-61
10502,15.078,0.105,-59
11526,15.457,0.18,-59
12572,14.023,0.075,-60
13628,15.976,0.21,-64
14668,17.75,0.18,-64
15721,14.933,0.135,-63
16777,15.828,0.15,-60
17315,14.644,0.12,-63
17816,14.906,0.045,-59
18339,13.925,0.09,-63
19391,13.804,0.045,-63
19917,13.738,0.09,-62
20433,14.691,0.06,-63
20982,15.589,0.045,-59
22010,14.628,0.09,-62
23140,16.585,0.18,-63
24107,15.453,0.27,-60
25162,16.417,0.27,-61
26203,17.48,0.15,-63
27262,16.917,0.075,-59
28300,15.109,0.3,-65
29351,15.648,0.18,-64
30401,13.515,0.075,-62
31447,14.339,0.06,-63
32512,12.832,0.105,-65
33047,13.683,0.03,-59
33542,14.32,0.165,-64
34593,14.253,0.09,-62
35120,16.375,0.15,-62
36162,17.941,0.09,-63
37211,15.468,0.09,-62
37737,14.261,0.135,-67
38795,19.753,0.255,-62
39309,15.601,0.315,-65
39833,13.671,0.03,-64
40362,13.964,0.075,-63
40887,23.882,0.3,-64
41929,14.832,0.06,-66
42980,18.023,0.165,-65
44029,20.292,0.135,-62
45077,17.425,0.285,-62
46128,17.007,0.03,-63
46677,15.296,0,-61
47701,14.785,0.09,-62
48231,16.179,0.075,-66
48748,16.808,0.06,-63
49793,15.558,0.195,-61
50323,22.765,0.135,-61
50846,18.98,0.165,-65
51893,16.152,0.24,-64
52426,15.449,0.06,-64
52942,13.761,0.105,-66
53995,13.527,0.075,-61
55038,13.91,0.045,-61
56084,13.757,0.105,-69
57137,13.257,0.06,-59
58189,13.535,0.075,-62
59233,13.003,0.06,-62
60285,13.648,0.075,-59
61359,15.21,0.255,-65
61883,14.074,0.015,-60
62383,13.382,0.045,-62
63433,20.871,0.255,-64
63953,13.308,0.165,-61
64999,14.285,0.195,-62
65532,16.699,0.105,-61
66576,15.636,0.18,-65
67623,14.378,0.075,-63
68149,17.765,0.195,-62
68668,15.261,0.09,-62
69746,13.32,0.06,-62
70769,12.988,0.165,-61
71827,14.414,0.06,-60
72341,13.382,0.18,-64
73400,14.21,0.09,-61
74440,12.816,0.09,-60
74984,12.656,0.045,-62
76017,20.066,0.165,-65
76536,13.57,0.105,-61
77065,16.539,0.15,-64
78207,15.769,0.135,-61
79158,17.027,0.255,-64
79684,19.539,0.09,-62
80214,17.082,0.255,-62
81256,13.304,0.06,-62
81779,16.218,0.09,-65
82838,16.351,0.225,-62
83876,16.55,0.15,-64
84929,14.617,0.15,-61
85449,14.414,0.18,-63
85977,19.175,0.06,-61
87022,12.585,0.12,-63
87546,14.832,0.135,-60
88071,17.855,0.165,-62
89124,18.941,0.225,-63
90170,12.105,0.075,-63
90711,11.468,0.06,-59
91747,12.726,0.075,-62
92288,13.234,0.195,-61
93319,11.878,0.06,-63
94368,14.015,0.21,-63
94889,12.488,0.27,-66
95411,16.847,0.135,-63
96488,15.105,0.15,-60
97508,12.667,0.075,-61
98561,13.847,0.075,-62
99087,14.832,0.18,-61
100135,14.078,0.12,-62
100667,11.859,0.09,-65
101179,11.859,0.18,-67
102226,12.558,0.225,-63
102752,13.007,0.15,-60
103801,13.242,0.075,-61
104866,12.796,0.105,-62
105370,11.332,0.105,-65
105906,12.273,0.09,-64
106946,14.414,0.165,-63
107471,17.476,0.195,-64
108005,15.804,0.165,-61
