M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth
0.0,12.510859283038874,13.02340543022446,0.294,-62.0,3.8105773840718675,4.690425247245711,0.204,-52.0,14.628222721848337,15.99618754578728,0.286,-69.0,16.455540860147988,19.198490175011155,0.095,-69.0,7.6738517056299695,9.16336886739806,0.13,-69.0,18.793256769384065,21.53519633065833,0.924,-72.0,-0.20518455,0.17647067,9.84168,0.002443389,-0.004581355,-0.01007898,-16.1375,27.775,51.412502,0.5113435,-0.017925134,0.02084551,"[-2.4, -14.43]"
335.399044,12.507795310758963,13.336630608965669,0.0,-61.0,3.7998817082435474,3.9988623382157087,0.358,-52.0,14.617084090551163,15.252806987567894,0.156,-69.0,16.44486059579235,19.78468298962609,0.417,-70.0,7.671093174133912,8.958056932170056,0.094,-64.0,18.784588026098522,21.410162446838186,0.912,-71.0,-0.53240305,-0.42532423,10.083355,-0.014049487,-0.036956258,0.094528615,-16.5375,27.075,52.0625,0.43963587,0.042097263,0.052751202,"[-2.4, -14.41870824]"
548.589065,12.50474078417364,13.804948243293055,0.037,-60.0,3.7891894912996356,4.5697274535796994,0.112,-54.0,14.605945694414162,18.098094512959094,0.76,-66.0,16.434181148988703,17.440834383709973,0.915,-64.0,7.668350277613535,8.918995963672144,0.149,-66.0,18.77592207131718,20.567923473214307,0.177,-72.0,-0.93559366,0.023330022,9.601201,0.006108473,-0.005650337,-0.006261184,-16.325,27.487501,51.575,0.38999206,-0.002418447,0.09713879,"[-2.4, -14.40741648]"
785.059922,12.49866009576636,13.746910052808232,0.13,-60.0,3.767815551841991,4.432890817514007,0.177,-54.0,14.583669609775942,17.050670485350423,0.372,-67.0,16.412824714420804,18.320178192364835,1.691,-65.0,7.662911456561556,10.241802380440662,1.882,-65.0,18.75859854272441,19.06544476271141,1.18,-72.0,-0.61076796,0.035294134,9.749556,0.001068983,0.009926268,0.002137966,-16.325,27.487501,52.0625,0.44561014,-0.003612978,0.06256396,"[-2.4, -14.38483296]"
1047.708229,12.495633947747406,13.570792165529616,0.0,-59.0,3.757133889029966,4.726627656162478,0.144,-54.0,14.572531922356438,18.692313955206295,0.171,-67.0,16.40214772985835,19.198490175011155,0.061,-67.0,7.660215565380483,9.98548967251982,0.324,-64.0,18.749940976656365,19.483585398996766,0.199,-73.0,-0.4408776,0.14117654,9.771091,0.002290677,0.008704574,0.002290677,-16.5125,27.2125,52.0625,0.49122947,-0.014432703,0.045090023,"[-2.4, -14.3735412]"
1277.3650750000002,12.49261727302891,13.336630608965669,0.194,-59.0,3.746455804514489,4.550613585001478,0.064,-53.0,14.561394472260556,18.10609756408045,0.095,-66.0,16.391471569251504,18.69031323975069,0.126,-67.0,7.657535375875211,10.523128099571915,0.071,-67.0,18.741286214579304,19.270514497542614,0.628,-72.0,0.37387854,0.16151553,9.923634,0.001985254,0.008093726,-0.057572354,-16.050001,27.112501,52.05,0.60062164,-0.016262876,-0.03765776,"[-2.4, -14.36224944]"
1531.5594230000002,12.489610078475266,13.687870871687823,0.194,-59.0,3.7357813289793858,4.373511632544265,0.254,-53.0,14.550257260033273,20.098781679494905,0.222,-66.0,16.380796234211296,19.23750337231939,0.803,-64.0,7.6548709045385595,10.316891053025616,0.576,-64.0,18.73263426037969,20.010754333607714,0.05,-75.0,-0.39421752,0.36670008,9.999007,0.000458,-0.015729317,-0.040621344,-17.075,26.5125,51.725002,0.54868394,-0.03662879,0.039405257,"[-2.4, -14.35095768]"
1865.674353,12.48362415724519,13.531765627589033,0.066,-60.0,3.714443329296558,3.812351636457477,0.793,-50.0,14.527983551372698,18.36919638960834,0.794,-67.0,16.359448047295352,18.75933783479577,0.302,-73.0,7.649589181972827,9.544912990698238,0.043,-62.0,18.71533879118825,20.18680878692816,0.074,-65.0,-0.6334998,0.43130627,8.787642,0.001985254,0.00167983,0.016798299,-17.025,27.0375,50.925,0.49860552,-0.048914913,0.07196536,"[-2.4, -14.32837416]"
2104.46646,12.48064544685616,13.726896808820268,0.076,-61.0,3.703779877683257,4.6089582337009745,0.167,-53.0,14.516847065900068,18.536257685951604,0.199,-66.0,16.348775208113647,18.81735836933548,0.593,-70.0,7.646971965669247,9.115297087862798,0.244,-68.0,18.706695291652434,20.245826829250515,0.195,-69.0,-0.8249256,0.48993045,9.3613205,0.000153,0.016951011,-0.022143213,-17.1375,27.2875,51.600002,0.47319737,-0.05208643,0.087893605,"[-2.4, -14.31708241]"
2351.745234,12.477676241296992,13.726896808820268,0.202,-60.0,3.6931201517994814,4.631086697525755,0.577,-51.0,14.505710810629978,14.510388037540555,0.246,-66.0,16.338103191531367,18.867375970176667,1.051,-74.0,7.6443705304379,9.349640046547247,0.203,-62.0,18.69805460794324,20.040763683053598,0.179,-65.0,-0.66101724,0.20937198,9.337392,-0.005803049,0.016798299,-0.032069482,-17.1875,26.8875,51.425,0.4839722,-0.022363255,0.07067459,"[-2.4, -14.30579065]"
