Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,83894304868,"[14:22:3b:2a:86:f5, 13074, 93, -57, 14:22:3b:16:5a:bd, 25945, 694, -75, b0:e4:d5:39:26:89, 24760, 2152, -83]",83979713314,-0.35353956,0.38703907,9.87159,0.02183779,0.003665084,0.007024744,-29.9,11.775001,42.45,1.2298373,-0.03916222,0.03579854
1,84170001823,"[14:22:3b:2a:86:f5, 12781, 378, -61, 14:22:3b:16:5a:bd, 26339, 132, -72, b0:e4:d5:39:26:89, 24105, 367, -78]",84190102398,-0.18305093,-0.17347965,9.893126,0.030542362,0.012064233,0.009620844,-30.35,12,42.975002,1.1631342,0.017530575,0.01850073
2,84170001823,"[14:22:3b:2a:86:f5, 12781, 378, -61, 14:22:3b:16:5a:bd, 26339, 132, -72, b0:e4:d5:39:26:89, 24105, 367, -78]",84388318928,-0.24047868,-0.11246266,9.882358,-0.038483378,-0.018325418,-0.023364907,-29.800001,12.5625,42.8125,1.144492,0.011376286,0.024329338
3,84445953621,"[14:22:3b:2a:86:f5, 13015, 130, -63, b0:e4:d5:39:26:89, 22670, 1039, -83]",84591069834,-0.23509483,0.005383851,9.543175,0.017256435,0.00671932,0.06306998,-30.050001,11.8875,43.125,1.1822473,-5.64E-04,0.024629883
4,84724952816,"[14:22:3b:2a:86:f5, 13045, 173, -65, 14:22:3b:16:5a:bd, 25462, 124, -71, b0:e4:d5:96:3b:95, 35574, 127, -64, b0:e4:d5:39:26:89, 24135, 320, -82]",84790804228,-0.4109673,0.7543373,9.991829,0.00671932,-0.007024744,0.018936265,-30.4,11.6125,42.787502,1.2894629,-0.075289056,0.041107167
5,84724952816,"[14:22:3b:2a:86:f5, 13045, 173, -65, 14:22:3b:16:5a:bd, 25462, 124, -71, b0:e4:d5:96:3b:95, 35574, 127, -64, b0:e4:d5:39:26:89, 24135, 320, -82]",84989943727,-0.38823548,0.36370903,9.980463,-0.003970507,0.03191677,0.07009472,-30.9125,12.6,42.3625,1.21078,-0.036398478,0.038879942
6,85014623886,"[14:22:3b:2a:86:f5, 12781, 213, -64, 14:22:3b:16:5a:bd, 25906, 450, -70, b0:e4:d5:39:26:89, 24252, 397, -79]",85189612341,0.2542374,0.80937225,9.759726,-0.004123219,0.03115321,-6.11E-04,-29.875,12.0375,42.787502,1.3022038,-0.08271256,-0.026043758
7,85316123395,"[14:22:3b:2a:86:f5, 12781, 213, -64, 14:22:3b:16:5a:bd, 26492, 410, -70, b0:e4:d5:96:3b:95, 34871, 0, -65, b0:e4:d5:39:26:89, 23080, 58, -83]",85389364340,0.12622139,0.2955136,9.942777,-0.011911522,0.00503949,0.022295926,-30.625,12.3625,42.662502,1.2285883,-0.029710295,-0.012694101
8,85588921287,"[14:22:3b:2a:86:f5, 12722, 153, -64, 14:22:3b:16:5a:bd, 25925, 211, -71, b0:e4:d5:39:26:89, 21283, 1525, -77]",85619770092,0.032303106,0.33260235,9.840483,0.03970507,0.040163208,0.052532863,-30.1375,12.4125,42.325,1.222916,-0.03378635,-0.003282663
9,85588921287,"[14:22:3b:2a:86:f5, 12722, 153, -64, 14:22:3b:16:5a:bd, 25925, 211, -71, b0:e4:d5:39:26:89, 21283, 1525, -77]",85819276050,0.16331014,0.0735793,9.325428,0.0219905,-0.007635591,0.069178455,-30.7,11.7,43.15,1.2240808,-0.007888806,-0.017510558
