M2 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M2 Ground Truth
0,35.32856635,36.59452962,0.315,-74,0,0,0,0,14.44319996,13.26795497,0.06,-52,8.579399746,9.979978156,0.075,-56,20.03353688,21.47841139,0.09,-66,6.343413907,6.656990686,0.045,-51,-1.154537,-0.005982057,9.229715,-0.010079277,-0.04016439,0.22434026,-698.2426,40.0648,-51.4352,1.5135276,0.000643118,0.12444274,"[-4.42, 4.55]"
391.006307,0,0,0,0,25.96849096,24.44809009,0.21,-66,14.42454455,13.1508745,0.03,-54,8.608420897,9.955949176,0.075,-59,20.00300806,21.36938289,0.06,-67,6.321610127,6.798364215,0.06,-51,-0.5312066,0.26081768,9.927223,-0.01160644,0.02855795,-0.028252518,-698.6574,38.918,-51.5938,1.5147787,-0.026229426,0.053459108,"[-4.388650657518582, 4.55]"
860.487142,35.26598956,34.79343454,0.105,-71,0,0,0,0,14.40593321,13.24393858,0.09,-52,8.637458321,10.09711746,0.075,-63,19.97248178,36.02366762,0.105,-65,6.299886884,6.716148897,0.09,-51,-0.651446,0.79142606,10.036695,0.003512475,-0.014202617,0.08399397,-697.93756,39.4792,-51.667,1.513906,-0.07852588,0.064815514,"[-4.357301315037164, 4.55]"
1260.998373,35.23470133,35.3444644,0.285,-74,25.91241045,24.4670939,0.285,-68,14.38736611,13.17789319,0.03,-54,8.666511854,9.999001,0.03,-60,19.94195805,22.0215492,0.345,-65,6.278245015,6.645960879,0.075,-51,-2.1631117,-0.8542377,10.286146,-0.023365596,-0.028252518,-0.03283401,-698.5354,40.3332,-51.7646,1.5021358,0.081091605,0.20727347,"[-4.325951972555746, 4.55]"
1624.830323,35.20341321,35.30946252,0.27,-73,25.88438158,24.39307902,0.33,-66,14.3688434,13.20491181,0.03,-54,8.695581334,9.994996198,0.03,-59,0,0,0,0,6.256685364,6.716148897,0.09,-49,-1.2520444,-0.029910283,10.059426,-0.025961773,-0.029168816,0.022449298,-696.925,38.637398,-51.947598,1.5153534,0.002950583,0.12382799,"[-4.294602630074328, 4.55]"
2022.85612,35.1721252,34.87943925,0.24,-74,25.85636034,26.56548136,0.255,-68,14.35036528,13.22092281,0.06,-53,8.724666603,10.01902495,0.075,-61,19.88091831,29.78797012,0.15,-66,6.235208785,6.728180735,0.06,-51,-1.0612168,-0.44745782,9.75494,0.008857546,-0.037415497,-0.01786781,-697.40076,39.4792,-51.874397,1.5128791,0.045569256,0.1083615,"[-4.26325328759291, 4.55]"
2527.347128,35.1408373,36.48952427,0.09,-74,25.82834675,28.5227914,0.135,-70,14.3319319,13.17789319,0.075,-55,8.753767502,10.0700856,0.075,-58,19.85040231,29.40191722,0.075,-66,6.213816138,6.790343438,0.045,-51,-0.23509483,0.6239285,9.861421,0.002138028,-0.009468411,0.06795876,-696.5956,39.3694,-51.9354,1.5113505,-0.06316751,0.023835339,"[-4.231903945111492, 4.55]"
2965.510296,35.10954951,34.85243777,0.18,-72,25.80034083,28.35076586,0.165,-68,14.31354345,13.1508745,0.015,-54,8.782883877,10.27732558,0.12,-59,19.81988892,26.85052932,0.045,-69,6.192508294,6.771293894,0.045,-49,-0.98584294,-0.3714857,9.631111,-0.00870483,-0.027794369,0.017562376,-696.3028,38.332397,-52.7894,1.5149719,0.03835212,0.10200498,"[-4.200554602630074, 4.55]"
3463.049521,35.06261803,34.79343454,0.33,-75,25.7583464,24.60412122,0,-69,14.28604537,13.18990148,0.045,-54,8.82658712,10.12815383,0.09,-60,19.77412374,20.93926754,0.285,-71,6.160707456,6.794353832,0.06,-49,-0.2536392,0.57607204,9.81835,0.008399397,-0.00702495,0.058184914,-697.291,39.8452,-51.703598,1.511089,-0.058586307,0.025827436,"[-4.153530588907947, 4.55]"
3927.283245,35.03133051,35.30946252,0.315,-74,0,0,0,0,14.26776998,13.1308606,0.06,-54,8.855741517,10.33939558,0.015,-59,19.7436169,29.7339628,0.27,-70,6.139615479,6.696095579,0.09,-51,-0.67417777,0.6119644,10.184451,0.011148291,-0.04046982,0.10751228,-696.6932,39.6744,-53.0212,1.5135853,-0.059885196,0.06610033,"[-4.122181246426529, 4.55]"
