Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,5.22482E+13,"[14:22:3b:16:5a:bd, 4687, 105, -50, b0:e4:d5:96:3b:95, 14546, 210, -56, 14:22:3b:2a:86:f5, 10953, 255, -51]",5.22485E+13,0.51565325,0.21475583,9.816555,-0.001679879,0.002138028,0.007941248,5.2093997,-30.5122,50.6544,-3.0612657,-0.02184331,-0.05248071
1,5.22482E+13,"[14:22:3b:16:5a:bd, 4687, 105, -50, b0:e4:d5:96:3b:95, 14546, 210, -56, 14:22:3b:2a:86:f5, 10953, 255, -51]",5.22487E+13,-0.31405798,0.047258247,9.903295,-0.010079277,-0.022143865,-0.03848451,5.185,-30.878199,51.362,-2.9261591,-0.004769539,0.031701848
2,5.22488E+13,"[14:22:3b:16:5a:bd, 5359, 75, -45, b0:e4:d5:96:3b:95, 15222, 525, -56, 14:22:3b:2a:86:f5, 13148, 105, -51]",5.22489E+13,-0.43788654,0.16091733,9.98824,-0.001679879,0.02031127,0.016493361,5.1117997,-30.4268,50.6422,-2.911234,-0.01609383,0.043812156
3,5.22488E+13,"[14:22:3b:16:5a:bd, 5359, 75, -45, b0:e4:d5:96:3b:95, 15222, 525, -56, 14:22:3b:2a:86:f5, 13148, 105, -51]",5.22491E+13,0.8859426,0.22671995,9.635897,0.016646078,0.009468411,-0.037415497,4.9288,-30.1584,50.0322,-3.1311433,-0.023425573,-0.09168413
4,5.22488E+13,"[14:22:3b:16:5a:bd, 5359, 75, -45, b0:e4:d5:96:3b:95, 15222, 525, -56, 14:22:3b:2a:86:f5, 13148, 105, -51]",5.22493E+13,0.6346962,0.12981063,9.555139,-0.003970624,-0.007483099,0.026267206,4.819,-30.329199,50.629997,-3.0947883,-0.013554724,-0.066327155
5,5.22495E+13,"[14:22:3b:16:5a:bd, 5046, 60, -43, b0:e4:d5:96:3b:95, 12320, 150, -55, 14:22:3b:2a:86:f5, 11988, 30, -51]",5.22495E+13,-0.10049855,0.081954174,9.812367,-4.58E-04,0.018020526,0.015271631,4.6482,-30.7318,49.9346,-2.9774394,-0.008351498,0.010241671
6,5.22495E+13,"[14:22:3b:16:5a:bd, 5046, 60, -43, b0:e4:d5:96:3b:95, 12320, 150, -55, 14:22:3b:2a:86:f5, 11988, 30, -51]",5.22497E+13,0.8895318,0.421735,10.106685,-0.016035212,-0.042760566,-0.017715093,4.819,-30.805,50.6422,-3.1306365,-0.041543715,-0.087787986
7,5.22495E+13,"[14:22:3b:16:5a:bd, 5046, 60, -43, b0:e4:d5:96:3b:95, 12320, 150, -55, 14:22:3b:2a:86:f5, 11988, 30, -51]",5.22499E+13,0.9092726,0.29790643,9.802198,-0.003970624,-0.002748894,0.01282817,5.2704,-30.7806,51.5694,-3.1266057,-0.030252647,-0.0924974
8,5.22501E+13,"[b0:e4:d5:96:3b:95, 12347, 45, -49, 14:22:3b:2a:86:f5, 15710, 150, -55]",5.22501E+13,-0.56111693,0.0741775,9.921839,-0.01160644,0.003207043,-0.027488936,4.6116,-29.951,51.008198,-2.8996494,-0.007464119,0.056493547
9,5.22501E+13,"[b0:e4:d5:96:3b:95, 12347, 45, -49, 14:22:3b:2a:86:f5, 15710, 150, -55]",5.22503E+13,-0.32482567,0.30927232,10.001999,-0.006108652,-0.014660766,0.09117164,4.7824,-30.7806,51.7402,-2.9445653,-0.030894922,0.03246467
