Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,14.152,0.18,-66
579,14.16,0.06,-69
1627,17.355,0.225,-67
2127,20.535,0.015,-65
2619,19.89,0.09,-65
3191,16.933,0.21,-65
3672,12.675,0.165,-65
4197,10.91,0.15,-62
4715,11.085,0.075,-61
5296,15.214,0.135,-62
6278,33.996,0.09,-74
6828,14.234,0.105,-64
7374,16.089,0.12,-72
7862,14.23,0.15,-64
8420,12.828,0.135,-63
8956,13.523,0.15,-58
9427,16.472,0.075,-70
10015,7.796,0.285,-66
10540,12.562,0.225,-60
11527,14.468,0.15,-64
12067,14.894,0.135,-67
12587,12.238,0.09,-71
13142,14.339,0.015,-58
13624,15.769,0.105,-60
14152,12.878,0.15,-57
14721,10.585,0.075,-65
15237,15.101,0.135,-64
15733,10.98,0.165,-65
16256,12.472,0.165,-63
16813,19.953,0.18,-69
17292,14.105,0.165,-63
17816,15.492,0.06,-62
18373,22.269,0.09,-69
18912,12.148,0.12,-73
19415,14.167,0.15,-68
19917,16.921,0.045,-66
20502,13.437,0.405,-64
20971,14.847,0.09,-60
21505,13.257,0.105,-64
22022,12.882,0.09,-65
22598,11.511,0.195,-65
23061,13.546,0.105,-63
23587,14.058,0.135,-61
24118,16.152,0.06,-65
25172,33.816,0.075,-66
25698,18.003,0.075,-67
26750,16.015,0.135,-64
27261,16.375,0.075,-67
27792,12.011,0.195,-64
28366,14.156,0.075,-62
28856,18.906,0.135,-64
29363,15.167,0.075,-66
30463,11.5,0.135,-71
30957,16.308,0.18,-60
32501,11.761,0.09,-66
33080,18.929,0.18,-67
34133,13.925,0.3,-65
34600,14.66,0.15,-62
35132,13.445,0.18,-65
36230,11.863,0.105,-63
36694,10.296,0.105,-69
37243,14.785,0.075,-67
38328,16.539,0.135,-63
38799,18.011,0.165,-66
39329,18.898,0.165,-69
40365,19.562,0.15,-67
40883,19.085,0.165,-68
42469,13.531,0.105,-65
43012,17.765,0.195,-71
44038,11.816,0.18,-74
44565,21.957,0.18,-67
45088,18.804,0.18,-66
46166,18.605,0.06,-69
46664,12.015,0.18,-60
47189,16.929,0.18,-65
47766,12.214,0.21,-66
48226,14.601,0.135,-64
48754,13.183,0.18,-59
49799,16.98,0.12,-65
50333,23.648,0.195,-67
50860,17.972,0.075,-66
51903,16.832,0.18,-69
52423,13.203,0.03,-66
52944,14.582,0.195,-69
53530,14.398,0.18,-63
53996,15.222,0.195,-62
54524,16.941,0.165,-75
55629,10.539,0.195,-70
56112,10.582,0.18,-64
57666,13.523,0.12,-67
58207,19.328,0.195,-67
58763,16.406,0.09,-63
59289,15.917,0.18,-66
59768,13.777,0.105,-60
60297,15.933,0.195,-67
61377,14.964,0.15,-61
61921,12.21,0.135,-69
62394,9.656,0.15,-64
62956,8.855,0.18,-66
63435,14.273,0.105,-61
63999,10.464,0.18,-60
64489,13.859,0.09,-60
65052,10.32,0.15,-72
65529,9.414,0.195,-63
66055,9.808,0.15,-63
66585,7.648,0.135,-65
67137,12.765,0.045,-62
67634,13.246,0.15,-59
68163,13.085,0.135,-58
68719,9.421,0.15,-61
69200,12.871,0.12,-57
69775,11.07,0.195,-59
70252,11.406,0.12,-64
70813,16.39,0.18,-66
71305,14.187,0.03,-61
71816,10.796,0.21,-60
72381,15.175,0.18,-65
72908,14.859,0.12,-60
73402,16.933,0.195,-64
73933,8.66,0.15,-67
74490,7.082,0.15,-68
74966,6.945,0.03,-64
75492,7.785,0.135,-57
76014,8.261,0.045,-58
76601,8.566,0.195,-57
77085,6.843,0.18,-58
77593,12.328,0.15,-62
78126,14.906,0.165,-64
78679,10.5,0.15,-66
79165,10.914,0.105,-63
79691,12.742,0.195,-63
80273,14.398,0.18,-61
80733,21.703,0.105,-66
81268,14.187,0.12,-69
81788,11.312,0.075,-60
82837,11.726,0.135,-64
83357,11.078,0.15,-65
83896,12.531,0.18,-57
84466,13.246,0.24,-64
84931,11.152,0.195,-63
85461,19.339,0.165,-68
86503,20.8,0.105,-67
87026,16.585,0.06,-66
87555,19.968,0.15,-66
88596,11.148,0.045,-62
89129,10.796,0.18,-62
89660,12.062,0.165,-64
90233,17.023,0.435,-60
90705,13.394,0.105,-61
91281,18.64,0.03,-69
92270,15.128,0.18,-61
93312,15.789,0.06,-66
94365,10.433,0.195,-66
94895,12.644,0.075,-66
95417,19.707,0.165,-63
96469,21.648,0.135,-63
96997,11.984,0.06,-61
98031,13.183,0.12,-56
99098,10.828,0.165,-64
100134,14.253,0.15,-66
100661,16.355,0.075,-60
101766,21.414,0.105,-66
102251,17.828,0.135,-68
102754,19.812,0.135,-71
103805,12.847,0.105,-73
104347,18.16,0.09,-65
104872,15.988,0.15,-65
105916,12.8,0.165,-69
106422,15.566,0.015,-60
106954,13.917,0.135,-62
107532,22.968,0.015,-66
108010,16.484,0.18,-66
108529,15.214,0.15,-58
109107,15.898,0,-64
109568,13.39,0.135,-57
110093,13.101,0.09,-57
110620,13.953,0.195,-59
111188,11.82,0.105,-58
112194,13.792,0.165,-59
