M2 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M2 Ground Truth
0,14.24339103,21.47417984,0.075,-65,19.01895629,26.03019833,0.15,-73,35.88619361,48.27441071,0.18,-76,34.40324297,36.78560209,0.315,-69,10.66422197,10.59320655,0.135,-50,21.96043304,25.8341619,0.15,-70,9.467302375,9.975477131,0.165,-48,4.072960528,6.813679182,0.27,-54,-0.15672988,-0.11365908,9.701699,-0.007483099,0.000764,0.026725354,-165.16359,-63.0984,102.236,1.9325478,0.011713314,0.016153485,"[13.54744, 16.328705]"
200,14.25557081,21.47417984,0.075,-65,19.02911324,26.03019833,0.15,-73,35.89790256,48.27441071,0.18,-76,34.41549595,36.78560209,0.315,-69,10.66463939,10.59320655,0.135,-50,21.97263407,25.8341619,0.15,-70,9.461933044,9.975477131,0.165,-48,4.062094677,6.813679182,0.27,-54,-0.6987042,0.09750752,9.92483,0.000916,0.000764,-0.044135015,-164.8952,-64.0256,102.7728,1.963479,-0.009800033,0.07028365,"[13.53517793, 16.328705]"
400,14.26775074,17.83999465,0.225,-66,19.03927267,28.6006298,0.36,-76,35.90961188,52.66462654,0.345,-82,34.42774893,35.81651016,0.165,-64,10.66507089,14.3853132,0.09,-50,21.98483516,30.81994445,0.255,-70,9.456576564,10.75738635,0.105,-49,4.051236797,4.954836022,0.045,-42,0.66759753,0.13938192,9.334401,-0.014813482,-0.024740042,-0.020922136,-164.68779,-63.940197,102.479996,1.934353,-0.014892925,-0.071398556,"[13.52291586, 16.328705]"
600,14.27993081,17.83999465,0.225,-66,19.04943457,28.6006298,0.36,-76,35.92132158,52.66462654,0.345,-82,34.44000193,35.81651016,0.165,-64,10.66551647,14.3853132,0.09,-50,21.99703633,30.81994445,0.255,-70,9.451232958,10.75738635,0.105,-49,4.040386953,4.954836022,0.045,-42,-0.23449662,0.18125631,9.634102,-0.00992656,0.001985312,-0.000153,-165.0782,-63.842598,102.358,1.9556214,-0.018806245,0.024335463,"[13.51065379, 16.328705]"
800,14.29211102,17.83999465,0.225,-66,19.05959894,28.6006298,0.36,-76,35.93303164,52.66462654,0.345,-82,34.45225493,35.81651016,0.165,-64,10.66597613,14.3853132,0.09,-50,22.00923756,30.81994445,0.255,-70,9.445902246,10.75738635,0.105,-49,4.029545208,4.954836022,0.045,-42,-0.14416756,0.148355,9.838689,-0.013439035,-0.030848695,-0.029474247,-164.5902,-63.927998,102.5776,1.9527582,-0.015075977,0.014652078,"[13.49839172, 16.328705]"
1000,14.30429135,21.43917034,0.3,-65,19.06976577,28.52261785,0.42,-77,35.94474206,46.94633746,0.15,-76,34.46450792,35.54248326,0.03,-68,10.66644987,16.9726368,0.21,-52,22.02143885,27.70248814,0.15,-69,9.440584455,10.01853088,0.09,-53,4.018711638,4.777909166,0.03,-44,-0.80159557,-0.15134603,10.073185,0.016798794,0.03481932,-0.000153,-164.7732,-63.6596,102.0652,1.9483737,0.014976178,0.07940983,"[13.48612966, 16.328705]"
1200,14.31647184,21.43917034,0.3,-65,19.07993507,28.52261785,0.42,-77,35.95645285,46.94633746,0.15,-76,34.47676093,35.54248326,0.03,-68,10.66693768,16.9726368,0.21,-52,22.03364022,27.70248814,0.15,-69,9.435279599,10.01853088,0.09,-53,4.00788629,4.777909166,0.03,-44,-0.035294134,0.30149564,10.143175,0.009621128,0.016646078,-0.003817908,-164.6756,-63.086197,102.1506,1.9533086,-0.029715061,0.00347958,"[13.47386759, 16.328705]"
1400,14.32865247,21.43917034,0.3,-65,19.09010683,28.52261785,0.42,-77,35.96816402,46.94633746,0.15,-76,34.48901395,35.54248326,0.03,-68,10.66743957,16.9726368,0.21,-52,22.04584165,27.70248814,0.15,-69,9.429987703,10.01853088,0.09,-53,3.997069241,4.777909166,0.03,-44,-0.17766708,0.253041,9.81476,-0.011148291,-0.03940081,-0.06856962,-164.4926,-63.073997,102.7606,1.9551935,-0.025771748,0.018100053,"[13.46160552, 16.328705]"
1600,14.34083323,15.98418168,0.135,-65,19.10028105,28.6866429,0.36,-72,35.97987555,61.19695745,0.21,-81,34.50126698,36.95361754,0.27,-69,10.66795552,12.18874895,0.15,-53,22.05804315,24.02179696,0.48,-71,9.42470879,11.73935688,0.345,-54,3.986260559,5.00207247,0.165,-40,0.23988047,0.23688944,9.305687,0.010537425,0.05787948,-0.000153,-165.27339,-63.378998,102.5288,1.9446775,-0.02544247,-0.025772128,"[13.44934345, 16.328705]"
1800,14.35301414,15.98418168,0.135,-65,19.11045772,28.6866429,0.36,-72,35.99158745,61.19695745,0.21,-81,34.51352001,36.95361754,0.27,-69,10.66848555,12.18874895,0.15,-53,22.07024472,24.02179696,0.48,-71,9.41944288,11.73935688,0.345,-54,3.975460311,5.00207247,0.165,-40,-0.031106694,0.3062813,9.91466,-0.011148291,-0.028405234,-0.046578474,-165.5052,-63.257,103.5292,1.9532201,-0.030881787,0.003137434,"[13.43708138, 16.328705]"
