Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,x,y,
0,2812970000000,"[b0:e4:d5:39:26:89, 30875, 360, -73, 14:22:3b:16:5a:bd, 13492, 30, -56, cc:f4:11:8b:29:4d, 24062, 30, -58, b0:e4:d5:96:3b:95, 7234, 105, -53, 14:22:3b:2a:86:f5, 3738, 75, -44, f8:1a:2b:06:3c:0b, 8980, 150, -63]",2.81E+12,-0.21355942,0.25663024,9.751948,0.003054326,0.00412334,-0.001527163,21.654999,14.408199,42.09,-1.0380288,-0.026303416,0.021895654,0,22.161,20.159,20.908
1,2812970000000,"[b0:e4:d5:39:26:89, 30875, 360, -73, 14:22:3b:16:5a:bd, 13492, 30, -56, cc:f4:11:8b:29:4d, 24062, 30, -58, b0:e4:d5:96:3b:95, 7234, 105, -53, 14:22:3b:2a:86:f5, 3738, 75, -44, f8:1a:2b:06:3c:0b, 8980, 150, -63]",2.81E+12,-0.4211368,0.5838487,10.137792,-0.049480084,-0.025045475,-0.19624045,21.459799,14.1276,42.1876,-1.1024058,-0.057478305,0.041517403,0,22.150206,20.159,0.010794011
2,2813430000000,"[b0:e4:d5:39:26:89, 29785, 255, -73, 14:22:3b:16:5a:bd, 13589, 135, -56, cc:f4:11:8b:29:4d, 23992, 60, -55, b0:e4:d5:96:3b:95, 7312, 60, -52, 14:22:3b:2a:86:f5, 4527, 45, -42, f8:1a:2b:06:3c:0b, 10929, 90, -61]",2.81E+12,-1.2705889,-0.30329028,10.043873,-0.051465396,-0.019089539,-0.045662176,21.2402,14.700999,42.8708,-1.0299168,0.02994883,0.12583546,0,22.139412,20.159,
3,2813430000000,"[b0:e4:d5:39:26:89, 29785, 255, -73, 14:22:3b:16:5a:bd, 13589, 135, -56, cc:f4:11:8b:29:4d, 23992, 60, -55, b0:e4:d5:96:3b:95, 7312, 60, -52, 14:22:3b:2a:86:f5, 4527, 45, -42, f8:1a:2b:06:3c:0b, 10929, 90, -61]",2.81E+12,-0.9457632,0.40378883,9.665807,0.053297993,-0.057268616,0.018020526,21.472,14.6765995,41.7728,-1.0976071,-0.0415525,0.0975358,0,22.128618,20.159,
4,2813430000000,"[b0:e4:d5:39:26:89, 29785, 255, -73, 14:22:3b:16:5a:bd, 13589, 135, -56, cc:f4:11:8b:29:4d, 23992, 60, -55, b0:e4:d5:96:3b:95, 7312, 60, -52, 14:22:3b:2a:86:f5, 4527, 45, -42, f8:1a:2b:06:3c:0b, 10929, 90, -61]",2.81E+12,0.18544376,0.6622137,9.492328,-0.01572978,0.006719518,-0.04932737,21.3622,14.505799,42.273,-1.0602107,-0.069636956,-0.019533688,0,22.117824,20.159,
5,2813890000000,"[b0:e4:d5:39:26:89, 26699, 150, -72, 14:22:3b:16:5a:bd, 13625, 60, -54, cc:f4:11:8b:29:4d, 23699, 90, -61, b0:e4:d5:96:3b:95, 10218, 90, -55, 14:22:3b:2a:86:f5, 3820, 75, -46, f8:1a:2b:06:3c:0b, 10535, 135, -63]",2.81E+12,0.54257256,0.8021938,10.0349,0.001985312,-0.0364992,-0.06887506,20.874199,13.7372,42.273,-1.0664494,-0.0796549,-0.05401596,0,22.10703,20.159,
6,2813890000000,"[b0:e4:d5:39:26:89, 26699, 150, -72, 14:22:3b:16:5a:bd, 13625, 60, -54, cc:f4:11:8b:29:4d, 23699, 90, -61, b0:e4:d5:96:3b:95, 10218, 90, -55, 14:22:3b:2a:86:f5, 3820, 75, -46, f8:1a:2b:06:3c:0b, 10535, 135, -63]",2.81E+12,0.927817,-0.8817552,9.33141,0.01038471,0.059101213,0.08307768,21.35,13.9446,42.4804,-0.7570052,0.09375392,-0.09910372,0,22.096236,20.159,
7,2814350000000,"[b0:e4:d5:39:26:89, 28753, 315, -72, 14:22:3b:16:5a:bd, 14132, 75, -53, cc:f4:11:8b:29:4d, 23972, 105, -52, b0:e4:d5:96:3b:95, 7449, 45, -52, 14:22:3b:2a:86:f5, 2824, 150, -47, f8:1a:2b:06:3c:0b, 10265, 255, -62]",2.81E+12,-0.35533416,0.07776674,9.927223,0.004734206,-0.05513059,-0.007788532,20.6912,15.0548,41.9314,-0.9844553,-0.007828512,0.035778638,0,22.085442,20.159,
8,2814350000000,"[b0:e4:d5:39:26:89, 28753, 315, -72, 14:22:3b:16:5a:bd, 14132, 75, -53, cc:f4:11:8b:29:4d, 23972, 105, -52, b0:e4:d5:96:3b:95, 7449, 45, -52, 14:22:3b:2a:86:f5, 2824, 150, -47, f8:1a:2b:06:3c:0b, 10265, 255, -62]",2.81E+12,-0.43130627,0.63170516,9.957133,-0.07040222,0.03604105,-0.006414085,21.069399,14.03,42.273,-1.10895,-0.06329837,0.043289248,0,22.074648,20.159,
9,2814810000000,"[b0:e4:d5:39:26:89, 27597, 285, -73, 14:22:3b:16:5a:bd, 14136, 30, -52, cc:f4:11:8b:29:4d, 23503, 180, -58, b0:e4:d5:96:3b:95, 8152, 105, -56, 14:22:3b:2a:86:f5, 3023, 105, -41, f8:1a:2b:06:3c:0b, 12593, 255, -59]",2.81E+12,-0.94695956,-0.1274178,9.716655,0.009315695,0.011301007,0.019394971,21.264599,14.115399,42.1876,-1.0456121,0.013050766,0.097150564,0,22.063854,20.159,
