M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth_x,M1 Ground Truth_y,user,circle
0,0,0,0,0,21.67063128,24.02979869,0.12,-59,0,0,0,0,0,0,0,0,4.050849294,7.314931579,0.18,-53,7.343591764,10.80443687,0.345,-60,1.282468323,3.696336024,0.18,-42,11.95295445,13.98706603,0.135,-53,0.17228323,0.3924229,9.862617,-0.000305,-0.006719518,-0.005345071,-171.99559,-72.602196,142.6668,1.9916857,-0.03976189,-0.017466532,22.161,20.159,2,4
564.436524,0,0,0,0,21.6593686,23.58370032,0.03,-59,0,0,0,0,0,0,0,0,4.0396535,7.721829058,0.21,-52,7.336230434,15.2017795,0.15,-64,1.28876527,2.412736206,0.255,-48,11.94179968,14.36930353,0.09,-52,-0.587438,-1.035494,10.037891,-0.09972375,0.018784106,0.01038471,-171.898,-72.6998,142.4716,1.9051248,0.102620564,0.058455378,22.14973491,20.159,2,4
1110.419394,0,0,0,0,21.63684325,24.01379522,0.06,-55,0,0,0,0,0,0,0,0,4.017263084,7.290875393,0.105,-53,7.321537574,11.12877352,0.195,-62,1.301560279,3.340790924,0.105,-44,11.91949079,13.33763131,0.105,-57,-0.60777694,-0.84347,9.74836,-0.21487185,0.088422745,0.21853705,-173.0692,-72.224,142.7034,1.9152076,0.08614291,0.062265992,22.12720474,20.159,2,4
1664.184734,0,0,0,0,21.60305525,24.09581294,0.06,-54,0,0,0,0,0,0,0,0,3.98368041,6.993148147,0.15,-56,7.299573215,12.15371943,0.12,-61,1.321240917,2.981363614,0.12,-51,11.88602901,14.4793696,0.09,-54,-0.9302098,0.13399807,10.0265255,-0.14019357,0.06169739,-0.10094548,-172.3982,-72.7852,142.7522,2.012219,-0.013306426,0.09251008,22.09340948,20.159,2,4
2216.950888,0,0,0,0,21.56926727,24.01779609,0.075,-56,0,0,0,0,0,0,0,0,3.950101363,6.42156375,0.135,-57,7.277699502,13.82596199,0.555,-63,1.341484327,2.297215924,0.03,-46,11.85256913,13.88900299,0.225,-55,1.18684,0.21415763,9.905687,-0.017256944,-0.02443461,0.053297993,-172.2152,-73.1512,143.37439,1.9537319,-0.02146284,-0.11924557,22.05961422,20.159,2,4
2765.107993,0,0,0,0,21.54674196,23.74773692,0.075,-56,0,0,0,0,0,0,0,0,3.927717395,8.222812414,0.135,-53,7.263167792,12.43895498,0.375,-63,1.355280158,3.408522407,0.075,-40,11.8302636,13.99106858,0.09,-54,1.4410775,0.8009974,9.589237,-0.02733622,-0.057726767,-0.032375857,-172.9838,-72.7974,142.8254,1.9741577,-0.08241621,-0.14916447,22.03708405,20.159,2,4
3325.991457,0,0,0,0,21.51295402,23.92377564,0.12,-56,0,0,0,0,0,0,0,0,3.8941446,8.422171276,0.315,-58,7.24144698,10.89052818,0.12,-59,1.376406194,2.420905616,0.075,-43,11.7968069,12.9153252,0.12,-58,0.3894319,-1.3339987,10.019346,-0.031306844,0.023823744,0.058337633,-173.37419,-72.895,142.7034,1.8658675,0.1322651,-0.038848437,22.00328879,20.159,2,4
3875.477582,0,0,0,0,21.4791661,23.84175767,0.045,-56,0,0,0,0,0,0,0,0,3.860575687,8.527353869,0.09,-54,7.219819014,10.26082497,0.39,-64,1.398030026,2.898185812,0.03,-43,11.76335214,13.32262076,0.195,-57,-0.50009996,0.15254244,9.870394,0.004886922,-0.007177667,0.05589417,-172.3982,-73.6392,142.9718,2.0024107,-0.01543352,0.05062338,21.96949353,20.159,2,4
4431.608604,0,0,0,0,21.44537821,23.06858201,0.03,-60,0,0,0,0,0,0,0,0,3.827010768,7.596562973,0.12,-57,7.198284736,9.591977116,0.12,-59,1.420128909,3.286179545,0.075,-46,11.72989934,13.92802818,0.135,-53,-0.076570325,-0.2009971,9.370294,0.005497787,0.056046885,0.024129177,-172.58119,-72.8828,142.6424,1.9573884,0.021446455,0.008171422,21.93569828,20.159,2,4
4980.388797,0,0,0,0,21.42285296,22.71249709,0.06,-63,0,0,0,0,0,0,0,0,3.804636407,8.360061304,0.12,-56,7.183981005,9.612004213,0.045,-60,1.435114609,2.993530524,0.15,-50,11.70759855,13.63883807,0.135,-55,0.5485546,-0.106480606,9.704092,-0.07269296,0.026725354,-0.048258353,-173.0936,-72.8828,143.21579,1.9468098,0.010954825,-0.056468077,21.9131681,20.159,2,4
5524.51046,0,0,0,0,21.3890651,25.31506271,0.18,-61,0,0,0,0,0,0,0,0,3.771078356,8.797803362,0.075,-55,7.162604737,9.548918473,0.045,-59,1.457957197,6.711400748,0.105,-44,11.67414904,14.28725362,0.195,-55,1.6283158,-0.005982057,9.5252285,0.018784106,-0.4447099,-0.16783522,-172.6178,-72.8706,143.5452,1.9292262,0.000619,-0.16931109,21.87937284,20.159,2,4
6096.526004,0,0,0,0,21.35527727,23.18160842,0.075,-58,0,0,0,0,0,0,0,0,3.737524589,6.926978057,0.105,-55,7.14132442,9.540907504,0.075,-57,1.481218638,3.739723118,0.105,-45,11.64070153,14.20520313,0.18,-55,-1.7892331,-0.7375876,9.666406,-0.070249505,-0.086437434,0.024892759,-173.10579,-72.3948,143.716,1.9610696,0.07488942,0.1830266,21.84557759,20.159,2,4
6637.082564,0,0,0,0,21.33275206,22.88053749,0.165,-62,0,0,0,0,0,0,0,0,3.71515783,6.770562827,0.105,-53,7.127191262,13.81095218,0.12,-57,1.496949347,2.715349149,0.06,-44,11.61840429,14.57642703,0.09,-52,-0.51565325,-0.34097722,9.958928,-0.027794369,-0.12339478,0.015118915,-173.0448,-72.7486,144.72859,1.958215,0.03417922,0.05173179,21.82304741,20.159,2,4
7187.500411,0,0,0,0,21.29896427,22.76350942,0.105,-60,0,0,0,0,0,0,0,0,3.681611447,6.633182042,0.075,-52,7.106072769,11.68430678,0.03,-61,1.52086616,4.530492688,0.12,-46,11.58496015,15.0697075,0.135,-53,-1.5337993,0.4229314,9.48455,0.07452556,-0.040317107,0.019242255,-173.0204,-73.5172,144.0454,2.071669,-0.043991327,0.16032754,21.78925216,20.159,2,4
