Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,,
0,4430188970322,"[b0:e4:d5:39:26:89, 24166, 146, -72, 14:22:3b:16:5a:bd, 15125, 139, -74, cc:f4:11:8b:29:4d, 30351, 168, -83, b0:e4:d5:96:3b:95, 9363, 146, -63, 14:22:3b:2a:86:f5, 4753, 82, -56, f8:1a:2b:06:3c:0b, 7252, 37, -59]",4.43019E+12,1.6157535,0.35653058,10.094122,0.02351762,-0.0452027,-0.2365506,-24.125,-5.6125,37.0625,1.7944773,-0.034862507,-0.15872231,0,22.161,15.326
1,4430464085610,"[b0:e4:d5:39:26:89, 23736, 55, -69, 14:22:3b:16:5a:bd, 15593, 135, -69, b0:e4:d5:96:3b:95, 9441, 254, -61, 14:22:3b:2a:86:f5, 4461, 58, -61, f8:1a:2b:06:3c:0b, 7486, 331, -61]",4.43046E+12,0.3702893,0.29072794,9.887143,-0.01099525,0.009926268,-0.011453386,-24.3875,-6.4125,36.9,1.8529843,-0.029375594,-0.0374341,0,22.14780051,15.326
2,4430710417874,"[b0:e4:d5:39:26:89, 23541, 348, -73, 14:22:3b:16:5a:bd, 15613, 67, -79, cc:f4:11:8b:29:4d, 31003, 550, -77, b0:e4:d5:96:3b:95, 10190, 481, -61, 14:22:3b:2a:86:f5, 4021, 128, -60, f8:1a:2b:06:3c:0b, 8502, 146, -60]",4.43071E+12,1.3160524,-0.9631111,9.417552,0.040774055,-0.12613995,-0.3011477,-24.25,-6.6625,37.05,1.6825042,0.10093927,-0.13884549,0,22.13460101,15.326
3,4430710417874,"[b0:e4:d5:39:26:89, 23541, 348, -73, 14:22:3b:16:5a:bd, 15613, 67, -79, cc:f4:11:8b:29:4d, 31003, 550, -77, b0:e4:d5:96:3b:95, 10190, 481, -61, 14:22:3b:2a:86:f5, 4021, 128, -60, f8:1a:2b:06:3c:0b, 8502, 146, -60]",4.43071E+12,0.41754755,1.2394822,9.775279,0.028557109,-0.061848287,-0.012064233,-24.5875,-6.8250003,36.875,1.977846,-0.12601088,-0.042688694,0,22.12140152,15.326
4,4431006222330,"[b0:e4:d5:39:26:89, 25416, 185, -81, 14:22:3b:16:5a:bd, 15886, 111, -68, b0:e4:d5:96:3b:95, 10466, 50, -61, 14:22:3b:2a:86:f5, 3992, 58, -61, f8:1a:2b:06:3c:0b, 10035, 255, -65]",4.431E+12,0.6789634,-0.5383851,9.474381,-0.040774055,-0.0775776,-0.017103724,-24.4625,-6.9375,36.2,1.7533468,0.05661942,-0.07154079,0,22.10820202,15.326
5,4431269442617,"[b0:e4:d5:39:26:89, 25768, 117, -78, 14:22:3b:16:5a:bd, 15613, 151, -70, b0:e4:d5:96:3b:95, 9754, 110, -68, 14:22:3b:2a:86:f5, 5076, 152, -58, f8:1a:2b:06:3c:0b, 7916, 55, -62]",4.43127E+12,0.29491538,-0.17647067,9.793823,0.00335966,-0.005344913,0.012064233,-24.65,-7.225,36.875,1.8207502,0.018008457,-0.030103289,0,22.09500253,15.326
6,4431540968061,"[b0:e4:d5:39:26:89, 25182, 0, -79, 14:22:3b:16:5a:bd, 17527, 195, -77, b0:e4:d5:96:3b:95, 9558, 191, -65, 14:22:3b:2a:86:f5, 5134, 97, -57, f8:1a:2b:06:3c:0b, 7330, 292, -60]",4.43154E+12,0.15314065,0.14416756,9.379267,-0.25762483,-0.193944,1.4854279,-25.175001,-5.2000003,36.975002,1.7906979,-0.015367619,-0.016326122,0,22.08180303,15.326
7,4431540968061,"[b0:e4:d5:39:26:89, 25182, 0, -79, 14:22:3b:16:5a:bd, 17527, 195, -77, b0:e4:d5:96:3b:95, 9558, 191, -65, 14:22:3b:2a:86:f5, 5134, 97, -57, f8:1a:2b:06:3c:0b, 7330, 292, -60]",4.43154E+12,0.10348958,0.064008005,9.535996,0.029473381,0.032069482,0.2455606,-24.050001,-3.675,37.3125,1.7298911,-0.006711755,-0.010852092,0,22.06860354,15.326
8,4431797971055,"[b0:e4:d5:39:26:89, 24098, 396, -80, 14:22:3b:16:5a:bd, 17376, 724, -86, cc:f4:11:8b:29:4d, 29681, 467, -88, b0:e4:d5:96:3b:95, 10613, 106, -62, 14:22:3b:2a:86:f5, 4988, 168, -56, f8:1a:2b:06:3c:0b, 8775, 0, -60]",4.4318E+12,4.138985,-2.0087745,9.333204,0.1446181,0.2738123,-1.1841274,-23.9125,-3.925,36.975002,1.5490203,0.19426838,-0.41740936,0,22.05540404,15.326
9,4432082789885,"[b0:e4:d5:39:26:89, 26861, 75, -81, 14:22:3b:16:5a:bd, 15261, 398, -75, b0:e4:d5:96:3b:95, 10066, 152, -67, 14:22:3b:2a:86:f5, 4871, 186, -59, f8:1a:2b:06:3c:0b, 7926, 173, -68]",4.43208E+12,0.7710871,2.797808,7.285547,0.13881505,-0.053296424,9.16E-04,-25.9,-8.5,35.2125,2.1545396,-0.3647964,-0.10544537,0,22.04220455,15.326
10,4432351510225,"[b0:e4:d5:39:26:89, 25358, 175, -83, 14:22:3b:16:5a:bd, 15300, 55, -67, cc:f4:11:8b:29:4d, 29715, 0, -85, b0:e4:d5:96:3b:95, 9402, 110, -62, 14:22:3b:2a:86:f5, 4285, 82, -58, f8:1a:2b:06:3c:0b, 8346, 68, -64]",4.43235E+12,0.2536392,5.708677,18.406788,-0.051463883,0.61237437,0.5079195,-23.862501,-3.525,37.3125,2.1019812,-0.3007063,-0.013778783,0,22.02900505,15.326
11,4432351510225,"[b0:e4:d5:39:26:89, 25358, 175, -83, 14:22:3b:16:5a:bd, 15300, 55, -67, cc:f4:11:8b:29:4d, 29715, 0, -85, b0:e4:d5:96:3b:95, 9402, 110, -62, 14:22:3b:2a:86:f5, 4285, 82, -58, f8:1a:2b:06:3c:0b, 8346, 68, -64]",4.43235E+12,-0.012562319,-0.006580262,9.877572,0.002290677,-0.21486552,-0.08246438,-24.5875,-4.2375,36.975002,1.7408086,6.66E-04,0.001271802,0,22.01580556,15.326
12,4432629747961,"[b0:e4:d5:39:26:89, 23541, 117, -75, 14:22:3b:16:5a:bd, 15505, 127, -71, b0:e4:d5:96:3b:95, 8738, 165, -62, 14:22:3b:2a:86:f5, 4548, 152, -62, f8:1a:2b:06:3c:0b, 7428, 67, -57]",4.43263E+12,0.6053841,1.3471591,9.110672,7.64E-04,0.08857285,-0.04871507,-24.875,-5.2875,36.787502,1.9336005,-0.14648388,-0.06635026,0,22.00260606,15.326
13,4432896659550,"[b0:e4:d5:39:26:89, 23932, 111, -77, 14:22:3b:16:5a:bd, 15066, 89, -66, b0:e4:d5:96:3b:95, 9050, 118, -63, 14:22:3b:2a:86:f5, 6082, 150, -62, f8:1a:2b:06:3c:0b, 7682, 292, -69]",4.4329E+12,0.1698904,-0.5629115,10.057034,-0.006566608,0.039094225,0.018019995,-25.487501,-5.1,36.4875,1.6881688,0.05590562,-0.016891088,0,21.98940657,15.326
14,4433182700724,"[b0:e4:d5:39:26:89, 22955, 257, -71, 14:22:3b:16:5a:bd, 15652, 59, -70, cc:f4:11:8b:29:4d, 29765, 137, -82, b0:e4:d5:96:3b:95, 8543, 55, -60, 14:22:3b:2a:86:f5, 6423, 210, -60, f8:1a:2b:06:3c:0b, 7330, 146, -64]",4.43318E+12,0.63948184,1.6642082,9.680762,-0.008857286,0.092848785,0.008399149,-25.25,-4.425,36.8375,1.927523,-0.16988163,-0.065961145,0,21.97620707,15.326
15,4433182700724,"[b0:e4:d5:39:26:89, 22955, 257, -71, 14:22:3b:16:5a:bd, 15652, 59, -70, cc:f4:11:8b:29:4d, 29765, 137, -82, b0:e4:d5:96:3b:95, 8543, 55, -60, 14:22:3b:2a:86:f5, 6423, 210, -60, f8:1a:2b:06:3c:0b, 7330, 146, -64]",4.43318E+12,0.7118647,0.04007978,9.790234,-0.011911522,-0.002596101,0.042301174,-24.7625,-4.2625003,36.4875,1.7304777,-0.004083051,-0.07258398,0,21.96300758,15.326
16,4433464525596,"[b0:e4:d5:39:26:89, 23775, 82, -72, 14:22:3b:16:5a:bd, 14890, 143, -72, b0:e4:d5:96:3b:95, 8425, 151, -68, 14:22:3b:2a:86:f5, 3640, 177, -60, f8:1a:2b:06:3c:0b, 6607, 271, -64]",4.43346E+12,-0.573081,0.8327023,9.799207,-0.014507622,0.07207998,-0.030847786,-24.800001,-4.65,36.6375,1.9047434,-0.08462894,0.05841585,0,21.94980808,15.326
17,4433717297705,"[b0:e4:d5:39:26:89, 24579, 272, -70, 14:22:3b:16:5a:bd, 15613, 117, -64, cc:f4:11:8b:29:4d, 28050, 1242, -82, b0:e4:d5:96:3b:95, 8855, 42, -62, 14:22:3b:2a:86:f5, 6365, 104, -55, f8:1a:2b:06:3c:0b, 7105, 50, -60]",4.43372E+12,0.5617151,0.63529444,9.934999,-0.03939965,0.011453386,0.12843063,-25.225,-4.3,35.5125,1.8040482,-0.0637566,-0.05647889,0,21.93660859,15.326
18,4433971349553,"[b0:e4:d5:39:26:89, 23190, 234, -69, 14:22:3b:16:5a:bd, 14890, 67, -68, cc:f4:11:8b:29:4d, 27321, 188, -85, b0:e4:d5:96:3b:95, 8855, 29, -62, 14:22:3b:2a:86:f5, 6316, 146, -57, f8:1a:2b:06:3c:0b, 6939, 61, -61]",4.43397E+12,-0.18364914,-0.37088752,9.777073,0.001527118,-0.028862532,0.053449135,-24.65,-4.6375003,36.125,1.7054824,0.03790955,0.018781444,0,21.92340909,15.326
19,4433971349553,"[b0:e4:d5:39:26:89, 23190, 234, -69, 14:22:3b:16:5a:bd, 14890, 67, -68, cc:f4:11:8b:29:4d, 27321, 188, -85, b0:e4:d5:96:3b:95, 8855, 29, -62, 14:22:3b:2a:86:f5, 6316, 146, -57, f8:1a:2b:06:3c:0b, 6939, 61, -61]",4.43397E+12,1.2382857,-0.71665037,10.4159565,0.007177455,-0.056961507,-0.21623993,-24.325,-4.6,36.125,1.6529441,0.068216,-0.118328154,0,21.9102096,15.326
20,4434244554267,"[b0:e4:d5:39:26:89, 23687, 78, -73, 14:22:3b:16:5a:bd, 15066, 0, -63, cc:f4:11:8b:29:4d, 29988, 240, -83, b0:e4:d5:96:3b:95, 8660, 62, -63, 14:22:3b:2a:86:f5, 5281, 194, -64, f8:1a:2b:06:3c:0b, 7096, 55, -60]",4.43424E+12,0.07298109,0.16510476,9.8632145,0.021685077,-0.024281178,0.03420745,-24.612501,-4.375,35.325,1.7677243,-0.016737428,-0.007399186,0,21.8970101,15.326
21,4434513999919,"[b0:e4:d5:39:26:89, 23814, 73, -65, 14:22:3b:16:5a:bd, 15066, 0, -74, cc:f4:11:8b:29:4d, 27488, 0, -86, b0:e4:d5:96:3b:95, 8855, 100, -61, 14:22:3b:2a:86:f5, 4871, 84, -58, f8:1a:2b:06:3c:0b, 6900, 82, -59]",4.43451E+12,1.0115658,-1.2460624,9.5048895,-0.003970507,0.003206948,-0.29427567,-24.925001,-4.3875003,36.825,1.5693368,0.12962979,-0.10602674,0,21.88381061,15.326
22,4434765143226,"[b0:e4:d5:39:26:89, 24160, 109, -70, 14:22:3b:16:5a:bd, 15457, 55, -63, cc:f4:11:8b:29:4d, 26634, 413, -85, b0:e4:d5:96:3b:95, 9129, 146, -62, 14:22:3b:2a:86:f5, 5486, 132, -52, f8:1a:2b:06:3c:0b, 6588, 60, -55]",4.43476E+12,-0.42711884,0.29910284,9.572487,0.02351762,-0.04382829,-0.002290677,-24.925001,-4.3875003,35.662502,1.8037864,-0.031204905,0.044589847,0,21.87061111,15.326
