Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm),real_distance,rtt_kalman
0,5.726,0.15,-48,4.833,1.626
524,6.152,0.075,-53,4.83303,1.652874478
1050,7.902,0.075,-57,4.83311,1.788453441
1577,5.703,0.105,-54,4.83317,1.776754144
2095,5.89,0.105,-49,4.83313,1.777589907
2637,6.148,0.075,-49,4.83325,1.794649039
3153,6.109,0.09,-49,4.83328,1.808171661
3674,5.957,0.06,-52,4.83329,1.811252196
4218,6.093,0.045,-49,4.83337,1.822718043
4719,5.898,0.09,-49,4.83338,1.821158872
5245,6.144,0.12,-53,4.83355,1.835217126
5778,6.523,0.3,-60,4.83349,1.872297973
6318,6.292,0.075,-51,4.83368,1.892466805
7348,6.371,0.06,-46,4.83379,1.916347058
8394,5.718,0.18,-50,4.83395,1.897525915
8918,6.5,0.09,-49,4.83404,1.929225061
9442,5.71,0.075,-53,4.8342,1.909086828
10492,6.046,0.105,-51,4.83444,1.911415782
11537,6.746,0.075,-49,4.83458,1.957757755
12586,6.429,0.09,-47,4.83489,1.981178113
13636,5.734,0.09,-50,4.83526,1.959276493
14161,5.683,0.06,-49,4.8353,1.935539162
14683,6.25,0.33,-55,4.83539,1.949068846
15207,5.527,0.135,-53,4.83544,1.916134104
15731,5.41,0.06,-49,4.836,1.877896021
16257,5.902,0.075,-50,4.83589,1.873108307
16782,7.16,0.315,-55,4.83609,1.947984346
17832,5.531,0.045,-53,4.83658,1.915370362
18878,5.492,0.09,-59,4.83678,1.882353481
19926,6.898,0.06,-55,4.83702,1.940117856
20977,5.296,0.075,-59,4.83774,1.893175004
22019,5.792,0.195,-60,4.83809,1.880484
23069,6.222,0.15,-64,4.8387,1.895720425
24114,6.406,0.15,-65,4.83948,1.921603421
25169,8.187,0.12,-63,4.83976,2.058209102
26228,9.179,0.18,-64,4.84051,2.248778
26753,7.257,0.105,-63,4.84038,2.306074335
27271,9.476,0.285,-70,4.84098,2.499743161
27790,8.183,0.135,-62,4.8406,2.599624726
28334,8.89,0.24,-66,4.84102,2.737806834
28837,13.621,0.165,-67,4.84168,3.16572988
29359,9.742,0.255,-62,4.84181,3.321948369
29886,8.472,0.255,-65,4.84223,3.388193111
30411,8.562,0.03,-65,4.84251,3.455936529
30934,7.527,0.12,-64,4.84314,3.454112748
31460,12.8,0.15,-69,4.84312,3.785054546
32510,7.308,0.09,-64,4.84389,3.748652699
33038,7.628,0.21,-61,4.84411,3.734734654
33557,9.179,0.21,-68,4.84432,3.819540436
34607,7.582,0.18,-68,4.84503,3.79824852
35653,7.269,0.135,-65,4.84598,3.758553996
36705,8.605,0.255,-63,4.8466,3.80564599
37750,8.644,0.12,-63,4.84756,3.85222754
38272,8.542,0.24,-65,4.84792,3.889435772
38814,9.593,0.255,-65,4.84748,3.990599732
39347,7.804,0.075,-59,4.84826,3.9725216
39858,7.98,0.225,-64,4.849,3.966686994
40374,6.976,0.18,-66,4.84867,3.897882489
40920,10.453,0.345,-63,4.84896,4.052767231
41952,12.371,0.15,-69,4.85007,4.318879354
43003,7.839,0.285,-65,4.85012,4.282299798
43542,6.785,0.195,-65,4.85095,4.181535598
44590,7.734,0.24,-63,4.85185,4.14699634
45097,10.195,0.18,-62,4.85249,4.269889717
45617,14.093,0.105,-65,4.8529,4.630938188
46156,12.867,0.285,-63,4.85345,4.89186704
47185,7.757,0.15,-66,4.85401,4.813967705
48251,7.144,0.18,-65,4.85525,4.702311134
48761,7.261,0.21,-63,4.85561,4.605079404
49295,8.097,0.15,-63,4.85679,4.566721095
49812,5.781,0.06,-64,4.85681,4.384676289
50335,5.878,0.12,-62,4.85747,4.220235032
50862,6.285,0.12,-63,4.85685,4.091843355
51391,6.058,0.27,-68,4.85814,3.95723079
51909,7.765,0.3,-65,4.85904,3.938797389
52444,6.261,0.195,-64,4.8588,3.826646066
52961,9.07,0.24,-62,4.85989,3.89877731
54004,7.453,0.15,-65,4.86095,3.864348713
55055,7.062,0.27,-65,4.8622,3.807425552
56107,8.765,0.36,-65,4.86337,3.8615282
56644,7.406,0.03,-65,4.86377,3.826484427
57149,7.496,0.075,-67,4.8645,3.799329087
57675,6.066,0.135,-63,4.86554,3.683674383
58723,14,0.3,-65,4.8665,4.07583711
59246,7.539,0.135,-64,4.86636,4.035664112
60299,6.902,0.135,-62,4.86815,3.957839869
60819,9.214,0.3,-64,4.86935,4.030779123
61869,9.714,0.3,-66,4.87118,4.13065984
62394,13.371,0.285,-65,4.87076,4.454943761
62920,9.66,0.27,-66,4.87208,4.524659554
63967,11.351,0.3,-67,4.87343,4.696655148
64512,6.75,0.42,-70,4.87431,4.567543467
65017,8.761,0.315,-68,4.87392,4.573441959
65538,6.007,0.285,-67,4.87492,4.405230523
66065,9.464,0.135,-68,4.87586,4.465717677
66587,8.968,0.225,-66,4.87669,4.491098545
67117,7.085,0.06,-61,4.8765,4.396088027
68162,11.703,0.255,-67,4.87843,4.598400659
69211,9.363,0.24,-63,4.87951,4.640330084
