Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm)
0,0,0.324,-52
1054,0.33,0.186,-51
2103,-0.372,0.865,-53
4202,-0.619,0.102,-53
5250,-0.435,1.157,-53
6309,-0.028,0.552,-52
8919,0.977,1.171,-65
11011,-0.184,0.519,-57
12072,-0.863,1.034,-58
13128,0.646,0.772,-69
14156,-0.439,0.772,-65
15206,-0.494,0.349,-66
16432,0.507,0.285,-63
17301,0.842,0.389,-70
18354,1.042,0.344,-61
19416,1.346,0.018,-69
20453,0.483,1.266,-71
21517,0.983,0.445,-60
23597,1.646,0.2,-64
24647,0.708,0.184,-62
25698,1.172,0.515,-67
26748,1.327,0.334,-62
27797,1.962,0.229,-59
29898,3.043,0.445,-66
30939,2.271,0.124,-70
31985,3.148,0.12,-72
33037,1.873,1.908,-73
34092,5.727,0.186,-79
35130,4.721,1.405,-74
36184,6.907,0.531,-76
36889,7.498,0.224,-77
37936,12.879,0.789,-79
38806,14.724,1.501,-87
39855,14.272,0.631,-90
41032,15.752,0.787,-86
41951,17.083,1.239,-85
43005,18.573,1.001,-86
44047,18.666,0.358,-90
45107,19.561,0,-88
46149,22.796,1.037,-90
47191,23.233,0.984,-91
49303,27.491,0.985,-94
50337,27.72,0.597,-88
52441,30.252,0.325,-93
53615,27.774,0.316,-92
54535,28.027,0,-92
56635,29.093,0.669,-95
57676,27.521,0.881,-93
58728,19.402,0,-89
59779,27.317,1.647,-90
60832,28.114,1.13,-89
62921,29.347,0.616,-90
63970,28.149,0.701,-92
65018,28.332,0.601,-90
66198,27.078,0.369,-89
67125,25.855,0.535,-89
68161,27.561,1.427,-92
69223,30.027,1.079,-91
71308,30.872,0.041,-92
74456,27.479,1.24,-91
75504,27.289,0.947,-95
79707,27.877,0,-94
80755,29.308,1.566,-95
81807,26.684,0.215,-90
82847,25.566,0.728,-88
83894,26.071,0.722,-89
85472,26.44,0.396,-95
86514,25.435,0.597,-88
88616,26.306,1.549,-91
89664,25.616,1.197,-90
92279,26.932,1.656,-91
93330,24.725,0.901,-96
95430,23.9,0.576,-90
96478,23.996,0.933,-88
97527,24.601,0.752,-90
98698,24.45,0.92,-89
99623,23.788,0.918,-86
100670,25.385,1.672,-87
101719,24.1,0.683,-87
102767,24.205,1.112,-93
103814,23.836,1.001,-90
104869,23.146,0.532,-87
106960,22.233,2.212,-90
108010,24.682,0.811,-87
110108,22.043,1.409,-86
111286,22.568,0.627,-88
112205,22.593,1.03,-88
113383,21.877,0.431,-86
114299,21.91,0.089,-83
115350,22.008,0.613,-88
116403,22.758,1.046,-89
119543,5.836,1.481,-88
121117,22.369,0.981,-94
122165,25.729,1.409,-91
123217,25.055,1.836,-94
124274,21.722,0.629,-91
125317,20.877,0.589,-90
128457,19.846,0.576,-91
130029,19.036,0.084,-86
131080,18.924,0.346,-86
132129,24.769,1.197,-86
133189,21.418,0.488,-89
135274,19.564,1.252,-89
136321,20,1.803,-81
137371,19.68,0.635,-84
138423,18.757,0.516,-84
139471,18.462,0.578,-84
141564,25.367,1.321,-89
144723,17.961,0.218,-87
145760,18.113,0.36,-92
147862,18.483,1.279,-92
148906,18.193,1.305,-89
149958,17.493,0.925,-88
153096,18.15,0.544,-89
160053,17.136,1.369,-83
162137,18.101,0.502,-88
163054,17.014,0.613,-84
164108,16.383,0.252,-89
166208,16.852,0.912,-87
169876,14.174,0.378,-83
170924,14.502,0.735,-87
171977,15.694,0.756,-86
173154,13.968,1.496,-90
174072,14.314,0.957,-92
175118,14.902,0,-85
176182,14.814,0.203,-88
177213,19.716,3.042,-86
181412,13.477,0.536,-90
183514,14.152,1.235,-89
184555,15.589,0.586,-91
185605,13.929,0.934,-85
186652,14.477,1.305,-85
187707,14.122,0.864,-91
188751,13.976,1.627,-83
189801,13.777,0.952,-82
190980,14.043,1.419,-91
191897,15.205,0.717,-84
193077,13.946,1.163,-89
193993,11.881,0.885,-82
196092,12.753,1.653,-84
197147,11.705,0.382,-83
198187,12.544,0.906,-83
199235,12.658,0.697,-84
200283,12.024,1.14,-86
201464,12.462,0.399,-83
202386,11.682,0.402,-85
203432,11.143,0.422,-81
205526,12.386,1.109,-83
206585,14.661,1.365,-90
207625,10.208,0.844,-86
209726,11.644,0.766,-88
211817,11.19,1.207,-88
212873,11.286,0.733,-87
214964,11.449,0.578,-87
216012,10.657,0.596,-81
217063,9.79,0.628,-79
218114,10.261,0.993,-87
219159,10.665,1.809,-79
223355,9.624,0.598,-70
224402,8.399,0.699,-70
