Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,6.16274E+14,"[b0:e4:d5:39:26:89, 16929, 45, -56, 14:22:3b:16:5a:bd, 28968, 45, -65, cc:f4:11:8b:29:4d, 27484, 75, -64, b0:e4:d5:96:3b:95, 12968, 150, -49, 14:22:3b:2a:86:f5, 2625, 45, -45, f8:1a:2b:06:3c:0b, 12042, 90, -54]",6.16274E+14,0.6418747,0.3475575,9.268001,0.005650504,0.013133603,0.10567969,22.2284,5.8315997,50.471397,-1.3656892,-0.03739375,-0.06914667
1,6.16274E+14,"[b0:e4:d5:39:26:89, 16929, 45, -56, 14:22:3b:16:5a:bd, 28968, 45, -65, cc:f4:11:8b:29:4d, 27484, 75, -64, b0:e4:d5:96:3b:95, 12968, 150, -49, 14:22:3b:2a:86:f5, 2625, 45, -45, f8:1a:2b:06:3c:0b, 12042, 90, -54]",6.16274E+14,-0.24885355,0.43788654,9.735199,-0.010537425,0.032070424,0.005650504,21.032799,5.5388,50.8252,-1.4251348,-0.04493477,0.025556682
2,6.16274E+14,"[b0:e4:d5:39:26:89, 16929, 45, -56, 14:22:3b:16:5a:bd, 28968, 45, -65, cc:f4:11:8b:29:4d, 27484, 75, -64, b0:e4:d5:96:3b:95, 12968, 150, -49, 14:22:3b:2a:86:f5, 2625, 45, -45, f8:1a:2b:06:3c:0b, 12042, 90, -54]",6.16275E+14,-0.317049,-0.006580262,9.87817,-0.007941248,0.01740966,0.026419923,21.6306,5.8315997,50.849598,-1.3237016,6.66E-04,0.03208491
3,6.16275E+14,"[b0:e4:d5:39:26:89, 17226, 75, -56, 14:22:3b:16:5a:bd, 29593, 120, -65, cc:f4:11:8b:29:4d, 27113, 150, -65, b0:e4:d5:96:3b:95, 11570, 75, -51, 14:22:3b:2a:86:f5, 3777, 105, -41, f8:1a:2b:06:3c:0b, 12156, 75, -48]",6.16275E+14,-0.53300124,0.23748764,9.553345,0.002138028,-0.022602014,0.01038471,22.1064,6.1243997,50.9594,-1.376938,-0.024815412,0.055734325
4,6.16275E+14,"[b0:e4:d5:39:26:89, 17226, 75, -56, 14:22:3b:16:5a:bd, 29593, 120, -65, cc:f4:11:8b:29:4d, 27113, 150, -65, b0:e4:d5:96:3b:95, 11570, 75, -51, 14:22:3b:2a:86:f5, 3777, 105, -41, f8:1a:2b:06:3c:0b, 12156, 75, -48]",6.16275E+14,-0.47198427,-0.24825534,9.567103,0.009315695,0.003970624,0.044593163,21.618399,5.9291997,50.9472,-1.2798259,0.025911532,0.049294118
5,6.16275E+14,"[b0:e4:d5:39:26:89, 15792, 90, -59, 14:22:3b:16:5a:bd, 29250, 255, -71, cc:f4:11:8b:29:4d, 28132, 105, -70, b0:e4:d5:96:3b:95, 11347, 360, -52, 14:22:3b:2a:86:f5, 3457, 150, -44, f8:1a:2b:06:3c:0b, 11769, 30, -54]",6.16275E+14,-0.5174479,0.05682954,9.500702,0.014049901,0.011911872,-0.022449298,21.618399,6.5025997,51.2278,-1.3215395,-0.005972691,0.054410417
6,6.16275E+14,"[b0:e4:d5:39:26:89, 15792, 90, -59, 14:22:3b:16:5a:bd, 29250, 255, -71, cc:f4:11:8b:29:4d, 28132, 105, -70, b0:e4:d5:96:3b:95, 11347, 360, -52, 14:22:3b:2a:86:f5, 3457, 150, -44, f8:1a:2b:06:3c:0b, 11769, 30, -54]",6.16275E+14,-0.44685963,0.18305093,9.882956,0.002138028,-0.025961773,-0.025045475,21.8014,5.9414,51.557198,-1.3660654,-0.018500866,0.045184407
7,6.16275E+14,"[b0:e4:d5:39:26:89, 16863, 30, -53, 14:22:3b:16:5a:bd, 28125, 270, -64, cc:f4:11:8b:29:4d, 32003, 90, -67, b0:e4:d5:96:3b:95, 13363, 90, -51, 14:22:3b:2a:86:f5, 3156, 120, -43, f8:1a:2b:06:3c:0b, 11832, 75, -53]",6.16276E+14,0.24586253,0.40498522,10.132407,-0.005345071,-0.030695979,-0.048258353,21.7038,6.2219996,51.3498,-1.3707651,-0.039936293,-0.024260206
8,6.16275E+14,"[b0:e4:d5:39:26:89, 16863, 30, -53, 14:22:3b:16:5a:bd, 28125, 270, -64, cc:f4:11:8b:29:4d, 32003, 90, -67, b0:e4:d5:96:3b:95, 13363, 90, -51, 14:22:3b:2a:86:f5, 3156, 120, -43, f8:1a:2b:06:3c:0b, 11832, 75, -53]",6.16276E+14,-0.58265233,-0.081954174,9.514461,0.003207043,-0.016035212,-0.03848451,21.1304,5.368,51.1424,-1.3358958,0.008597326,0.06116223
9,6.16276E+14,"[b0:e4:d5:39:26:89, 16179, 30, -54, 14:22:3b:16:5a:bd, 29210, 120, -65, cc:f4:11:8b:29:4d, 26640, 240, -67, b0:e4:d5:96:3b:95, 11023, 90, -47, 14:22:3b:2a:86:f5, 3023, 75, -45, f8:1a:2b:06:3c:0b, 12015, 30, -53]",6.16276E+14,-0.6358926,0.020937199,9.710672,0.004276057,0.035124753,0.09239337,21.850199,5.9048,49.849197,-1.343332,-0.00215149,0.065390535
