Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll,Points,
0,6227438496393,"[b0:e4:d5:39:26:89, 22267, 2277, -73, 14:22:3b:16:5a:bd, 11511, 120, -61, b0:e4:d5:91:ba:5d, 37156, 302, -67, cc:f4:11:8b:29:4d, 11433, 344, -56, b0:e4:d5:96:3b:95, 27170, 132, -81, b0:e4:d5:01:26:f5, 5808, 1163, -59, f8:1a:2b:06:3c:0b, 17330, 152, -76]",6227437571028,-0.2955136,-0.11066805,9.695119,-0.016340164,-4.5813544E-4,0.0015271181,4.5750003,-11.85,30.3125,-2.6959167,0.0114090275,0.030471222,0,
1,6227751367049,"[b0:e4:d5:39:26:89, 23033, 240, -75, 14:22:3b:16:5a:bd, 9851, 1296, -61, b0:e4:d5:91:ba:5d, 37254, 158, -68, cc:f4:11:8b:29:4d, 11550, 120, -55, b0:e4:d5:96:3b:95, 24090, 0, -80, b0:e4:d5:01:26:f5, 4207, 58, -60, f8:1a:2b:06:3c:0b, 16949, 480, -76]",6227750034862,-0.14955142,-0.39541394,9.876375,-0.034971006,-0.020921519,0.0010689828,4.7125,-12.1,30.95,-2.6963205,0.04001039,0.015141182,0,
2,6228033313588,"[b0:e4:d5:39:26:89, 22643, 110, -75, 14:22:3b:16:5a:bd, 11463, 175, -69, b0:e4:d5:91:ba:5d, 34129, 215, -70, cc:f4:11:8b:29:4d, 11462, 71, -52, b0:e4:d5:96:3b:95, 24090, 250, -80, b0:e4:d5:01:26:f5, 3494, 128, -54, f8:1a:2b:06:3c:0b, 18111, 207, -71]",6228031529942,0.15732808,-0.27996024,9.728619,0.07482879,0.2519745,-0.027946262,4.6125,-11.587501,30.487501,-2.77425,0.02876528,-0.016170269,0,
3,6228311256740,"[b0:e4:d5:39:26:89, 23033, 129, -75, 14:22:3b:16:5a:bd, 12869, 138, -62, b0:e4:d5:91:ba:5d, 33972, 228, -71, cc:f4:11:8b:29:4d, 11433, 120, -53, b0:e4:d5:01:26:f5, 3816, 0, -49, f8:1a:2b:06:3c:0b, 18619, 1266, -74]",6228308839448,0.1268196,-2.4628127,11.9718895,-0.1525591,0.486998,-0.22418094,4.975,-12.45,30.6,-2.4837453,0.20287484,-0.010592719,0,
4,6228311256740,"[b0:e4:d5:39:26:89, 23033, 129, -75, 14:22:3b:16:5a:bd, 12869, 138, -62, b0:e4:d5:91:ba:5d, 33972, 228, -71, cc:f4:11:8b:29:4d, 11433, 120, -53, b0:e4:d5:01:26:f5, 3816, 0, -49, f8:1a:2b:06:3c:0b, 18619, 1266, -74]",6228308839448,0.26021945,-0.4636094,10.132407,0.04566083,0.06826218,-0.06429167,5.1625,-12.325,30.7625,-2.7602444,0.045708172,-0.025676254,0,
5,6228579185100,"[b0:e4:d5:39:26:89, 23385, 161, -73, 14:22:3b:16:5a:bd, 8855, 145, -60, b0:e4:d5:91:ba:5d, 34011, 79, -70, cc:f4:11:8b:29:4d, 11492, 101, -55, b0:e4:d5:96:3b:95, 23621, 0, -82, b0:e4:d5:01:26:f5, 3347, 143, -49, f8:1a:2b:06:3c:0b, 17594, 227, -80]",6228574983485,0.5796613,-0.567099,8.836694,-0.050089475,0.09804098,0.020616096,5.4375,-11.25,30.300001,-2.7860882,0.06395052,-0.06550324,0,
6,6228855990753,"[b0:e4:d5:39:26:89, 22916, 54, -77, 14:22:3b:16:5a:bd, 8660, 69, -65, b0:e4:d5:91:ba:5d, 37947, 196, -67, cc:f4:11:8b:29:4d, 11667, 152, -55, b0:e4:d5:96:3b:95, 27511, 1201, -76, b0:e4:d5:01:26:f5, 3347, 144, -54, f8:1a:2b:06:3c:0b, 16510, 170, -76]",6228853925753,0.40259242,0.11066805,11.422737,-0.0051922016,-0.040774055,-0.07406523,4.5375,-12.1125,30.975,-2.870979,-0.009682085,-0.03523025,0,
7,6229139540417,"[b0:e4:d5:39:26:89, 23307, 172, -81, 14:22:3b:16:5a:bd, 8777, 62, -63, b0:e4:d5:91:ba:5d, 37742, 230, -69, cc:f4:11:8b:29:4d, 11492, 257, -55, b0:e4:d5:96:3b:95, 23922, 215, -80, b0:e4:d5:01:26:f5, 2791, 99, -50, f8:1a:2b:06:3c:0b, 18912, 317, -77]",6229137607969,-0.044865426,-0.26679972,10.811969,-0.024739314,0.07131642,-0.010689827,4.6,-11.725,31.1375,-2.7340288,0.024671111,0.0041495836,0,
8,6229139540417,"[b0:e4:d5:39:26:89, 23307, 172, -81, 14:22:3b:16:5a:bd, 8777, 62, -63, b0:e4:d5:91:ba:5d, 37742, 230, -69, cc:f4:11:8b:29:4d, 11492, 257, -55, b0:e4:d5:96:3b:95, 23922, 215, -80, b0:e4:d5:01:26:f5, 2791, 99, -50, f8:1a:2b:06:3c:0b, 18912, 317, -77]",6229137607969,-0.7148558,-0.66161543,9.7399845,0.033291176,-0.18065807,0.07146913,4.5625,-11.9875,30.6375,-2.5410452,0.0676422,0.07326257,0,
9,6229457238782,"[b0:e4:d5:39:26:89, 23151, 54, -80, 14:22:3b:16:5a:bd, 9090, 95, -62, b0:e4:d5:91:ba:5d, 35496, 1057, -71, cc:f4:11:8b:29:4d, 11463, 101, -58, b0:e4:d5:96:3b:95, 28777, 234, -86, b0:e4:d5:01:26:f5, 3259, 174, -45, f8:1a:2b:06:3c:0b, 16393, 169, -74]",6229455482844,-0.51206404,0.39960137,9.144172,0.013744064,-0.24097924,0.13072132,3.1125,-12.25,31.2,-2.7986357,-0.043604102,0.05594053,0,
