Number,RTT_TIMESTAMP,RTT_RESULT,IMU_TIMESTAMP,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magx,Magy,Magz,Azimuth,Pitch,Roll
0,1.32431E+13,"[b0:e4:d5:39:26:89, -45195, 645, -56, 14:22:3b:16:5a:bd, 10164, 225, -50, cc:f4:11:8b:29:4d, 16156, 345, -54, b0:e4:d5:96:3b:95, 4886, 465, -44]",1.32436E+13,0.41156548,0.21595225,9.939187,0.006414085,0.06994407,-0.052839845,9.2964,13.590799,72.2484,-0.4829725,-0.021705342,-0.041384727
1,1.32437E+13,"[b0:e4:d5:39:26:89, -257, 450, -54, 14:22:3b:16:5a:bd, 11781, 210, -52, cc:f4:11:8b:29:4d, 16710, 75, -51, b0:e4:d5:96:3b:95, 9683, 90, -47]",1.32438E+13,-0.27756742,0.2548356,9.734601,0.001069014,-0.041691553,-0.051465396,8.906,13.7738,72.126396,-0.7446451,-0.026161725,0.028505763
2,1.32437E+13,"[b0:e4:d5:39:26:89, -257, 450, -54, 14:22:3b:16:5a:bd, 11781, 210, -52, cc:f4:11:8b:29:4d, 16710, 75, -51, b0:e4:d5:96:3b:95, 9683, 90, -47]",1.3244E+13,0.22731815,-0.01375873,9.77827,0.011911872,0.02275473,0.03894266,9.1012,13.481,72.041,-0.50023985,0.001406691,-0.02324309
3,1.32441E+13,"[b0:e4:d5:39:26:89, 17355, 255, -58, 14:22:3b:16:5a:bd, -30328, 315, -45, cc:f4:11:8b:29:4d, 16371, 240, -55, b0:e4:d5:96:3b:95, 10046, 45, -44]",1.32442E+13,-0.17108682,-0.07836494,9.716655,-0.00412334,0.025045475,0.010842858,9.1256,13.5664,71.3334,-0.6332469,0.008063587,0.017605765
4,1.32441E+13,"[b0:e4:d5:39:26:89, 17355, 255, -58, 14:22:3b:16:5a:bd, -30328, 315, -45, cc:f4:11:8b:29:4d, 16371, 240, -55, b0:e4:d5:96:3b:95, 10046, 45, -44]",1.32444E+13,1.1330016,0.13998012,9.492328,-0.006414085,7.64E-04,0.027947085,9.308599,13.3834,71.7482,-0.05993952,-0.014641676,-0.11879768
5,1.32441E+13,"[b0:e4:d5:39:26:89, 17355, 255, -58, 14:22:3b:16:5a:bd, -30328, 315, -45, cc:f4:11:8b:29:4d, 16371, 240, -55, b0:e4:d5:96:3b:95, 10046, 45, -44]",1.32446E+13,-0.84107715,0.07956135,9.977472,0.003359759,0.006872234,0.013286319,9.503799,13.493199,71.9556,-0.87603194,-0.00794575,0.084098786
6,1.32446E+13,"[b0:e4:d5:39:26:89, -110199, 300, -55, 14:22:3b:16:5a:bd, 7218, 120, -44, cc:f4:11:8b:29:4d, 7207, 480, -54, b0:e4:d5:96:3b:95, 10121, 75, -48]",1.32448E+13,0.654437,0.060418773,9.982856,-0.007483099,-0.029626964,-0.006261369,9.4794,13.785999,72.5534,-0.33949542,-0.006039217,-0.065462425
7,1.32446E+13,"[b0:e4:d5:39:26:89, -110199, 300, -55, 14:22:3b:16:5a:bd, 7218, 120, -44, cc:f4:11:8b:29:4d, 7207, 480, -54, b0:e4:d5:96:3b:95, 10121, 75, -48]",1.3245E+13,0.81894356,0.3044867,9.696316,-0.003512475,-0.058643065,0.04016439,9.503799,13.7738,71.8458,-0.2892755,-0.031280693,-0.08425928
8,1.32451E+13,"[b0:e4:d5:39:26:89, 15679, 75, -52, 14:22:3b:16:5a:bd, 6988, 45, -46, cc:f4:11:8b:29:4d, 16312, 150, -54, b0:e4:d5:96:3b:95, 10164, 90, -49]",1.32452E+13,-0.11246266,-0.32063824,9.77468,-0.002290745,-0.059864793,0.008399397,9.516,13.3834,71.553,-0.5818009,0.03278901,0.011505001
9,1.32451E+13,"[b0:e4:d5:39:26:89, 15679, 75, -52, 14:22:3b:16:5a:bd, 6988, 45, -46, cc:f4:11:8b:29:4d, 16312, 150, -54, b0:e4:d5:96:3b:95, 10164, 90, -49]",1.32454E+13,-0.39421752,-0.0317049,9.687941,0.004581489,-0.038179077,-0.09437868,9.601399,14.0543995,71.7482,-0.71918917,0.003269897,0.040669132
10,1.32451E+13,"[b0:e4:d5:39:26:89, 15679, 75, -52, 14:22:3b:16:5a:bd, 6988, 45, -46, cc:f4:11:8b:29:4d, 16312, 150, -54, b0:e4:d5:96:3b:95, 10164, 90, -49]",1.32456E+13,0.21834506,-0.01375873,9.906884,0.001221731,-0.05390886,-0.03924809,9.503799,13.200399,71.662796,-0.5372265,0.001388467,-0.022036163
11,1.32457E+13,"[b0:e4:d5:39:26:89, 75609, 0, -55, 14:22:3b:16:5a:bd, 6519, 60, -47, cc:f4:11:8b:29:4d, 16527, 30, -52, b0:e4:d5:96:3b:95, 11949, 195, -51]",1.32458E+13,-1.1294123,-0.15074782,10.016953,0.003054326,0.03726278,0.020616703,8.8206,13.7616,71.614,-0.8479574,0.014953399,0.112275906
12,1.32457E+13,"[b0:e4:d5:39:26:89, 75609, 0, -55, 14:22:3b:16:5a:bd, 6519, 60, -47, cc:f4:11:8b:29:4d, 16527, 30, -52, b0:e4:d5:96:3b:95, 11949, 195, -51]",1.3246E+13,-0.3900301,0.1160519,9.996614,-0.009315695,0.02977968,-0.023365596,9.4916,13.395599,71.9556,-0.7743226,-0.011599774,0.038996436
13,1.32461E+13,[],1.32462E+13,-0.8344969,-0.20638095,9.869197,-0.002443461,-0.06719518,-0.027030786,9.1256,13.7616,71.431,-0.78164583,0.020834252,0.08435505
14,1.32461E+13,[],1.32464E+13,0.39780676,0.025722843,9.516255,4.58E-04,0.052839845,-0.034513887,10.1138,13.664,71.2724,-0.4867106,-0.002700677,-0.041778542
15,1.32466E+13,"[b0:e4:d5:39:26:89, 14804, 75, -55, 14:22:3b:16:5a:bd, 6097, 75, -46, cc:f4:11:8b:29:4d, -160898, 825, -56, b0:e4:d5:96:3b:95, 11031, 120, -52, 14:22:3b:2a:86:f5, 29546, 0, -55]",1.32466E+13,0.19322042,0.15792629,9.848858,0.005497787,0.045662176,-0.007635816,9.4184,13.200399,71.553,-0.5868778,-0.01603053,-0.019616045
16,1.32466E+13,"[b0:e4:d5:39:26:89, 14804, 75, -55, 14:22:3b:16:5a:bd, 6097, 75, -46, cc:f4:11:8b:29:4d, -160898, 825, -56, b0:e4:d5:96:3b:95, 11031, 120, -52, 14:22:3b:2a:86:f5, 29546, 0, -55]",1.32468E+13,0.46061835,-0.05503492,9.882956,0.002290745,-0.03191771,-0.023365596,9.9186,13.481,71.1748,-0.44354966,0.005562575,-0.046573643
17,1.32469E+13,[],1.3247E+13,-0.26739794,0.15972091,9.877572,-0.005345071,0.025045475,0.029168816,10.2968,13.200399,71.3944,-0.79262084,-0.016162729,0.027064612
18,1.32469E+13,[],1.32472E+13,-0.5210371,-0.28055847,9.750752,-0.00412334,0.022602014,0.023060163,9.601399,12.5416,71.8824,-0.74400586,0.028724115,0.053384807
19,1.32474E+13,"[b0:e4:d5:39:26:89, 15734, 0, -57, 14:22:3b:16:5a:bd, 6390, 45, -47, cc:f4:11:8b:29:4d, 16042, 15, -55, b0:e4:d5:96:3b:95, 14820, 150, -54]",1.32475E+13,-1.1676974,-0.032303106,10.0163555,-0.009010263,0.001985312,-0.012370021,10.089399,13.493199,71.687195,-0.9281489,0.003203331,0.116055205
20,1.32474E+13,"[b0:e4:d5:39:26:89, 15734, 0, -57, 14:22:3b:16:5a:bd, 6390, 45, -47, cc:f4:11:8b:29:4d, 16042, 15, -55, b0:e4:d5:96:3b:95, 14820, 150, -54]",1.32477E+13,-0.8530413,-0.34456646,9.784252,0.006872234,-0.018784106,-0.090713486,10.004,13.481,71.2724,-0.7924057,0.03506896,0.086965226
