M1 Time Stamp (ms),AP1 True Distance (m),AP1 RTT Distance (m),AP1 RTT std (m),AP1 RSS (dBm),AP2 True Distance (m),AP2 RTT Distance (m),AP2 RTT std (m),AP2 RSS (dBm),AP3 True Distance (m),AP3 RTT Distance (m),AP3 RTT std (m),AP3 RSS (dBm),AP4 True Distance (m),AP4 RTT Distance (m),AP4 RTT std (m),AP4 RSS (dBm),AP5 True Distance (m),AP5 RTT Distance (m),AP5 RTT std (m),AP5 RSS (dBm),AP6 True Distance (m),AP6 RTT Distance (m),AP6 RTT std (m),AP6 RSS (dBm),AP7 True Distance (m),AP7 RTT Distance (m),AP7 RTT std (m),AP7 RSS (dBm),AP8 True Distance (m),AP8 RTT Distance (m),AP8 RTT std (m),AP8 RSS (dBm),AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Azimuth,Pitch,Roll,M1 Ground Truth_x,M1 Ground Truth_y,user,circle
0,0,0,0,0,15.08017241,16.14826108,0.345,-54,0,0,0,0,0,0,0,0,9.010937798,4.86034937,0.465,-44,0,0,0,0,0,0,0,0,5.180357131,10.15169424,0.225,-50,0.41156548,0.21595225,9.939187,0.006414085,0.06994407,-0.052839845,9.2964,13.590799,72.2484,-0.4829725,-0.021705342,-0.041384727,13.46,-0.54,2,1
513.912598,0,0,0,0,15.06750534,16.70251777,0.075,-51,0,0,0,0,0,0,0,0,8.998450064,9.670082161,0.09,-47,0,0,0,0,0,0,0,0,5.174488949,11.77038491,0.21,-52,-0.27756742,0.2548356,9.734601,0.001069014,-0.041691553,-0.051465396,8.906,13.7738,72.126396,-0.7446451,-0.026161725,0.028505763,13.44979874,-0.532100629,2,1
999.935222,13.43931735,17.34779597,0.255,-58,15.0421724,16.36336277,0.24,-55,0,0,0,0,0,0,0,0,8.973478119,10.03354952,0.045,-44,0,0,0,0,0,0,0,0,0,0,0,0,-0.17108682,-0.07836494,9.716655,-0.00412334,0.025045475,0.010842858,9.1256,13.5664,71.3334,-0.6332469,0.008063587,0.017605765,13.42939623,-0.516301887,2,1
1502.846477,0,0,0,0,15.00417598,7.189634831,0.48,-54,0,0,0,0,0,0,0,0,8.936029061,10.1086419,0.075,-48,0,0,0,0,0,0,0,0,5.14553295,7.200661359,0.12,-44,0.654437,0.060418773,9.982856,-0.007483099,-0.029626964,-0.006261369,9.4794,13.785999,72.5534,-0.33949542,-0.006039217,-0.065462425,13.39879245,-0.492603774,2,1
2010.303387,13.3868839,15.67102552,0.075,-52,14.97884707,16.30433513,0.15,-54,0,0,0,0,0,0,0,0,8.911068998,10.15169424,0.09,-49,0,0,0,0,0,0,0,0,5.134131797,6.970089239,0.045,-46,-0.11246266,-0.32063824,9.77468,-0.002290745,-0.059864793,0.008399397,9.516,13.3834,71.553,-0.5818009,0.03278901,0.011505001,13.37838994,-0.476805031,2,1
2561.534466,13.35547458,75.60734674,0,-55,14.94085673,16.51943489,0.03,-52,0,0,0,0,0,0,0,0,8.873637951,11.93853429,0.195,-51,0,0,0,0,0,0,0,0,5.117226406,6.499796997,0.06,-47,-1.1294123,-0.15074782,10.016953,0.003054326,0.03726278,0.020616703,8.8206,13.7616,71.614,-0.8479574,0.014953399,0.112275906,13.34778616,-0.453106918,2,1
2915.700767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8344969,-0.20638095,9.869197,-0.002443461,-0.06719518,-0.027030786,9.1256,13.7616,71.431,-0.78164583,0.020834252,0.08435505,13.32738365,-0.437308176,2,1
3419.196047,13.31365528,14.79555393,0.075,-55,0,0,0,0,0,0,0,0,0,0,0,0,8.823747014,11.01966247,0.12,-52,0,0,0,0,26.98520611,29.54176901,0,-55,5.095056062,6.076463527,0.075,-46,0.19322042,0.15792629,9.848858,0.005497787,0.045662176,-0.007635816,9.4184,13.200399,71.553,-0.5868778,-0.01603053,-0.019616045,13.30698113,-0.421509434,2,1
3764.192507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26739794,0.15972091,9.877572,-0.005345071,0.025045475,0.029168816,10.2968,13.200399,71.3944,-0.79262084,-0.016162729,0.027064612,13.28657862,-0.405710692,2,1
4255.66793,13.2719049,15.72605341,0,-57,14.83956729,16.03420606,0.015,-55,0,0,0,0,0,0,0,0,8.773875948,14.81156305,0.15,-54,0,0,0,0,0,0,0,0,5.073313845,6.37040815,0.045,-47,-1.1676974,-0.032303106,10.0163555,-0.009010263,0.001985312,-0.012370021,10.089399,13.493199,71.687195,-0.9281489,0.003203331,0.116055205,13.2661761,-0.38991195,2,1
