Time Stamp (ms),M1-M2 RTT Distance (m),RTT std (m),RSS (dBm),real_distance,rtt_kalman
0,23.667,0.075,-59,21.84272,21.367
1047,23.742,0.09,-60,21.77345,21.38589029
2107,23.761,0.075,-61,21.68164,21.40480822
3140,23.98,0.09,-60,21.58952,21.47412094
4191,23.312,0.135,-65,21.50263,21.35772639
5249,23.91,0.03,-62,21.41047,21.42126666
6293,23.89,0.06,-64,21.31831,21.46376566
7340,24.218,0.075,-63,21.22534,21.57817396
8390,24.917,0.075,-65,21.13616,21.83982376
9459,14.863,0,-71,21.04677,19.50326577
10490,24.55,0.045,-64,20.96454,20.19508575
11540,23.8,0.09,-66,20.87418,20.5237543
12578,24.367,0.105,-68,20.78444,20.91245176
13637,23.613,0.105,-64,20.69211,21.01333771
14676,24.218,0.285,-68,20.60288,21.2411952
15725,24.273,0.045,-67,20.51897,21.42551516
16773,23.613,0.18,-66,20.42753,21.39717595
17822,23.875,0.09,-64,20.33544,21.44196461
18876,23.593,0.075,-64,20.24468,21.40444487
19926,23.585,0.09,-65,20.15957,21.37436026
20976,22.957,0.09,-65,20.06835,21.19367837
22021,22,0,-71,19.98014,20.81746471
23073,19,0.255,-68,19.88599,19.78039636
24112,21.328,0.24,-72,19.79964,19.59088873
25188,22.425,0.075,-67,19.70953,19.72541429
26233,22.25,0.06,-68,19.6187,19.78197959
27261,22.875,0.06,-68,19.52947,19.98171687
28834,22.378,0.12,-67,19.39652,20.00596673
29880,22.679,0.3,-72,19.30732,20.0999218
30938,22.136,0.225,-73,19.21755,20.03344674
31991,22.664,0.225,-71,19.12661,20.11670237
33024,21.613,0.135,-71,19.04274,19.91427252
34091,23.222,0.15,-65,18.9523,20.16808828
35151,21.367,0.045,-65,18.85919,19.89075572
36195,21.316,0.165,-64,18.77087,19.67042946
37237,21.437,0.075,-62,18.68483,19.53607305
38297,20.664,0.06,-63,18.59524,19.24086106
39328,20.687,0.075,-63,18.50558,19.02579706
40369,20.906,0.06,-61,18.41623,18.92006083
41415,20.847,0.06,-59,18.32923,18.82609599
42483,20.792,0.06,-59,18.23752,18.74194518
43539,20.531,0,-61,18.1452,18.61325121
44587,20.382,0.06,-61,18.0553,18.47944266
45616,20.66,0.075,-62,17.97409,18.44935644
46659,20.195,0.09,-65,17.88527,18.30972824
47718,20.558,0.09,-64,17.79286,18.29669716
48763,20.585,0.105,-64,17.70657,18.29374871
49804,21.437,0.135,-67,17.61639,18.50613657
50865,21.601,0.285,-69,17.53275,18.70633711
51924,21,0.225,-69,17.4505,18.70473901
52950,21.347,0.09,-67,17.36124,18.79094249
54019,19.632,0.165,-70,17.27522,18.42347599
55063,19.093,0.21,-71,17.19243,18.01280499
56121,20.113,0.09,-65,17.09952,17.96247752
57171,21.101,0.09,-61,17.0173,18.17367408
58204,19.296,0.045,-64,16.92329,17.87705034
59252,20.5,0.12,-68,16.83976,17.95838925
60303,22.5,0.09,-62,16.7576,18.52298237
61341,18.351,0.12,-68,16.66908,17.9003608
62912,21.152,0.15,-69,16.53908,18.14004809
63961,22.886,0.195,-66,16.45647,18.75610885
65010,20.097,0.165,-65,16.36985,18.51453568
66067,18.878,0.09,-65,16.28047,18.02677734
67107,19.003,0.39,-62,16.19153,17.69335439
68152,18.519,0.075,-65,16.11084,17.32200528
69207,19.406,0.06,-63,16.02445,17.26759692
70250,17.343,0.09,-66,15.93924,16.70728352
71313,18.835,0.03,-65,15.84935,16.66388693
72351,19.238,0.06,-67,15.75953,16.73292445
73401,23.667,0.105,-65,15.6761,17.90010799
74448,19.589,0.12,-65,15.58829,17.74618534
75499,21.14,0.15,-65,15.50217,18.02168232
76547,18.015,0.09,-63,15.41838,17.44069458
77602,17.062,0.105,-67,15.32598,16.7660075
78645,17.273,0.09,-60,15.24372,16.31439838
79690,17.25,0.06,-59,15.16036,15.97074292
80737,17.167,0.195,-58,15.0745,15.69273863
81796,16.964,0.045,-58,14.98878,15.4336255
82863,17.296,0.06,-57,14.89518,15.32339615
83886,17.332,0.075,-59,14.81146,15.24999758
84935,16.937,0.105,-61,14.72727,15.09559703
86511,18.085,0.075,-61,14.60676,15.26923266
87574,17.96,0.09,-60,14.52016,15.36765092
89135,16.429,0.09,-59,14.39063,15.05566683
90190,16.078,0.06,-58,14.31109,14.73385556
91249,16.218,0.06,-56,14.23193,14.52836069
92273,16.253,0.12,-59,14.15033,14.38343923
93327,15.707,0.06,-62,14.06711,14.13749781
94391,16.062,0.135,-63,13.97461,14.04291563
95433,23.347,0.255,-67,13.89616,15.80703251
96465,15.531,0.27,-66,13.81381,15.15820177
97532,16.437,0.075,-64,13.72568,14.90098656
98577,15.066,0.135,-61,13.64253,14.36324162
99639,16.214,0.06,-57,13.563,14.25008571
100688,15.144,0.12,-60,13.47649,13.89592891
101736,15.562,0.06,-57,13.3914,13.73625538
102768,14.496,0.045,-60,13.30775,13.34830482
103834,15.539,0.06,-61,13.22343,13.32076822
